Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Ainsley Maitland-Niles,ARS,D,4000,99,0,0,1,0,0,0,20,0,1,3,0,0,0,0,90,2.25,
Alexandre Lacazette,ARS,F,8600,259,1,0,5,4,0,4,45,6,9,4,1,1,1.5,0.2,79,11,y
Bernd Leno,ARS,GK,7200,450,0,0,0,0,0,0,176,2,0,0,0,0,0,0,90,,
Bukayo Saka,ARS,M/F,9200,330,1,0,10,5,6,2,112,12,0,5,2,0,0.9,0.1,82.5,0,y
Dani Ceballos,ARS,M,6800,291,0,0,0,0,2,8,187,6,1,6,5,1,0,0.7,86.66666667,15.5,
David Luiz,ARS,D,3200,318,0,0,2,0,1,0,216,3,3,4,3,0,0.1,0,79.5,0,
Eddie Nketiah,ARS,F,6400,108,0,0,1,1,0,0,18,0,3,0,1,0,0,0,57,12.75,
Gabriel Dos Santos,ARS,D,5000,360,0,0,4,0,0,0,275,5,4,7,2,1,0.2,0,90,0,y
Granit Xhaka,ARS,M,3800,241,0,0,1,0,0,0,150,4,5,3,2,1,0.1,0,77,5,
Hector Bellerin,ARS,D,5400,450,0,2,1,1,8,3,213,2,5,8,0,2,0.1,0.3,90,,y
Kieran Tierney,ARS,D,5800,440,0,0,2,0,15,4,234,4,1,2,3,0,0,0.4,88,,y
Mohamed Elneny,ARS,M,3200,270,0,0,1,0,2,1,172,1,1,2,4,0,0,0,90,0,y
Nicolas Pepe,ARS,M/F,8200,164,1,0,4,2,1,0,26,1,0,0,1,0,0.3,0,82,20.5,
Pierre-Emerick Aubameyang,ARS,M/F,10200,446,1,0,5,2,7,4,100,2,4,2,0,1,1.3,0.7,89.2,,y
Rob Holding,ARS,D,3000,180,0,0,0,0,0,0,88,1,2,1,1,1,0,0,90,0,y
Shkodran Mustafi,ARS,D,3400,46,0,0,0,0,0,0,41,0,1,1,0,0,0,0,,9.2,
Thomas Partey,ARS,M,3800,188,0,0,1,1,0,1,109,2,3,5,2,1,0,0.1,90,2.666666667,y
Willian,ARS,M/F,9400,310,0,0,1,0,6,3,114,3,3,0,2,0,0.1,0.4,77.5,0,y
Ahmed Elmohamady,AVL,D,4600,35,0,0,0,0,3,1,28,0,1,1,0,0,0,0,,7,
Bertrand Traore,AVL,M/F,6600,74,0,0,3,1,1,0,25,1,1,0,0,0,0.2,0,,11.5,
Conor Hourihane,AVL,M,8800,75,1,1,2,1,3,2,18,0,0,0,0,0,0.3,0.7,75,0,
Douglas Luiz,AVL,M,3400,435,0,1,2,2,2,3,110,10,9,7,3,2,0.1,0.1,87,,y
Emiliano Martinez,AVL,GK,4600,450,0,0,0,0,0,0,100,0,0,0,0,0,0,0,90,,
Ezri Konsa,AVL,D,4000,450,0,0,2,1,1,0,94,16,3,1,1,0,0.2,0,90,,y
Jack Grealish,AVL,M,10600,450,4,4,14,6,15,14,124,22,11,4,1,1,1.7,2.4,90,,y
Jacob Ramsey,AVL,M,3000,15,0,0,0,0,0,0,4,2,0,0,0,0,0,0,,3,
John McGinn,AVL,M,6200,450,1,4,6,2,4,7,102,9,5,4,0,2,0.3,1.1,90,,y
Marvelous Nakamba,AVL,M,3000,15,0,0,1,1,0,0,9,0,1,0,0,1,0,0,,3,
Matt Targett,AVL,D,4400,450,0,0,3,0,9,6,181,1,3,9,3,1,0.2,0.3,90,,y
Matty Cash,AVL,D,4800,415,0,0,0,0,5,2,118,5,9,8,7,2,0,0.3,83,,y
Ollie Watkins,AVL,F,8000,450,4,1,11,6,6,7,81,5,5,5,3,0,4,0.3,90,,y
Ross Barkley,AVL,M,7800,360,2,0,13,4,4,9,121,3,5,0,2,0,1.2,0.7,90,0,y
Trezeguet,AVL,M,5600,376,0,1,8,4,8,3,56,2,13,5,4,0,0.5,1.4,78.5,,y
Tyrone Mings,AVL,D,3600,450,2,0,5,4,0,1,139,4,1,4,1,2,0.6,0,90,,y
