,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Bukayo Saka,ARS,M/F,9200,3.6666666666666665,1,0,10,5,6,2,112,12,0,5,2,0,11.30181818181818,14.02909090909091,0.225,1.0375289575289575,0.2168614170884192,0.39953128424981615,0.025,0.5138762014293928,0.04864984977015915,0.04439236491664625,12.550287635650516,4.840456173869046,30.0,0.3333333333333333,4.183429211883505,0.5,2.0917146059417524,22.0,0.09090909090909091,0.836685842376701,57.14,1.8423345637685216,17.4834966922,82.5,0.0,y,Bukayo Saka
1,Jack Grealish,AVL,M,10600,5.0,4,4,14,6,15,14,124,22,11,4,1,1,13.595999999999998,26.096000000000004,0.33999999999999997,1.8243882978723405,0.18636383515314078,0.29700552024858445,0.48,1.3672872340425533,0.35106010503793034,0.419301910939178,9.881134073276629,3.459575256881597,64.0,0.21875,2.1614980785292626,0.42857142857142855,0.9263563193696839,52.0,0.2692307692307692,2.1614980785292626,19.61,1.5936864574853058,17.231219144549122,90.0,0.0,y,Jack Grealish
2,Alexandre Lacazette,ARS,F,8600,2.8777777777777778,1,0,5,4,0,4,45,6,9,4,1,1,6.915057915057915,9.868725868725868,0.4575289575289575,1.0375289575289575,0.440979458172075,0.8124316977023288,0.061003861003861,0.5138762014293928,0.1187131469295003,0.10832422636031053,12.550287635650516,4.840456173869046,30.0,0.16666666666666666,2.0917146059417524,0.8,1.673371684753402,22.0,0.18181818181818182,1.673371684753402,57.14,1.8423345637685216,15.859824557737953,79.0,11.0,y,Alexandre Lacazette
3,Ollie Watkins,AVL,F,8000,5.0,4,1,11,6,6,7,81,5,5,5,3,0,7.764,16.964000000000002,0.8,1.8243882978723405,0.4385031415368019,0.6988365182319635,0.06,1.3672872340425533,0.04388251312974129,0.05241273886739725,9.881134073276629,3.459575256881597,64.0,0.171875,1.6983199188444205,0.5454545454545454,0.9263563193696838,52.0,0.1346153846153846,1.0807490392646313,19.61,1.5936864574853058,13.972266893002756,90.0,0.0,y,Ollie Watkins
4,Pierre-Emerick Aubameyang,ARS,M/F,10200,4.955555555555556,1,0,5,2,7,4,100,2,4,2,0,1,4.0156950672645735,5.730941704035874,0.26,1.0375289575289575,0.2505954153021733,0.4616805951331209,0.13999999999999999,0.5138762014293928,0.27243915871289115,0.24859724353321894,12.550287635650516,4.840456173869046,30.0,0.16666666666666666,2.0917146059417524,0.4,0.836685842376701,22.0,0.18181818181818182,1.673371684753402,57.14,1.8423345637685216,12.190161545602377,89.2,0.0,y,Pierre-Emerick Aubameyang
5,Ross Barkley,AVL,M,7800,4.0,2,0,13,4,4,9,121,3,5,0,2,0,8.18,13.18,0.3,1.8243882978723405,0.1644386780763007,0.2620636943369863,0.175,1.3672872340425533,0.12799066329507877,0.152870488363242,9.881134073276629,3.459575256881597,64.0,0.203125,2.0071053586343153,0.3076923076923077,0.6175708795797894,52.0,0.17307692307692307,1.3895344790545259,19.61,1.5936864574853058,9.232070590817944,90.0,0.0,y,Ross Barkley
6,Kieran Tierney,ARS,D,5800,4.888888888888889,0,0,2,0,15,4,234,4,1,2,3,0,5.764090909090909,5.764090909090909,0.0,1.0375289575289575,0.0,0.0,0.08,0.5138762014293928,0.15567951926450926,0.142055567733268,12.550287635650516,4.840456173869046,30.0,0.06666666666666667,0.8366858423767011,0.0,0.0,22.0,0.18181818181818182,1.673371684753402,57.14,1.8423345637685216,7.79839093352971,88.0,0.0,y,Kieran Tierney
7,Trezeguet,AVL,M,5600,4.177777777777778,0,1,8,4,8,3,56,2,13,5,4,0,5.797340425531915,7.233510638297872,0.10438829787234041,1.8243882978723405,0.057218245695875906,0.09118794328658432,0.29228723404255313,1.3672872340425533,0.21377163975880173,0.255326241202436,9.881134073276629,3.459575256881597,64.0,0.125,1.2351417591595786,0.5,0.6175708795797893,52.0,0.057692307692307696,0.463178159684842,19.61,1.5936864574853058,6.684647891270626,78.5,0.0,y,Trezeguet
8,John McGinn,AVL,M,6200,5.0,1,4,6,2,4,7,102,9,5,4,0,2,6.068,12.268,0.06,1.8243882978723405,0.03288773561526014,0.05241273886739726,0.22000000000000003,1.3672872340425533,0.16090254814238478,0.19218004251378998,9.881134073276629,3.459575256881597,64.0,0.09375,0.926356319369684,0.3333333333333333,0.30878543978989464,52.0,0.1346153846153846,1.0807490392646313,19.61,1.5936864574853058,6.461098442180923,90.0,0.0,y,John McGinn
9,Gabriel Dos Santos,ARS,D,5000,4.0,0,0,4,0,0,0,275,5,4,7,2,1,5.125,4.75,0.05,1.0375289575289575,0.04819142601964871,0.08878472983329248,0.0,0.5138762014293928,0.0,0.0,12.550287635650516,4.840456173869046,30.0,0.13333333333333333,1.6733716847534021,0.0,0.0,22.0,0.0,0.0,57.14,1.8423345637685216,6.311218983086327,90.0,0.0,y,Gabriel Dos Santos
10,Hector Bellerin,ARS,D,5400,5.0,0,2,1,1,8,3,213,2,5,8,0,2,4.4719999999999995,6.272,0.02,1.0375289575289575,0.019276570407859482,0.03551389193331699,0.06,0.5138762014293928,0.11675963944838194,0.10654167579995098,12.550287635650516,4.840456173869046,30.0,0.03333333333333333,0.41834292118835054,1.0,0.41834292118835054,22.0,0.13636363636363635,1.2550287635650514,57.14,1.8423345637685216,5.958103580074628,90.0,0.0,y,Hector Bellerin
11,Matt Targett,AVL,D,4400,5.0,0,0,3,0,9,6,181,1,3,9,3,1,5.784000000000001,5.484,0.04,1.8243882978723405,0.021925157076840094,0.034941825911598175,0.06,1.3672872340425533,0.04388251312974129,0.05241273886739725,9.881134073276629,3.459575256881597,64.0,0.046875,0.463178159684842,0.0,0.0,52.0,0.11538461538461539,0.926356319369684,19.61,1.5936864574853058,5.737429171374892,90.0,0.0,y,Matt Targett
12,Willian,ARS,M/F,9400,3.4444444444444446,0,0,1,0,6,3,114,3,3,0,2,0,3.7683870967741933,3.7683870967741933,0.025,1.0375289575289575,0.024095713009824354,0.04439236491664624,0.1,0.5138762014293928,0.1945993990806366,0.177569459666585,12.550287635650516,4.840456173869046,30.0,0.03333333333333333,0.41834292118835054,0.0,0.0,22.0,0.13636363636363635,1.2550287635650514,57.14,1.8423345637685216,5.427712091919375,77.5,0.0,y,Willian
13,Thomas Partey,ARS,M,3800,2.088888888888889,0,0,1,1,0,1,109,2,3,5,2,1,5.591489361702127,4.873404255319149,0.0,1.0375289575289575,0.0,0.0,0.047872340425531915,0.5138762014293928,0.09315928679392176,0.08500665622336515,12.550287635650516,4.840456173869046,30.0,0.03333333333333333,0.41834292118835054,1.0,0.41834292118835054,22.0,0.045454545454545456,0.4183429211883505,57.14,1.8423345637685216,5.202302743458434,90.0,2.666666667,y,Thomas Partey
14,Ezri Konsa,AVL,D,4000,5.0,0,0,2,1,1,0,94,16,3,1,1,0,4.316,4.316,0.04,1.8243882978723405,0.021925157076840094,0.034941825911598175,0.0,1.3672872340425533,0.0,0.0,9.881134073276629,3.459575256881597,64.0,0.03125,0.30878543978989464,0.5,0.15439271989494732,52.0,0.0,0.0,19.61,1.5936864574853058,4.528596418800824,90.0,0.0,y,Ezri Konsa
15,Douglas Luiz,AVL,M,3400,4.833333333333333,0,1,2,2,2,3,110,10,9,7,3,2,5.089655172413794,5.710344827586208,0.020000000000000004,1.8243882978723405,0.010962578538420049,0.017470912955799087,0.020000000000000004,1.3672872340425533,0.014627504376580435,0.017470912955799087,9.881134073276629,3.459575256881597,64.0,0.03125,0.30878543978989464,1.0,0.30878543978989464,52.0,0.057692307692307696,0.463178159684842,19.61,1.5936864574853058,4.280283646557417,87.0,0.0,y,Douglas Luiz
16,Tyrone Mings,AVL,D,3600,5.0,2,0,5,4,0,1,139,4,1,4,1,2,4.156000000000001,7.556,0.12,1.8243882978723405,0.06577547123052029,0.10482547773479452,0.0,1.3672872340425533,0.0,0.0,9.881134073276629,3.459575256881597,64.0,0.078125,0.7719635994747366,0.8,0.6175708795797893,52.0,0.019230769230769232,0.15439271989494735,19.61,1.5936864574853058,4.148181976297418,90.0,0.0,y,Tyrone Mings
17,Mohamed Elneny,ARS,M,3200,3.0,0,0,1,0,2,1,172,1,1,2,4,0,3.78,3.78,0.0,1.0375289575289575,0.0,0.0,0.0,0.5138762014293928,0.0,0.0,12.550287635650516,4.840456173869046,30.0,0.03333333333333333,0.41834292118835054,0.0,0.0,22.0,0.045454545454545456,0.4183429211883505,57.14,1.8423345637685216,3.9500191757100342,90.0,0.0,y,Mohamed Elneny
18,Matty Cash,AVL,D,4800,4.611111111111111,0,0,0,0,5,2,118,5,9,8,7,2,4.306987951807229,3.656385542168675,0.0,1.8243882978723405,0.0,0.0,0.06000000000000001,1.3672872340425533,0.0438825131297413,0.05241273886739726,9.881134073276629,3.459575256881597,64.0,0.0,0.0,0.0,0.0,52.0,0.038461538461538464,0.3087854397898947,19.61,1.5936864574853058,3.5952618729942785,83.0,0.0,y,Matty Cash
19,Rob Holding,ARS,D,3000,2.0,0,0,0,0,0,0,88,1,2,1,1,1,1.63,0.8799999999999999,0.0,1.0375289575289575,0.0,0.0,0.0,0.5138762014293928,0.0,0.0,12.550287635650516,4.840456173869046,30.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,57.14,1.8423345637685216,0.8799999999999999,90.0,0.0,y,Rob Holding
