Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Ainsley Maitland-Niles,ARS,D,4400,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,1.2,
Alexandre Lacazette,ARS,F,9000,251,0,0,3,1,0,4,40,6,8,4,0,1,0.5,0.2,76.33333333,11,
Bernd Leno,ARS,GK,6600,450,0,0,0,0,0,0,145,0,0,0,0,0,0,0,90,,
Bukayo Saka,ARS,M/F,10200,367,0,0,9,5,9,4,120,12,1,4,3,0,0.9,0.3,83.5,33,y
Dani Ceballos,ARS,M/F,6800,315,0,0,3,0,2,5,153,6,3,9,4,0,0.1,0.2,90,22.5,y
David Luiz,ARS,D,3600,138,0,0,2,0,1,0,93,2,1,2,2,0,0.1,0,69,0,y
Eddie Nketiah,ARS,F,5400,59,0,0,1,0,0,1,13,0,3,1,0,0,0.1,0.2,,11.8,
Gabriel Dos Santos,ARS,D,4800,450,0,0,5,0,0,0,270,7,6,6,2,1,0.4,0,90,,y
Granit Xhaka,ARS,M,4400,262,0,0,2,0,0,0,148,3,4,2,2,1,0.1,0,87.33333333,0,y
Hector Bellerin,ARS,D,5200,450,0,0,2,1,8,3,205,2,7,6,1,1,0.1,0.5,90,,y
Joe Willock,ARS,M,4000,56,0,0,0,0,1,0,10,0,2,1,1,0,0,0,56,0,y
Kieran Tierney,ARS,D,6200,440,0,0,3,0,16,5,218,4,1,2,1,0,0,0.6,88,,y
Mohamed Elneny,ARS,M,4000,180,0,0,2,0,1,1,112,0,1,0,2,0,0.1,0,90,0,
Nicolas Pepe,ARS,M/F,7800,184,0,0,6,2,5,1,31,3,3,1,2,0,0.5,0.2,66,17.33333333,
Pierre-Emerick Aubameyang,ARS,M/F,10400,446,1,0,6,1,8,7,104,4,4,1,0,1,1.5,0.9,89.2,,y
Reiss Nelson,ARS,M/F,8400,45,0,0,0,0,2,0,6,1,1,0,0,0,0,0,,9,
Rob Holding,ARS,D,3600,270,0,0,1,0,0,0,130,1,3,1,1,1,0.2,0,90,0,
Shkodran Mustafi,ARS,D,3400,46,0,0,0,0,0,0,41,0,1,1,0,0,0,0,,9.2,
Thomas Partey,ARS,M,4000,233,0,0,3,2,0,1,137,3,3,5,4,1,0.4,0.1,75,4,
Willian,ARS,M/F,8600,262,0,0,3,0,6,3,100,3,2,1,1,0,0.3,0,65.5,0,y
Adama Traore,WOL,M/F,9400,185,0,0,2,2,10,3,37,8,3,3,1,1,0.1,0.2,90,23.75,y
Conor Coady,WOL,D,3000,360,0,0,0,0,0,0,183,2,2,4,2,0,0,0,90,0,y
Daniel Podence,WOL,M/F,8200,349,1,0,12,7,6,6,102,5,3,3,1,0,1.3,0.3,69.8,0,y
Fabio Silva,WOL,F,7600,13,0,0,1,0,0,0,3,1,0,0,0,0,0,0,,2.6,
Fernando Marcal,WOL,M,8000,40,0,0,1,0,2,1,27,0,3,0,0,0,0,0.1,65,8,y
Joao Moutinho,WOL,M,7400,194,0,0,1,0,7,5,89,3,2,5,5,1,0.1,0.4,85.5,7.666666667,y
Leander Dendoncker,WOL,M,4200,450,0,0,5,1,2,5,167,2,7,7,2,1,0.8,0.2,90,,y
Max Kilman,WOL,D,3400,450,0,1,3,1,0,1,228,1,5,4,5,1,0.3,0.1,90,,
Nelson Semedo,WOL,D,6000,450,0,0,4,1,12,5,247,5,5,8,6,0,0,0.1,90,,y
Pedro Neto,WOL,M/F,11000,352,1,1,9,3,20,7,128,7,4,6,7,0,1.1,1,82.75,21,y
Raul Jimenez,WOL,F,9800,449,2,0,13,5,2,6,110,8,8,1,4,0,0.6,0.4,89.8,,y
Rayan Ait Nouri,WOL,D,5800,255,1,0,3,1,5,3,123,3,6,3,1,0,0.1,0.3,85,0,
Romain Saiss,WOL,D,3800,157,0,0,0,0,4,1,81,3,2,1,1,0,0,0.1,78.5,0,
Ruben Neves,WOL,M,5000,340,0,0,9,2,0,7,242,1,6,9,3,2,0.4,0.5,82.75,9,
Rui Patricio,WOL,GK,5600,450,0,0,0,0,0,0,57,0,0,0,0,0,0,0,90,,
Vitinha,WOL,M,5600,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,,1.2,
Willy Boly,WOL,D,3800,450,0,0,2,0,0,1,214,1,2,3,4,0,0.1,0,90,,y
