,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Bukayo Saka,ARS,M/F,10200,4.0777777777777775,0,0,9,5,9,4,120,12,1,4,3,0,10.716621253405997,10.716621253405997,0.20476839237057223,0.7916731542740618,0.2586526917896289,0.30234335434322157,0.06825613079019074,0.5253989879330478,0.1299129468420078,0.1007811181144072,11.40653789444031,5.0200861577285565,35.0,0.2571428571428571,2.9331097442846508,0.5555555555555556,1.6295054134914728,27.0,0.14814814814814814,1.3036043307931784,45.87,1.1689163265663123,15.341614945047633,83.5,33.0,y,Bukayo Saka
1,Pedro Neto,WOL,M/F,11000,3.911111111111111,1,1,9,3,20,7,128,7,4,6,7,0,12.79943181818182,16.89034090909091,0.25859375,0.9113145635971024,0.2837590447137042,0.25955085838290387,0.23508522727272727,0.8049674806601352,0.2920431358046157,0.23595532580263984,10.080710811940046,3.4676986945934387,49.0,0.1836734693877551,1.851559128723682,0.3333333333333333,0.6171863762412273,39.0,0.1794871794871795,1.4401015445628635,25.58,0.9146875252726308,15.221834747263559,82.75,21.0,y,Pedro Neto
2,Pierre-Emerick Aubameyang,ARS,M/F,10400,4.955555555555556,1,0,6,1,8,7,104,4,4,1,0,1,4.980269058295964,6.6955156950672645,0.3,0.7916731542740618,0.3789442630211329,0.4429541359040411,0.18,0.5253989879330478,0.34259677718095943,0.26577248154242467,11.40653789444031,5.0200861577285565,35.0,0.17142857142857143,1.9554064961897675,0.16666666666666666,0.32590108269829454,27.0,0.25925925925925924,2.2813075788880623,45.87,1.1689163265663123,12.422791406071084,89.2,0.0,y,Pierre-Emerick Aubameyang
3,Daniel Podence,WOL,M/F,8200,3.8777777777777778,1,0,12,7,6,6,102,5,3,3,1,0,9.86131805157593,12.440114613180516,0.26,0.9113145635971024,0.2853021452589751,0.2609623132019046,0.06,0.8049674806601352,0.07453717254614482,0.06022207227736258,10.080710811940046,3.4676986945934387,49.0,0.24489795918367346,2.468745504964909,0.5833333333333334,1.4401015445628638,39.0,0.15384615384615385,1.2343727524824546,25.58,0.9146875252726308,10.762175367693448,69.8,0.0,y,Daniel Podence
4,Adama Traore,WOL,M/F,9400,2.0555555555555554,0,0,2,2,10,3,37,8,3,3,1,1,12.035675675675678,11.305945945945949,0.04864864864864866,0.9113145635971024,0.053382937782344625,0.048828707251915626,0.09729729729729732,0.8049674806601352,0.12087109061537002,0.09765741450383124,10.080710811940046,3.4676986945934387,49.0,0.04081632653061224,0.4114575841608182,1.0,0.4114575841608182,39.0,0.07692307692307693,0.6171863762412273,25.58,0.9146875252726308,10.41487364464555,90.0,23.75,y,Adama Traore
5,Dani Ceballos,ARS,M/F,6800,3.5,0,0,3,0,2,5,153,6,3,9,4,0,7.988571428571428,7.988571428571428,0.028571428571428574,0.7916731542740618,0.03608992981153647,0.04218610818133725,0.05714285714285715,0.5253989879330478,0.10876088164474905,0.08437221636267452,11.40653789444031,5.0200861577285565,35.0,0.08571428571428572,0.9777032480948837,0.0,0.0,27.0,0.18518518518518517,1.629505413491473,45.87,1.1689163265663123,9.23816018443292,90.0,22.5,y,Dani Ceballos
6,Joao Moutinho,WOL,M,7400,2.1555555555555554,0,0,1,0,7,5,89,3,2,5,5,1,10.289690721649485,9.59381443298969,0.04407216494845361,0.9113145635971024,0.04836108925385085,0.04423528504909365,0.17628865979381445,0.8049674806601352,0.21900097088300285,0.1769411401963746,10.080710811940046,3.4676986945934387,49.0,0.02040816326530612,0.2057287920804091,0.0,0.0,39.0,0.1282051282051282,1.0286439604020454,25.58,0.9146875252726308,9.208166258584628,85.5,7.666666667,y,Joao Moutinho
7,Raul Jimenez,WOL,F,9800,4.988888888888889,2,0,13,5,2,6,110,8,8,1,4,0,6.935412026726056,10.944320712694878,0.12,0.9113145635971024,0.13167791319645003,0.12044414455472517,0.08,0.8049674806601352,0.0993828967281931,0.08029609636981679,10.080710811940046,3.4676986945934387,49.0,0.2653061224489796,2.6744742970453186,0.38461538461538464,1.0286439604020456,39.0,0.15384615384615385,1.2343727524824546,25.58,0.9146875252726308,8.743709033695971,89.8,0.0,y,Raul Jimenez
8,Kieran Tierney,ARS,D,6200,4.888888888888889,0,0,3,0,16,5,218,4,1,2,1,0,6.046363636363636,6.046363636363636,0.0,0.7916731542740618,0.0,0.0,0.11999999999999998,0.5253989879330478,0.22839785145397293,0.17718165436161643,11.40653789444031,5.0200861577285565,35.0,0.08571428571428572,0.9777032480948837,0.0,0.0,27.0,0.18518518518518517,1.629505413491473,45.87,1.1689163265663123,7.982298587756055,88.0,0.0,y,Kieran Tierney
9,Nelson Semedo,WOL,D,6000,5.0,0,0,4,1,12,5,247,5,5,8,6,0,7.368,7.368,0.0,0.9113145635971024,0.0,0.0,0.02,0.8049674806601352,0.024845724182048275,0.020074024092454196,10.080710811940046,3.4676986945934387,49.0,0.08163265306122448,0.8229151683216364,0.25,0.2057287920804091,39.0,0.1282051282051282,1.0286439604020454,25.58,0.9146875252726308,7.545732065358816,90.0,0.0,y,Nelson Semedo
