player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Aboubacar Keita,ARS,DELETE,DELETE,270.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Chris Cadden,ARS,DELETE,DELETE,90.0,0.0,0.0,0.0,0.0,5.0,1.0,55.0,0.0,1.0,0.0,0.0,1.0,0.0,0.1,DELETE,DELETE,DELETE
Darlington Nagbe,ARS,DELETE,DELETE,372.0,1.0,0.0,1.0,1.0,0.0,3.0,181.0,4.0,6.0,2.0,2.0,1.0,0.1,0.0,DELETE,DELETE,DELETE
Eloy Room,ARS,DELETE,DELETE,450.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Emmanuel Boateng,ARS,DELETE,DELETE,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Fatai Alashe,ARS,DELETE,DELETE,76.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Jonathan Mensah,ARS,DELETE,DELETE,450.0,0.0,0.0,5.0,2.0,0.0,0.0,251.0,3.0,2.0,1.0,3.0,0.0,0.1,0.0,DELETE,DELETE,DELETE
Jordan Hamilton,ARS,DELETE,DELETE,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Krisztian Nemeth,ARS,DELETE,DELETE,111.0,1.0,0.0,2.0,1.0,0.0,0.0,22.0,2.0,2.0,0.0,0.0,0.0,0.6,0.0,DELETE,DELETE,DELETE
Lucas Zelarayan,ARS,DELETE,DELETE,372.0,1.0,0.0,7.0,3.0,8.0,12.0,124.0,7.0,8.0,3.0,2.0,1.0,1.0,1.2999999999999998,DELETE,DELETE,DELETE
Luis Diaz,ARS,DELETE,DELETE,198.0,0.0,1.0,4.0,3.0,10.0,2.0,36.0,10.0,3.0,4.0,0.0,0.0,0.30000000000000004,0.6,DELETE,DELETE,DELETE
Pedro Santos,ARS,DELETE,DELETE,450.0,1.0,1.0,10.0,3.0,13.0,4.0,133.0,9.0,6.0,13.0,4.0,1.0,1.7,0.2,DELETE,DELETE,DELETE
Sebastian Berhalter,ARS,DELETE,DELETE,56.0,0.0,0.0,0.0,0.0,0.0,1.0,38.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Waylon Francis,ARS,DELETE,DELETE,197.0,0.0,0.0,0.0,0.0,4.0,2.0,74.0,2.0,2.0,1.0,2.0,0.0,0.0,0.2,DELETE,DELETE,DELETE
Youness Mokhtar,ARS,DELETE,DELETE,78.0,0.0,0.0,1.0,0.0,3.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
