Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting
Ezequiel Barco,ATL,,10000,0.34,0,0,2,1,1,0,24,4,0,0,0,0,0,23.75,23.75,0.1,1.6,0.06,0.11,0,1.4,0.00,0.00,0.47,1.74,18.77,65,15.5,y
Brooks Lennon,ATL,,6400,2.00,1,0,4,3,8,1,80,2,4,1,1,1,0,8.35,12.60,0.6,1.6,0.38,0.65,0.2,1.4,0.14,0.25,0.47,1.74,17.18,90,,y
Lewis Morgan,MIA,,11000,1.84,0,0,4,0,24,5,35,2,0,0,2,0,0,15.99,15.99,0.1,2.5,0.04,0.06,0.3,1.1,0.27,0.39,0.29,1.43,16.56,83,,y
Rodolfo Pizarro,MIA,,12400,2.00,1,1,4,1,7,4,49,4,1,0,2,0,0,9.69,17.69,0.3,2.5,0.12,0.17,0.3,1.1,0.27,0.39,0.29,1.43,12.88,90,,y
Brek Shea,MIA,,4200,0.36,0,0,0,0,6,0,15,0,1,0,0,1,0,11.25,7.03,0.5,2.5,0.20,0.29,0,1.1,0.00,0.00,0.29,1.43,9.32,65,8.5,y
Juan Agudelo,MIA,,7600,0.19,0,0,3,0,0,0,8,0,1,0,0,0,0,14.08,14.08,0.2,2.5,0.08,0.11,0,1.1,0.00,0.00,0.29,1.43,8.43,55,8.5,y
Eric Remedi,ATL,,3400,1.80,0,1,1,0,0,1,79,4,2,1,4,0,0,5.32,8.66,0,1.6,0.00,0.00,0.4,1.4,0.29,0.50,0.47,1.74,8.30,81,,y
Miles Robinson,ATL,,4600,1.50,0,0,0,0,0,0,88,6,1,1,3,0,0,6.51,6.51,0,1.6,0.00,0.00,0,1.4,0.00,0.00,0.47,1.74,7.34,90,45,y
Ben Sweat,MIA,,4800,1.81,0,1,1,0,4,1,55,2,2,0,5,1,0,5.19,7.67,0,2.5,0.00,0.00,0.3,1.1,0.27,0.39,0.29,1.43,5.95,81.5,,y
Jorge Figal,MIA,,5400,1.81,0,0,5,2,0,0,69,1,3,1,5,1,0,6.28,5.46,0.1,2.5,0.04,0.06,0,1.1,0.00,0.00,0.29,1.43,5.33,81.5,,y
Andres Reyes,MIA,,3000,1.84,0,0,2,1,0,0,83,4,2,1,3,1,0,5.51,4.70,0.2,2.5,0.08,0.11,0,1.1,0.00,0.00,0.29,1.43,5.26,83,,y
Matheus Rossetto,ATL,,3200,1.66,0,0,1,0,0,0,82,3,1,2,1,0,0,4.61,4.61,0,1.6,0.00,0.00,0,1.4,0.00,0.00,0.47,1.74,4.65,74.5,,y
