Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Ahmed Elmohamady,AVL,D,4600,35,0,0,0,0,3,1,28,0,1,1,0,0,0,0,,7,
Anwar El Ghazi,AVL,M/F,4800,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,,0.6,
Bertrand Traore,AVL,M/F,7600,67,0,0,3,1,1,0,21,1,1,0,0,0,0.2,0,,9.75,
Douglas Luiz,AVL,M,3600,439,0,1,2,2,2,5,128,11,9,5,3,2,0.1,0.2,87.8,,y
Emiliano Martinez,AVL,GK,6600,450,0,0,0,0,0,0,100,0,0,0,0,0,0,0,90,,
Ezri Konsa,AVL,D,4400,450,0,0,3,1,1,0,107,14,2,0,0,0,0.2,0,90,,y
Jack Grealish,AVL,M,10600,450,3,5,16,6,15,15,126,20,10,4,1,1,1.8,2.5,90,,y
John McGinn,AVL,M,6800,450,1,2,5,1,4,7,113,5,5,6,0,1,0.2,0.9,90,,y
Marvelous Nakamba,AVL,M,4000,11,0,0,1,1,0,0,5,0,1,0,0,1,0,0,,2.2,
Matt Targett,AVL,D,5200,450,0,0,3,0,10,6,173,1,4,9,3,0,0.2,0.2,90,,y
Matty Cash,AVL,D,6000,415,0,0,0,0,5,1,131,5,7,6,6,2,0,0.2,83,,y
Ollie Watkins,AVL,F,9800,450,6,1,13,8,7,6,87,6,4,7,3,0,4.4,0.3,90,,y
Ross Barkley,AVL,M,8800,450,2,1,17,5,7,16,159,4,5,0,2,0,1.5,1.8,90,,y
Trezeguet,AVL,M,6200,380,0,1,9,5,10,3,71,2,16,6,4,0,0.6,1.4,79.5,,y
Tyrone Mings,AVL,D,4200,450,1,0,3,2,0,1,149,4,0,5,1,1,0.2,0,90,,y
Aaron Connolly,BHA,F,7400,83,0,1,0,0,1,0,6,3,0,1,0,0,0,0,65,4.5,
Adam Lallana,BHA,M,5000,342,0,0,5,0,8,10,135,5,2,0,1,0,0.4,1.4,79.25,25,y
Adam Webster,BHA,D,3200,450,0,0,4,1,0,1,314,4,5,3,3,1,0.2,0,90,,y
Alexis Mac Allister,BHA,M,7000,46,1,0,1,1,1,0,13,0,1,2,0,0,0.1,0,,9,
Alireza Jahanbakhsh,BHA,M/F,4600,8,0,0,0,0,3,0,3,0,0,1,0,0,0,0,,1.6,
Ben White,BHA,M,3400,450,0,0,1,0,0,0,230,0,5,9,5,0,0,0,90,,y
Bernardo,BHA,D,4800,26,0,0,0,0,0,0,13,0,0,2,0,0,0,0,,5.2,
Dan Burn,BHA,D,4000,351,0,0,3,0,6,1,189,3,6,5,4,1,0,0.1,87.75,0,
Danny Welbeck,BHA,F,8200,102,0,0,4,1,1,3,15,1,1,0,0,0,0.4,0.3,85,4.25,y
Joel Veltman,BHA,D,3800,307,0,0,0,0,7,2,209,4,1,3,0,0,0,0.1,87.33333333,22.5,
Leandro Trossard,BHA,M/F,8400,318,0,0,8,3,6,4,89,2,0,0,0,0,0.5,0.5,79.5,0,
Lewis Dunk,BHA,D,3200,179,0,0,2,0,0,1,128,4,2,2,0,0,0,0,89.5,0,y
Mathew Ryan,BHA,GK,5800,360,0,0,0,0,0,0,113,0,0,0,0,1,0,0,90,0,
Neal Maupay,BHA,F,10000,360,1,0,12,5,0,2,84,4,6,5,1,0,2,0.2,90,0,y
Pascal Gross,BHA,M/F,9000,228,0,1,4,1,12,7,151,1,1,3,0,0,0.3,0.4,90,16,y
Robert Lynch Sanchez,BHA,GK,5600,90,0,0,0,0,0,0,16,0,0,0,0,0,0,0,90,0,
Solly March,BHA,M,7800,313,0,1,0,0,15,4,146,2,9,6,0,0,0,0.3,78.25,0,y
Steven Alzate,BHA,M,4200,93,0,0,0,0,1,1,60,0,4,3,0,1,0,0,81,3,
Tariq Lamptey,BHA,M,8000,393,1,0,4,1,13,6,190,10,10,5,2,1,0.5,0.5,78.6,,y
Yves Bissouma,BHA,M,4800,450,1,0,10,1,3,1,227,5,11,9,1,2,0.3,0,90,,y
