,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Jack Grealish,AVL,M,10600,5.0,3,5,16,6,15,15,126,20,10,4,1,1,13.904000000000002,25.603999999999996,0.36,1.845526315789474,0.19506630543276768,0.3295860981700852,0.5,1.5128947368421053,0.3304922595233954,0.45775846968067396,11.830537385900826,4.923741026399669,71.0,0.22535211267605634,2.6660365940058197,0.375,0.9997637227521824,60.0,0.25,2.499409306880456,43.48,1.6896106041424035,18.411621423423355,90.0,0.0,y,Jack Grealish
1,Ollie Watkins,AVL,F,9800,5.0,6,1,13,8,7,6,87,6,4,7,3,0,9.228,22.428,0.8800000000000001,1.845526315789474,0.4768287466134322,0.8056549066379862,0.06,1.5128947368421053,0.039659071142807444,0.054931016361680865,11.830537385900826,4.923741026399669,71.0,0.18309859154929578,2.1661547326297286,0.6153846153846154,1.3330182970029099,60.0,0.1,0.9997637227521825,43.48,1.6896106041424035,16.71307191693477,90.0,0.0,y,Ollie Watkins
2,Neal Maupay,BHA,F,10000,4.0,1,0,12,5,0,2,84,4,6,5,1,0,6.795,9.295,0.5,1.2444444444444447,0.4017857142857142,0.6455291425534198,0.05,0.9573099415204679,0.05222968845448992,0.06455291425534197,11.366470256549388,3.8382758045157144,46.0,0.2608695652173913,2.965166153882449,0.4166666666666667,1.2354858974510206,35.0,0.05714285714285714,0.4941943589804082,30.3,1.6066503103551784,13.582455321380126,90.0,0.0,y,Neal Maupay
3,Ross Barkley,AVL,M,8800,5.0,2,1,17,5,7,16,159,4,5,0,2,0,9.716,14.916000000000002,0.3,1.845526315789474,0.1625552545273064,0.27465508180840437,0.36,1.5128947368421053,0.23795442685684465,0.32958609817008516,11.830537385900826,4.923741026399669,71.0,0.23943661971830985,2.8326638811311833,0.29411764705882354,0.8331364356268186,60.0,0.26666666666666666,2.6660365940058197,43.48,1.6896106041424035,13.171904317868375,90.0,0.0,y,Ross Barkley
4,Pascal Gross,BHA,M/F,9000,2.533333333333333,0,1,4,1,12,7,151,1,1,3,0,0,10.626315789473685,12.994736842105265,0.11842105263157895,1.2444444444444447,0.09515977443609021,0.1528884811310731,0.15789473684210528,0.9573099415204679,0.1649358582773366,0.20385130817476413,11.366470256549388,3.8382758045157144,46.0,0.08695652173913043,0.9883887179608163,0.25,0.24709717949020407,35.0,0.2,1.7296802564314289,30.3,1.6066503103551784,11.606632498452292,90.0,16.0,y,Pascal Gross
5,Adam Lallana,BHA,M,5000,3.8,0,0,5,0,8,10,135,5,2,0,1,0,7.315789473684211,7.315789473684211,0.09269005847953217,1.2444444444444447,0.0744830827067669,0.11966826794703746,0.32441520467836255,0.9573099415204679,0.33888210140500913,0.41883893781463105,11.366470256549388,3.8382758045157144,46.0,0.10869565217391304,1.2354858974510203,0.0,0.0,35.0,0.2857142857142857,2.470971794902041,30.3,1.6066503103551784,10.382255870056252,79.25,25.0,y,Adam Lallana
6,Danny Welbeck,BHA,F,8200,1.1333333333333333,0,0,4,1,1,3,15,1,1,0,0,0,8.382352941176471,8.382352941176471,0.33333333333333337,1.2444444444444447,0.26785714285714285,0.43035276170227993,0.25,0.9573099415204679,0.2611484422724496,0.3227645712767099,11.366470256549388,3.8382758045157144,46.0,0.08695652173913043,0.9883887179608163,0.25,0.24709717949020407,35.0,0.08571428571428572,0.7412915384706124,30.3,1.6066503103551784,9.466892480604692,85.0,4.25,y,Danny Welbeck
7,Tariq Lamptey,BHA,M,8000,4.366666666666666,1,0,4,1,13,6,190,10,10,5,2,1,7.992366412213743,9.938931297709924,0.1,1.2444444444444447,0.08035714285714285,0.12910582851068397,0.1,0.9573099415204679,0.10445937690897984,0.12910582851068395,11.366470256549388,3.8382758045157144,46.0,0.08695652173913043,0.9883887179608163,0.25,0.24709717949020407,35.0,0.17142857142857143,1.4825830769412247,30.3,1.6066503103551784,9.263762230563188,78.6,0.0,y,Tariq Lamptey
8,Trezeguet,AVL,M,6200,4.222222222222222,0,1,9,5,10,3,71,2,16,6,4,0,6.49421052631579,7.915263157894737,0.12552631578947368,1.845526315789474,0.06801654071010979,0.11492146844088498,0.2928947368421052,1.5128947368421053,0.19359888676291526,0.26815009302873155,11.830537385900826,4.923741026399669,71.0,0.1267605633802817,1.4996455841282736,0.5555555555555556,0.8331364356268187,60.0,0.05,0.49988186137609125,43.48,1.6896106041424035,7.77075280792295,79.5,0.0,y,Trezeguet
9,Yves Bissouma,BHA,M,4800,5.0,1,0,10,1,3,1,227,5,11,9,1,2,5.5280000000000005,6.928,0.06,1.2444444444444447,0.0482142857142857,0.07746349710641037,0.0,0.9573099415204679,0.0,0.0,11.366470256549388,3.8382758045157144,46.0,0.21739130434782608,2.4709717949020407,0.1,0.24709717949020407,35.0,0.02857142857142857,0.2470971794902041,30.3,1.6066503103551784,6.267801124946553,90.0,0.0,y,Yves Bissouma
