Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,FPPG,FPP90,Floor,Floor90,FPPG-Floor,FPP90-Floor90,Team_Odds,FPPG_w_Odds,FPPG/$1000,Floor_w_Odds,Floor/$1000,FPP90_w_Odds,FPP90/$1000,Floor90_w_Odds,Floor90/$1000,Starting
R. Lewandowski,BAY,F,12400,4.00,6,2,16,6,4,5,81,6,4,3,3,1,0,22.08,27.61,7.68,9.61,14.40,18.00,0.49,21.96,1.77,7.56,0.61,27.48,2.22,9.48,0.76,y
L. Messi,BAR,M/F,12200,5.00,4,1,22,7,20,8,274,15,3,2,0,0,0,23.60,23.60,14.40,14.40,9.20,9.20,0.27,21.30,1.75,12.10,0.99,21.30,1.75,12.10,0.99,y
I. Perisic,BAY,M,7800,2.29,1,1,2,2,4,5,51,0,2,1,2,0,0,5.96,13.03,2.76,6.04,3.20,6.99,0.49,5.84,0.75,2.64,0.34,12.91,1.65,5.92,0.76,y
T. Muller,BAY,M/F,8200,3.96,1,1,6,3,9,14,146,1,2,3,0,0,0,10.24,12.95,7.04,8.90,3.20,4.04,0.49,10.12,1.23,6.92,0.84,12.83,1.56,8.78,1.07,y
S. Gnabry,BAY,M,8600,4.42,1,0,15,7,10,5,136,6,3,3,3,0,0,11.14,12.60,9.14,10.34,2.00,2.26,0.49,11.02,1.28,9.02,1.05,12.48,1.45,10.22,1.19,y
L. Suarez,BAR,F,9000,3.74,3,0,12,5,0,2,68,6,3,0,1,1,0,10.77,14.38,4.77,6.37,6.00,8.01,0.27,8.47,0.94,2.47,0.27,12.09,1.34,4.07,0.45,y
T. Alcantara,BAY,M,4000,0.81,0,0,1,0,0,1,64,0,3,5,1,0,0,1.46,8.98,1.46,8.98,0.00,0.00,0.49,1.33,0.33,1.33,0.33,8.85,2.21,8.85,2.21,y
I. Rakitic,BAR,M,4600,3.10,0,1,2,0,10,3,261,6,4,2,5,1,0,6.04,9.75,4.84,7.81,1.20,1.94,0.27,3.75,0.81,2.55,0.55,7.45,1.62,5.52,1.20,y
L. Goretzka,BAY,M,5600,4.88,1,0,3,1,1,2,248,6,7,7,8,0,0,7.03,7.21,5.03,5.16,2.00,2.05,0.49,6.91,1.23,4.91,0.88,7.09,1.27,5.04,0.90,y
A. Davies,BAY,D,6000,4.19,0,0,1,0,11,4,226,4,7,9,8,2,0,5.54,6.62,5.54,6.62,0.00,0.00,0.49,5.42,0.90,5.42,0.90,6.50,1.08,6.50,1.08,y
J. Alba,BAR,D,4800,4.13,0,2,1,0,7,4,328,5,4,2,6,1,0,6.99,8.46,4.59,5.55,2.40,2.90,0.27,4.69,0.98,2.29,0.48,6.16,1.28,3.26,0.68,y
N. Semedo,BAR,D,3800,3.60,1,0,2,2,5,3,265,2,3,3,4,1,0,5.96,8.28,3.96,5.50,2.00,2.78,0.27,3.66,0.96,1.66,0.44,5.98,1.57,3.20,0.84,y
