Player,Team,Pos,90s,Gls,Ast,Sh,SoT,Crs,PassLive,PassDead,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,Salary,FPPG,FPPG/$1000,Floor,FPPG-Floor,Team_Odds,FPPG_w_Odds,Floor_w_Odds,Opp_Def_OPRK,Starting
Lionel Messi\Lionel-Messi,BAR,FW,40.4,30,24,190,81,135,147,21,1950,92,27,11,9,7,0,12800,27.23,2.13,16.24,10.99,0.61,28.34,17.35,12,y
Rafinha\Rafinha,BAR,FWMF,2.1,0,0,6,1,12,6,3,142,12,3,3,1,0,0,6600,19.64,2.98,19.64,0,0.61,20.75,20.75,12,
Luis Suárez\Luis-Suarez,BAR,FW,27.5,19,11,97,53,10,65,0,627,35,19,5,3,5,0,11000,18.73,1.7,9.42,9.31,0.61,19.84,10.53,12,y
Dries Mertens\Dries-Mertens,NAP,FW,26.6,16,8,99,35,112,80,12,656,34,41,30,11,5,0,8600,21.32,2.48,13.5,7.82,0.17,18.06,10.24,18,y
Ansu Fati\Ansu-Fati,BAR,FW,15.1,8,1,44,15,27,29,2,487,31,24,12,9,3,1,8200,15.41,1.88,9.71,5.7,0.61,16.52,10.82,12,
Lorenzo Insigne\Lorenzo-Insigne,NAP,MF,38.3,12,8,144,47,137,123,13,1553,37,9,23,36,2,0,9000,18.08,2.01,13.69,4.39,0.17,14.82,10.43,18,y
Amin Younes\Amin-Younes,NAP,FW,2.1,1,0,7,1,1,10,0,92,5,4,5,0,1,0,5800,17.64,3.04,12.88,4.76,0.17,14.38,9.62,18,
Arthur Melo\Arthur-Melo,BAR,MF,17.1,4,4,11,6,25,24,2,1209,56,15,18,4,2,0,6000,12.53,2.09,8.78,3.74,0.61,13.64,9.89,12,
Antoine Griezmann\Antoine-Griezmann,BAR,FW,37.3,15,4,74,36,32,63,1,1141,25,19,24,16,4,0,9400,11.65,1.24,6.99,4.66,0.61,12.77,8.1,12,y
Matteo Politano\Matteo-Politano,NAP,MF,9.9,2,2,22,10,45,26,6,278,21,9,8,5,1,0,6800,16.02,2.36,12.78,3.23,0.17,12.76,9.52,18,
Arturo Vidal\Arturo-Vidal,BAR,MFFW,24,8,3,31,14,19,51,2,1327,29,60,49,18,8,1,6800,11.58,1.7,7.49,4.08,0.61,12.69,8.6,12,
Ousmane Dembélé\Ousmane-Dembele,BAR,FW,5.5,1,0,9,3,25,15,3,248,6,3,0,0,2,1,7600,11.08,1.46,9.27,1.82,0.61,12.19,10.38,12,
José Callejón\Jose-Callejon,NAP,MF,32.5,4,8,50,17,195,81,33,1189,58,17,10,12,2,0,7800,15.13,1.94,12.42,2.71,0.17,11.87,9.16,18,y
Ivan Rakitić\Ivan-Rakitic,BAR,MF,22.5,1,4,37,9,40,33,5,1571,47,26,22,25,6,0,5600,10.53,1.88,9.02,1.51,0.61,11.64,10.13,12,y
Hirving Lozano\Hirving-Lozano,NAP,FWMF,16.6,5,1,44,16,55,41,1,351,45,29,10,9,4,0,7400,14.61,1.97,11.24,3.37,0.17,11.35,7.98,18,
Fernando Llorente\Fernando-Llorente,NAP,FW,7.6,4,1,34,12,0,15,0,155,11,17,2,1,3,0,6400,14.55,2.27,8.5,6.05,0.17,11.29,5.24,18,
Riqui Puig\Riqui-Puig,BAR,FW,6.4,0,2,8,4,1,16,1,394,11,9,7,5,1,0,3000,10.01,3.34,8.14,1.88,0.61,11.12,9.25,12,
Faouzi Ghoulam\Faouzi-Ghoulam,NAP,DF,4.2,0,1,4,2,33,8,6,240,5,6,3,5,2,0,4000,13.9,3.48,12.48,1.43,0.17,10.64,9.22,18,
Arkadiusz Milik\Arkadiusz-Milik,NAP,FW,23.6,14,0,80,30,2,39,1,442,37,30,10,3,6,0,8000,13.76,1.72,7.83,5.93,0.17,10.5,4.57,18,
Moussa Wagué\Moussa-Wague,BAR,DF,2,0,0,2,0,7,2,0,127,0,2,7,2,0,0,5200,9.22,1.77,9.22,0,0.61,10.33,10.33,12,
Martin Braithwaite\Martin-Braithwaite,BAR,FWMF,4.5,1,0,13,8,4,2,0,99,7,8,1,1,1,0,7000,9.06,1.29,6.84,2.22,0.61,10.17,7.95,12,
Carles Aleñá\Carles-Alena,BAR,MF,2.9,0,0,1,1,7,6,1,227,4,4,4,1,0,0,5400,8.6,1.59,8.6,0,0.61,9.71,9.71,12,
Jordi Alba\Jordi-Alba,BAR,DF,29.3,2,6,9,3,76,49,1,1964,26,20,16,45,9,0,6400,8.58,1.34,6.67,1.91,0.61,9.69,7.78,12,y
Sergio Busquets\Sergio-Busquets,BAR,MF,35.4,2,2,11,4,1,57,1,2689,64,60,77,67,12,0,4000,8.08,2.02,7.17,0.9,0.61,9.19,8.29,12,
Mário Rui\Mario-Rui,NAP,DF,30.6,0,2,35,10,160,67,6,1878,73,26,34,33,12,0,5200,12.16,2.34,11.77,0.39,0.17,8.9,8.51,18,y
Marc-André ter Stegen\Marc-Andre-ter-Stegen,BAR,GK,44,0,2,0,0,0,5,1,1409,3,0,0,2,1,0,7200,0,0,0,0,0.61,8.25,8.25,12,y
Nélson Semedo\Nelson-Semedo,BAR,DF,31.3,1,4,12,3,31,31,0,1788,41,36,51,34,5,0,5800,7.06,1.22,5.97,1.09,0.61,8.17,7.08,12,y
Sergi Roberto\Sergi-Roberto,BAR,DF,32.1,1,2,10,4,39,54,0,2161,43,25,24,40,9,0,4400,6.9,1.57,6.22,0.69,0.61,8.01,7.33,12,
Frenkie de Jong\Frenkie-de-Jong,BAR,MF,33.8,2,3,8,6,7,58,0,1949,41,28,36,38,4,1,4200,6.71,1.6,5.59,1.12,0.61,7.82,6.7,12,
Fabián Ruiz Peña\Fabian-Ruiz-Pena,NAP,MF,39.9,4,6,82,21,25,113,1,2508,33,24,41,51,4,0,4600,11.08,2.41,9.18,1.9,0.17,7.82,5.92,18,y
Piotr Zieliński\Piotr-Zielinski,NAP,MF,42.2,2,6,83,21,44,112,3,1926,72,27,22,31,5,0,5400,10.26,1.9,8.93,1.33,0.17,7,5.67,18,y
Junior Firpo\Junior-Firpo,BAR,DF,15.6,1,1,4,1,10,15,0,887,24,40,18,21,6,0,4200,5.4,1.29,4.37,1.03,0.61,6.51,5.49,12,
Allan\Allan,NAP,MF,19.9,2,1,14,7,13,43,0,952,33,37,52,19,4,0,3400,9.45,2.78,8.15,1.31,0.17,6.19,4.89,18,
Jean-Clair Todibo\Jean-Clair-Todibo,BAR,DF,1.9,0,0,1,0,0,0,0,97,0,2,7,1,0,0,3600,4.97,1.38,4.97,0,0.61,6.08,6.08,12,
Kévin Malcuit\Kevin-Malcuit,NAP,DF,4.5,0,0,3,0,22,7,0,224,6,6,7,6,1,0,3800,9.2,2.42,9.2,0,0.17,5.93,5.93,18,
Clément Lenglet\Clement-Lenglet,BAR,DF,35.9,3,1,15,5,1,14,0,2389,33,45,42,44,12,2,3000,4.71,1.57,3.7,1,0.61,5.82,4.82,12,
Alex Meret\Alex-Meret,NAP,GK,29,0,0,0,0,0,0,1,652,4,0,0,2,0,0,4800,0,0,0,0,0.17,5.42,5.42,18,
David Ospina\David-Ospina,NAP,GK,21.3,0,0,0,0,0,2,0,440,6,1,0,0,2,0,4800,0,0,0,0,0.17,5.38,5.38,18,y
Giovanni Di Lorenzo\Giovanni-Di-Lorenzo,NAP,DFMF,45.3,3,6,25,6,74,64,2,2341,72,41,56,36,5,0,4400,8.38,1.9,6.92,1.46,0.17,5.12,3.66,18,y
Elseid Hysaj\Elseid-Hysaj,NAP,DF,19.1,1,2,6,3,43,33,2,1098,22,12,20,25,5,1,4400,8.17,1.86,7.02,1.15,0.17,4.91,3.76,18,
Samuel Umtiti\Samuel-Umtiti,BAR,DF,14.7,0,0,1,0,0,7,0,968,19,25,11,32,6,0,3200,3.53,1.1,3.53,0,0.61,4.64,4.64,12,
Gerard Piqué\Gerard-Pique,BAR,DF,42.2,1,0,18,7,0,14,0,2839,22,40,29,48,20,0,3800,3.1,0.82,2.86,0.24,0.61,4.21,3.97,12,
Elif Elmas\Elif-Elmas,NAP,MF,17,1,1,27,11,3,32,0,677,19,33,14,12,7,0,4000,6.68,1.67,5.74,0.94,0.17,3.42,2.48,18,
Stanislav Lobotka\Stanislav-Lobotka,NAP,MF,8.6,0,0,2,0,1,14,0,608,15,7,10,9,0,0,3600,6.38,1.77,6.38,0,0.17,3.12,3.12,18,
Ronald Araújo\Ronald-Araujo,BAR,DF,2.6,0,0,1,0,0,0,0,197,1,2,2,1,0,1,3000,1.71,0.57,1.71,0,0.61,2.82,2.82,12,
Kalidou Koulibaly\Kalidou-Koulibaly,NAP,DF,31.7,0,0,23,4,4,21,0,1799,20,44,53,45,9,1,3400,4.54,1.33,4.54,0,0.17,1.27,1.27,18,
Diego Demme\Diego-Demme,NAP,MF,15.5,1,0,5,2,5,17,0,751,15,32,16,20,6,0,3600,4.42,1.23,3.78,0.65,0.17,1.16,0.51,18,y
Kostas Manolas\Kostas-Manolas,NAP,DF,32.2,4,0,23,8,0,4,0,1573,18,28,19,34,3,0,3200,4.41,1.38,3.17,1.24,0.17,1.15,-0.09,18,
Nikola Maksimović\Nikola-Maksimovic,NAP,DF,26.3,1,1,9,2,13,12,0,1401,14,28,26,40,3,1,3200,4.36,1.36,3.75,0.61,0.17,1.1,0.49,18,
Sebastiano Luperto\Sebastiano-Luperto,NAP,DF,8.1,0,0,1,0,8,5,1,413,3,8,9,11,2,0,3200,3.87,1.21,3.87,0,0.17,0.61,0.61,18,
