Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,Team_Odds,FPPG_w_Odds,FPPG/$1000,Floor_w_Odds,Floor/$1000,FPP90_w_Odds,FPP90/$1000,Floor90_w_Odds,Floor90/$1000,Goal_Odds,Pts_w_GOdds,Start_Mins,Starting
Alphonso Davies,BAY,D,7000,3.92,0,1,2,0,7,4,166,6,6,7,8,1,0,0.8,11.7,1.67,10.5,1.5,14.1,2.01,12.57,1.8,,,88.25,y
Alvaro Odriozola,BAY,D,5000,0.9,0,1,0,0,4,2,36,1,0,0,1,0,0,0.8,7.58,1.52,6.38,1.28,28.47,5.69,21.8,4.36,,,,
Anthony Lopes,OL,GK,4000,3.33,0,0,0,0,0,0,74,1,0,0,0,1,0,0.08,-2.29,-0.57,-2.29,-0.57,-1.33,-0.33,-1.33,-0.33,,,,
Benjamin Pavard,BAY,D,6200,2.32,0,0,1,0,6,1,122,1,3,1,6,0,0,0.8,7.53,1.21,7.53,1.21,12.75,2.06,12.75,2.06,,,,
Bertrand Traore,OL,M/F,5800,0.46,0,0,1,0,3,1,9,2,2,0,0,0,0,0.08,-1.25,-0.22,-1.25,-0.22,28.43,4.9,28.43,4.9,,,,
Bruno Guimaraes,OL,M,3600,2.48,0,0,2,0,0,0,81,5,5,6,2,1,0,0.08,-0.17,-0.05,-0.17,-0.05,3.97,1.1,3.97,1.1,,,74.33,y
Corentin Tolisso,BAY,M,7800,0.31,1,0,1,1,0,1,13,0,0,0,1,0,0,0.8,7.49,0.96,5.49,0.7,75.19,9.64,43.05,5.52,,,,
David Alaba,BAY,D,4600,3.88,1,0,3,2,0,0,238,1,4,1,2,0,0,0.8,8.89,1.93,6.89,1.5,10.6,2.3,8.02,1.74,,,87.25,y
Houssem Aouar,OL,M,5600,3.32,0,1,5,1,2,3,84,11,4,2,2,1,0,0.08,3.35,0.6,2.15,0.38,7.17,1.28,5.37,0.96,,,89.67,y
Ivan Perisic,BAY,M,8800,2.06,2,1,6,4,6,4,43,0,2,1,2,0,0,0.8,14.31,1.63,9.11,1.04,30.52,3.47,17.87,2.03,,,72,y
Jason Denayer,OL,D,3000,3,0,0,1,0,0,0,72,0,5,3,4,0,0,0.08,-1.5,-0.5,-1.5,-0.5,0.32,0.11,0.32,0.11,,,80,y
Javi Martinez,BAY,M,3200,1.03,0,0,0,0,0,0,81,0,1,0,2,0,0,0.8,5.16,1.61,5.16,1.61,13.47,4.21,13.47,4.21,,,,
Jeff Reine-Adelaide,OL,M,3200,0.31,0,0,0,0,1,1,10,2,0,0,0,0,0,0.08,-1.65,-0.52,-1.65,-0.52,37.23,11.64,37.23,11.64,,,,
Jerome Boateng,BAY,D,3400,4.28,0,0,2,1,1,0,287,1,4,2,6,1,0,0.8,7.19,2.11,7.19,2.11,7.9,2.32,7.9,2.32,,,73.75,y
Joachim Andersen,OL,D,3000,0.78,0,0,0,0,0,0,23,1,2,0,1,0,0,0.08,-2.3,-0.77,-2.3,-0.77,8.19,2.73,8.19,2.73,,,,
Joshua Kimmich,BAY,D,8000,3.9,2,2,5,3,19,9,236,10,3,4,3,1,0,0.8,21.78,2.72,15.38,1.92,27.08,3.39,18.88,2.36,,,85,y
Karl Toko Ekambi,OL,F,4800,2.14,0,0,2,2,2,3,25,2,1,0,1,0,0,0.08,-0.19,-0.04,-0.19,-0.04,5.19,1.08,5.19,1.08,,,76,y
Kenny Tete,OL,D,4400,0.2,0,0,0,0,0,0,3,0,1,0,0,0,0,0.08,-2.58,-0.59,-2.58,-0.59,37.07,8.42,37.07,8.42,,,,
Kingsley Coman,BAY,M/F,7400,1.94,1,1,7,3,10,5,58,4,5,1,1,0,0,0.8,13.77,1.86,10.57,1.43,30.7,4.15,22.47,3.04,,,27,y
Leo Dubois,OL,M,3800,2.74,0,0,0,0,3,1,85,1,3,2,1,2,0,0.08,-1.55,-0.41,-1.55,-0.41,0.65,0.17,0.65,0.17,,,82.33,y
Leon Goretzka,BAY,M,6000,4.8,0,1,7,1,1,6,241,8,11,11,9,0,0,0.8,13.5,2.25,12.3,2.05,13.94,2.32,12.69,2.12,,,86.4,y
Lucas Hernandez,BAY,D,4200,1.44,0,2,1,0,1,1,69,1,2,3,2,0,0,0.8,8.82,2.1,6.42,1.53,23.13,5.51,14.82,3.53,,,,
Manuel Neuer,BAY,GK,7600,4,0,1,0,0,0,1,169,0,0,0,0,0,0,0.8,6.82,0.9,5.62,0.74,7.77,1.02,6.27,0.83,,,,
Marcal,OL,D,4200,3.33,0,0,2,2,0,0,113,2,5,1,3,2,0,0.08,-1.44,-0.34,-1.44,-0.34,-0.04,-0.01,-0.04,-0.01,,,90,y
Marcelo,OL,D,3200,2.89,0,0,0,0,0,0,76,0,8,3,6,1,0,0.08,-2.09,-0.65,-2.09,-0.65,-0.52,-0.16,-0.52,-0.16,,,86.67,y
Maxence Caqueret,OL,M,3000,3.33,0,0,1,0,0,1,69,1,11,2,7,2,0,0.08,-2.21,-0.74,-2.21,-0.74,-1.21,-0.4,-1.21,-0.4,,,90,y
Maxwel Cornet,OL,M/F,6400,3.33,1,0,5,3,9,4,86,6,2,2,4,1,0,0.08,5.55,0.87,3.55,0.56,10.45,1.63,7.45,1.16,,,90,y
Memphis Depay,OL,M/F,8400,2.43,1,0,4,1,10,2,48,4,5,0,0,1,0,0.08,3.1,0.37,1.1,0.13,10.83,1.29,6.73,0.8,,,73,y
Michael Cuisance,BAY,M,3600,1.7,1,0,5,1,9,2,74,2,5,2,2,0,0,0.8,10.94,3.04,8.94,2.48,26.34,7.32,20.46,5.68,,,,
Moussa Dembele,OL,F,5400,1.32,2,0,4,3,0,2,19,3,4,1,0,0,0,0.08,3.79,0.7,-0.21,-0.04,26.08,4.83,10.96,2.03,,,20,y
Niklas Sule,BAY,D,3600,0.48,0,0,1,1,0,0,32,0,0,3,1,0,0,0.8,5.97,1.66,5.97,1.66,34.06,9.46,34.06,9.46,,,,
Philippe Coutinho,BAY,M,10600,0.84,2,1,5,2,2,2,34,2,1,0,0,0,0,0.8,12.58,1.19,7.38,0.7,59.7,5.63,28.91,2.73,,,16.5,y
Rafael,OL,D,3400,0.37,0,0,0,0,2,0,7,1,2,0,2,0,1,0.08,-3.06,-0.9,-1.86,-0.55,11.7,3.44,28.06,8.25,,,,
Robert Lewandowski,BAY,F,12800,5,8,4,21,11,7,13,107,4,3,7,3,1,0,0.8,38.27,2.99,17.47,1.36,38.27,2.99,17.47,1.36,,,90,y
Serge Gnabry,BAY,M,9800,3.34,2,1,13,7,8,5,104,6,3,4,3,0,0,0.8,18.96,1.93,13.76,1.4,26.85,2.74,19.08,1.95,,,76.4,y
Sven Ulreich,BAY,GK,7400,1,0,0,0,0,1,0,44,0,0,0,0,0,0,0.8,5.12,0.69,5.12,0.69,13.58,1.84,13.58,1.84,,,,
Thiago,BAY,M,5200,1.81,0,0,2,0,0,1,133,1,7,5,2,0,0,0.8,6.57,1.26,6.57,1.26,12.86,2.47,12.86,2.47,,,83.25,y
Thiago Mendes,OL,M,3600,0.87,0,0,1,0,0,1,27,1,0,3,4,0,0,0.08,-0.78,-0.22,-0.78,-0.22,15.66,4.35,15.66,4.35,,,,
Thomas Muller,BAY,M/F,9200,4.92,3,2,13,7,10,20,175,2,3,4,1,0,0,0.8,24.84,2.7,16.44,1.79,25.19,2.74,16.65,1.81,,,88.6,y
