Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Aaron Connolly,BHA,F,8200,152,0,1,1,0,1,1,13,4,1,1,0,0,0.1,0,69.5,4.333333333,
Adam Lallana,BHA,M,5200,326,0,0,2,0,5,6,116,5,6,0,1,0,0.3,0.9,75.25,25,y
Adam Webster,BHA,D,3200,450,0,0,4,1,0,2,303,4,3,5,4,1,0.3,0,90,,y
Alexis Mac Allister,BHA,M,7000,46,1,0,1,1,1,0,13,0,1,2,0,0,0.1,0,,9.2,
Alireza Jahanbakhsh,BHA,M/F,5200,16,0,1,1,0,2,2,15,0,0,0,0,1,0,0.4,,3.2,
Ben White,BHA,M,4000,450,0,0,1,0,2,1,248,0,6,9,3,1,0,0.1,90,,y
Bernardo,BHA,D,5000,26,0,0,0,0,0,0,13,0,0,2,0,0,0,0,,5.2,
Dan Burn,BHA,D,4200,261,0,0,2,0,1,0,139,2,4,4,3,1,0,0,87,0,y
Danny Welbeck,BHA,F,10200,17,0,0,0,0,0,0,4,0,0,0,0,0,0,0,65,3.4,y
Joel Veltman,BHA,D,3000,225,0,0,0,0,3,0,154,4,1,2,0,0,0,0,90,15,y
Leandro Trossard,BHA,M/F,10000,408,0,0,12,4,8,6,117,2,1,1,0,1,1.2,0.6,81.6,,
Lewis Dunk,BHA,D,3600,269,0,0,2,0,0,1,186,5,3,2,1,1,0,0,89.66666667,0,
Mathew Ryan,BHA,GK,7400,360,0,0,0,0,0,0,108,0,0,0,0,1,0,0,90,0,
Neal Maupay,BHA,F,12400,360,2,0,13,5,1,5,77,6,6,6,1,0,2.6,0.5,90,0,y
Pascal Gross,BHA,M/F,9800,154,0,1,1,0,5,5,111,1,1,4,0,0,0,0.4,90,16,y
Robert Lynch Sanchez,BHA,GK,7400,90,0,0,0,0,0,0,16,0,0,0,0,0,0,0,90,0,
Solly March,BHA,M,8400,403,1,1,5,1,22,5,191,5,10,8,0,0,0.6,0.3,80.6,,
Steven Alzate,BHA,M,4400,183,0,0,1,0,1,2,106,2,10,8,0,1,0.1,0.1,85.5,4,
Tariq Lamptey,BHA,M,9200,393,1,0,2,1,9,5,187,15,10,4,3,1,0.3,0.5,78.6,,y
Yves Bissouma,BHA,M,5800,360,1,0,8,1,3,1,179,5,8,6,1,1,0.2,0,90,0,y
Ashley Barnes,BUR,F,6600,312,0,0,10,3,1,4,55,10,10,0,0,1,0.9,0.1,78,0,y
Ashley Westwood,BUR,M,7800,450,1,0,3,2,7,6,235,9,4,4,1,1,0.2,0.6,90,,y
Charlie Taylor,BUR,D,6200,450,0,0,1,1,16,0,196,4,1,6,0,1,0,0,90,,y
Chris Wood,BUR,F,6800,450,0,0,9,3,0,2,67,4,9,4,0,0,1,0.1,90,,y
Dale Stephens,BUR,M,3400,202,0,0,3,0,0,0,82,2,3,3,1,0,0.1,0,67.33333333,0,
Dwight McNeil,BUR,M/F,8800,450,0,0,1,0,20,6,158,11,1,6,3,1,0.1,0.4,90,,y
Erik Pieters,BUR,M,6200,90,0,0,0,0,1,0,29,2,4,0,0,0,0,0,90,0,
James Tarkowski,BUR,D,3800,360,0,0,5,1,0,1,96,3,3,8,1,1,0.4,0.1,90,0,y
Jay Rodriguez,BUR,M/F,8000,66,0,0,1,0,0,1,15,1,0,0,0,0,0,0.1,,13.2,
Jimmy Dunne,BUR,D,3200,90,0,0,1,0,0,1,44,0,0,0,0,0,0.1,0.1,90,0,
Johann Berg Gudmundsson,BUR,M/F,6400,174,0,0,3,2,4,1,49,1,1,0,0,0,0.1,0,75.5,7.666666667,
Josh Brownhill,BUR,M,4400,450,0,0,5,0,1,5,187,4,8,11,4,1,0.3,0.2,90,,y
Kevin Long,BUR,D,3600,450,0,0,1,0,1,0,142,3,7,6,3,2,0,0,90,,
Matej Vydra,BUR,F,5800,106,0,0,2,0,1,1,14,1,0,0,0,0,0.1,0,90,4,
Matthew Lowton,BUR,D,4800,180,0,0,1,0,3,1,75,2,1,1,0,0,0,0.2,90,0,y
Nick Pope,BUR,GK,5600,450,0,0,0,0,0,0,90,0,1,0,0,0,0,0,90,,
Phil Bardsley,BUR,D,6000,180,0,0,0,0,6,0,95,2,6,3,3,1,0,0,90,0,
Robbie Brady,BUR,M,3400,40,0,0,0,0,1,0,18,1,1,0,0,0,0,0,65,8,y
