,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Neal Maupay,BHA,F,12400,4.0,2,0,13,5,1,5,77,6,6,6,1,0,8.684999999999999,13.685,0.65,0.8892484662576687,0.7309543110436537,1.2901591334277067,0.125,0.6865116325392399,0.1820799445708667,0.2481075256591744,11.948640266250738,4.500547275867291,33.0,0.3939393939393939,4.707040104886654,0.38461538461538464,1.810400040341021,25.0,0.2,1.8104000403410208,51.85,1.765033893275248,25.653076673800808,90.0,0.0,y,Neal Maupay
1,Ashley Barnes,BUR,F,6600,3.466666666666667,0,0,10,3,1,4,55,10,10,0,0,1,6.865384615384615,6.4326923076923075,0.22500000000000003,0.645,0.34883720930232565,0.5061918109828055,0.025,0.41000000000000003,0.06097560975609756,0.05624353455364504,10.244675897128127,3.6893647678099417,35.0,0.2857142857142857,2.927050256322322,0.3,0.8781150768966965,25.0,0.16,1.1708201025289289,22.22,1.451083191484042,11.700364752897872,78.0,0.0,y,Ashley Barnes
2,Pascal Gross,BHA,M/F,9800,1.711111111111111,0,1,1,0,5,5,111,1,1,4,0,0,9.479220779220778,12.985714285714286,0.0,0.8892484662576687,0.0,0.0,0.2337662337662338,0.6865116325392399,0.34051314309356895,0.4639932947392353,11.948640266250738,4.500547275867291,33.0,0.030303030303030304,0.3620800080682042,0.0,0.0,25.0,0.2,1.8104000403410208,51.85,1.765033893275248,10.929167089571909,90.0,16.0,y,Pascal Gross
3,Dwight McNeil,BUR,M/F,8800,5.0,0,0,1,0,20,6,158,11,1,6,3,1,8.431999999999999,8.132,0.02,0.645,0.031007751937984496,0.044994827642916034,0.08,0.41000000000000003,0.19512195121951217,0.1799793105716641,10.244675897128127,3.6893647678099417,35.0,0.02857142857142857,0.2927050256322322,0.0,0.0,25.0,0.24,1.7562301537933933,22.22,1.451083191484042,10.31075931928477,90.0,0.0,y,Dwight McNeil
4,Tariq Lamptey,BHA,M,9200,4.366666666666666,1,0,2,1,9,5,187,15,10,4,3,1,7.680916030534352,9.627480916030535,0.06,0.8892484662576687,0.0674727056347988,0.11909161231640371,0.1,0.6865116325392399,0.14566395565669338,0.19848602052733955,11.948640266250738,4.500547275867291,33.0,0.06060606060606061,0.7241600161364083,0.5,0.3620800080682042,25.0,0.2,1.8104000403410208,51.85,1.765033893275248,10.08647231087371,78.6,0.0,y,Tariq Lamptey
5,Chris Wood,BUR,F,6800,5.0,0,0,9,3,0,2,67,4,9,4,0,0,3.768,3.768,0.2,0.645,0.31007751937984496,0.44994827642916035,0.02,0.41000000000000003,0.048780487804878044,0.04499482764291603,10.244675897128127,3.6893647678099417,35.0,0.2571428571428571,2.6343452306900894,0.3333333333333333,0.8781150768966964,25.0,0.08,0.5854100512644644,22.22,1.451083191484042,9.83532208900035,90.0,0.0,y,Chris Wood
6,Ashley Westwood,BUR,M,7800,5.0,1,0,3,2,7,6,235,9,4,4,1,1,6.419999999999999,8.12,0.04,0.645,0.06201550387596899,0.08998965528583207,0.12,0.41000000000000003,0.2926829268292683,0.2699689658574962,10.244675897128127,3.6893647678099417,35.0,0.08571428571428572,0.8781150768966967,0.6666666666666666,0.5854100512644644,25.0,0.24,1.7562301537933933,22.22,1.451083191484042,9.659465629957854,90.0,0.0,y,Ashley Westwood
7,Adam Lallana,BHA,M,5200,3.6222222222222222,0,0,2,0,5,6,116,5,6,0,1,0,4.505521472392638,4.505521472392638,0.06924846625766871,0.8892484662576687,0.07787302299108298,0.1374485249510641,0.20774539877300616,0.6865116325392399,0.30261016554753245,0.4123455748531923,11.948640266250738,4.500547275867291,33.0,0.06060606060606061,0.7241600161364083,0.0,0.0,25.0,0.24,2.172480048409225,51.85,1.765033893275248,8.66568956072144,75.25,25.0,y,Adam Lallana
8,Josh Brownhill,BUR,M,4400,5.0,0,0,5,0,1,5,187,4,8,11,4,1,5.4879999999999995,5.188,0.06,0.645,0.09302325581395349,0.1349844829287481,0.04,0.41000000000000003,0.09756097560975609,0.08998965528583205,10.244675897128127,3.6893647678099417,35.0,0.14285714285714285,1.463525128161161,0.0,0.0,25.0,0.2,1.4635251281611612,22.22,1.451083191484042,8.004833017324795,90.0,0.0,y,Josh Brownhill
9,Yves Bissouma,BHA,M,5800,4.0,1,0,8,1,3,1,179,5,8,6,1,1,5.795,7.92,0.05,0.8892484662576687,0.056227254695665675,0.09924301026366976,0.0,0.6865116325392399,0.0,0.0,11.948640266250738,4.500547275867291,33.0,0.24242424242424243,2.8966400645456334,0.125,0.3620800080682042,25.0,0.04,0.3620800080682042,51.85,1.765033893275248,7.533230183318739,90.0,0.0,y,Yves Bissouma
10,James Tarkowski,BUR,D,3800,4.0,0,0,5,1,0,1,96,3,3,8,1,1,4.73,4.355,0.1,0.645,0.15503875968992248,0.22497413821458018,0.025,0.41000000000000003,0.06097560975609756,0.05624353455364504,10.244675897128127,3.6893647678099417,35.0,0.14285714285714285,1.463525128161161,0.2,0.2927050256322322,25.0,0.04,0.2927050256322322,22.22,1.451083191484042,7.241137768893298,90.0,0.0,y,James Tarkowski
11,Adam Webster,BHA,D,3200,5.0,0,0,4,1,0,2,303,4,3,5,4,1,4.5120000000000005,4.212000000000001,0.06,0.8892484662576687,0.0674727056347988,0.11909161231640371,0.0,0.6865116325392399,0.0,0.0,11.948640266250738,4.500547275867291,33.0,0.12121212121212122,1.4483200322728167,0.25,0.3620800080682042,25.0,0.08,0.7241600161364083,51.85,1.765033893275248,6.537476179641467,90.0,0.0,y,Adam Webster
