Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Aaron Connolly,BHA,F,7600,287,1,1,6,2,1,2,26,7,2,2,0,0,0.6,0,76,29,b
Adam Lallana,BHA,M,4400,233,0,0,1,0,1,5,97,4,5,0,1,0,0,0.8,65.33333333,19,y
Adam Webster,BHA,D,3800,450,0,0,3,0,0,3,275,5,2,4,2,0,0.2,0.1,90,,y
Alexis Mac Allister,BHA,M,7000,13,1,0,1,1,1,0,3,0,0,1,0,0,0.1,0,,2.6,
Alireza Jahanbakhsh,BHA,M/F,5800,29,0,1,2,0,2,4,25,0,0,0,0,1,0.1,0.5,,5.8,
Ben White,BHA,D,4000,438,0,0,1,0,3,1,267,1,3,6,3,1,0.1,0.1,87.6,,y
Dan Burn,BHA,D,4800,114,0,0,0,0,0,0,75,0,1,0,2,0,0,0,81,8.25,y
Joel Veltman,BHA,D,3400,45,0,0,0,0,3,0,43,2,0,1,0,0,0,0,90,9,y
Leandro Trossard,BHA,M/F,9600,437,1,1,13,4,14,10,121,3,4,2,0,1,1.2,1.4,87.4,,y
Lewis Dunk,BHA,D,4600,449,0,0,3,0,0,1,300,9,6,4,2,1,0.4,0,89.8,,
Mathew Ryan,BHA,GK,6800,450,0,0,0,0,0,0,148,0,1,0,0,1,0,0,90,,
Neal Maupay,BHA,F,10800,450,4,1,16,6,2,6,90,6,4,6,1,0,3.9,0.6,90,,y
Pascal Gross,BHA,M/F,9400,46,0,0,1,0,2,1,51,0,0,1,1,0,0,0.1,,9.2,
Solly March,BHA,M,8800,437,1,1,6,1,20,5,216,6,7,12,0,0,0.7,0.4,87.4,,y
Steven Alzate,BHA,M,5400,339,0,0,3,1,1,5,171,3,14,9,1,1,0.2,0.3,84.75,0,
Tariq Lamptey,BHA,M,8400,372,0,1,3,1,12,7,181,15,11,5,6,1,0.2,0.6,74.4,,y
Yves Bissouma,BHA,M,6400,358,1,0,11,1,3,1,208,6,7,11,2,1,0.2,0,89.5,0,y
Ahmed Hegazi,WBA,D,3400,90,0,0,0,0,0,0,37,1,0,0,0,0,0,0,90,0,
Branislav Ivanovic,WBA,D,3600,90,0,0,3,1,0,0,34,0,1,0,0,0,0.4,0,90,0,y
Callum Robinson,WBA,M/F,7800,291,2,0,4,3,2,2,41,0,3,0,0,0,0.3,0.1,68.25,18,b
Conor Gallagher,WBA,M,5000,90,0,0,1,0,2,1,38,2,1,3,0,0,0,0,90,0,y
Conor Townsend,WBA,D,5600,270,0,0,1,1,4,2,110,4,2,5,3,0,0,0.1,90,0,y
Dara O'Shea,WBA,D,4400,360,0,0,1,0,1,1,111,6,3,9,2,0,0,0,90,0,
Darnell Furlong,WBA,D,6200,338,0,1,2,1,14,4,101,9,4,3,3,1,0.1,0.7,84.5,0,y
Filip Krovinovic,WBA,M,6000,105,0,0,1,0,1,0,63,2,2,2,0,0,0,0,78,6.75,y
Grady Diangana,WBA,M,8200,413,1,0,7,4,3,3,97,17,3,2,4,0,0.3,0.1,82.6,,y
Hal Robson-Kanu,WBA,M/F,4600,87,0,0,3,1,1,1,6,3,2,0,0,0,0.1,0,,17.4,
Jake Livermore,WBA,M,4200,450,0,0,2,0,0,2,108,0,12,5,6,2,0.2,0.1,90,,y
Karlan Grant,WBA,F,7400,72,0,0,1,0,0,0,11,0,0,0,0,0,0.2,0,72,0,y
Kieran Gibbs,WBA,D,3200,134,0,0,0,0,1,0,58,1,2,0,2,0,0,0,67,0,
Kyle Bartley,WBA,D,3200,360,1,0,1,1,0,0,81,1,3,1,1,0,0.5,0,90,0,
Kyle Edwards,WBA,M/F,4800,88,0,0,2,1,0,0,18,1,1,0,0,0,0.1,0,45,10.75,
Matheus Pereira,WBA,M,10200,426,1,2,8,4,10,9,129,12,7,9,3,0,0.4,0.5,85.2,,y
Matt Phillips,WBA,M,4200,40,0,0,1,0,2,0,8,0,3,1,0,1,0,0,,8,
Rekeem Harper,WBA,M,3400,22,0,0,0,0,0,0,10,0,1,1,0,0,0,0,,4.4,
Romaine Sawyers,WBA,M,4400,306,0,0,2,0,1,2,106,2,2,1,4,0,0,0.1,73.5,12,
Sam Field,WBA,M,4000,62,0,0,0,0,0,0,15,1,2,7,0,0,0,0,,12.4,
Sam Johnstone,WBA,GK,5200,450,0,0,0,0,0,0,89,2,0,0,0,0,0,0,90,,
Semi Ajayi,WBA,D,3000,360,0,0,0,0,0,0,77,1,2,3,1,1,0,0,90,0,y
