,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Neal Maupay,BHA,F,10800,5.0,4,1,16,6,2,6,90,6,4,6,1,0,8.34,17.54,3.9,7.1000000000000005,0.5492957746478873,1.1994211837874453,0.6,4.0,0.15,0.18452633596729928,13.220756859700497,4.879385590922556,60.0,0.26666666666666666,3.525535162586799,0.375,1.3220756859700498,40.0,0.15,1.3220756859700495,56.0,2.1835616422797086,22.011056388205144,90.0,0.0,y,Neal Maupay
1,Matheus Pereira,WBA,M,10200,4.733333333333333,1,2,8,4,10,9,129,12,7,9,3,0,10.474647887323943,15.122535211267605,0.4,1.9,0.2105263157894737,0.3963791762650486,0.5,1.5999999999999999,0.3125,0.4954739703313107,9.84984905040932,4.308019133590377,30.0,0.26666666666666666,2.6266264134424855,0.5,1.3133132067212427,23.0,0.391304347826087,2.9549547151227964,20.83,1.8828010872589807,19.547529919924877,85.2,0.0,y,Matheus Pereira
2,Leandro Trossard,BHA,M/F,9600,4.855555555555555,1,1,13,4,14,10,121,3,4,2,0,1,8.695194508009154,11.681464530892448,1.2,7.1000000000000005,0.16901408450704222,0.36905267193459856,1.4,4.0,0.35,0.430561450590365,13.220756859700497,4.879385590922556,60.0,0.21666666666666667,2.8644973196017744,0.3076923076923077,0.8813837906466999,40.0,0.25,2.2034594766167492,56.0,2.1835616422797086,14.9672360097534,87.4,0.0,y,Leandro Trossard
3,Darnell Furlong,WBA,D,6200,3.7555555555555555,0,1,2,1,14,4,101,9,4,3,3,1,8.073372781065087,9.271597633136093,0.1,1.9,0.052631578947368425,0.09909479406626215,0.7,1.5999999999999999,0.4375,0.693663558463835,9.84984905040932,4.308019133590377,30.0,0.06666666666666667,0.6566566033606214,0.5,0.3283283016803107,23.0,0.17391304347826086,1.3133132067212427,20.83,1.8828010872589807,12.906227403207806,84.5,0.0,y,Darnell Furlong
4,Grady Diangana,WBA,M,8200,4.588888888888889,1,0,7,4,3,3,97,17,3,2,4,0,8.180629539951576,10.359806295399517,0.3,1.9,0.15789473684210525,0.2972843821987864,0.1,1.5999999999999999,0.06250000000000001,0.09909479406626216,9.84984905040932,4.308019133590377,30.0,0.23333333333333334,2.2982981117621746,0.5714285714285714,1.3133132067212425,23.0,0.13043478260869565,0.984984905040932,20.83,1.8828010872589807,12.872008809909786,82.6,0.0,y,Grady Diangana
5,Solly March,BHA,M,8800,4.855555555555555,1,1,6,1,20,5,216,6,7,12,0,0,9.230663615560642,12.525858123569796,0.7,7.1000000000000005,0.09859154929577463,0.2152807252951825,0.4,4.0,0.1,0.12301755731153285,13.220756859700497,4.879385590922556,60.0,0.1,1.3220756859700498,0.16666666666666666,0.22034594766167495,40.0,0.125,1.1017297383083746,56.0,2.1835616422797086,12.099063968761122,87.4,0.0,y,Solly March
6,Joel Veltman,BHA,D,3400,0.5,0,0,0,0,3,0,43,2,0,1,0,0,11.919999999999998,11.919999999999998,0.0,7.1000000000000005,0.0,0.0,0.0,4.0,0.0,0.0,13.220756859700497,4.879385590922556,60.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,56.0,2.1835616422797086,11.919999999999998,90.0,9.0,y,Joel Veltman
7,Tariq Lamptey,BHA,M,8400,4.133333333333334,0,1,3,1,12,7,181,15,11,5,6,1,9.80322580645161,10.891935483870967,0.2,7.1000000000000005,0.028169014084507043,0.06150877865576644,0.6,4.0,0.15,0.18452633596729928,13.220756859700497,4.879385590922556,60.0,0.05,0.6610378429850249,0.3333333333333333,0.22034594766167495,40.0,0.175,1.5424216336317245,56.0,2.1835616422797086,9.750051226639883,74.4,0.0,y,Tariq Lamptey
8,Yves Bissouma,BHA,M,6400,3.977777777777778,1,0,11,1,3,1,208,6,7,11,2,1,8.487150837988827,10.624022346368717,0.2,7.1000000000000005,0.028169014084507043,0.06150877865576644,0.0,4.0,0.0,0.0,13.220756859700497,4.879385590922556,60.0,0.18333333333333332,2.423805424278424,0.09090909090909091,0.22034594766167492,40.0,0.025,0.22034594766167492,56.0,2.1835616422797086,8.294585106159438,89.5,0.0,y,Yves Bissouma
9,Conor Gallagher,WBA,M,5000,1.0,0,0,1,0,2,1,38,2,1,3,0,0,8.66,8.66,0.0,1.9,0.0,0.0,0.0,1.5999999999999999,0.0,0.0,9.84984905040932,4.308019133590377,30.0,0.03333333333333333,0.3283283016803107,0.0,0.0,23.0,0.043478260869565216,0.3283283016803107,20.83,1.8828010872589807,7.316656603360622,90.0,0.0,y,Conor Gallagher
