player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Aaron Connolly,BHA,DELETE,DELETE,287.0,1.0,1.0,6.0,2.0,1.0,2.0,26.0,7.0,2.0,2.0,0.0,0.0,0.6,0.0,DELETE,DELETE,DELETE
Adam Lallana,BHA,DELETE,DELETE,233.0,0.0,0.0,1.0,0.0,1.0,5.0,97.0,4.0,5.0,0.0,1.0,0.0,0.0,0.8,DELETE,DELETE,DELETE
Adam Webster,BHA,DELETE,DELETE,450.0,0.0,0.0,3.0,0.0,0.0,3.0,275.0,5.0,2.0,4.0,2.0,0.0,0.2,0.1,DELETE,DELETE,DELETE
Alireza Jahanbakhsh,BHA,DELETE,DELETE,29.0,0.0,1.0,2.0,0.0,2.0,4.0,25.0,0.0,0.0,0.0,0.0,1.0,0.1,0.5,DELETE,DELETE,DELETE
Ben White,BHA,DELETE,DELETE,438.0,0.0,0.0,1.0,0.0,3.0,1.0,267.0,1.0,3.0,6.0,3.0,1.0,0.1,0.1,DELETE,DELETE,DELETE
Leandro Trossard,BHA,DELETE,DELETE,437.0,1.0,1.0,13.0,4.0,14.0,10.0,121.0,3.0,4.0,2.0,0.0,1.0,1.2,1.4000000000000001,DELETE,DELETE,DELETE
Lewis Dunk,BHA,DELETE,DELETE,449.0,0.0,0.0,3.0,0.0,0.0,1.0,300.0,9.0,6.0,4.0,2.0,1.0,0.4,0.0,DELETE,DELETE,DELETE
Mathew Ryan,BHA,DELETE,DELETE,450.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Neal Maupay,BHA,DELETE,DELETE,450.0,4.0,1.0,16.0,6.0,2.0,6.0,90.0,6.0,4.0,6.0,1.0,0.0,3.9,0.6,DELETE,DELETE,DELETE
Pascal Gross,BHA,DELETE,DELETE,46.0,0.0,0.0,1.0,0.0,2.0,1.0,51.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,DELETE,DELETE,DELETE
Solly March,BHA,DELETE,DELETE,437.0,1.0,1.0,6.0,1.0,20.0,5.0,216.0,6.0,7.0,12.0,0.0,0.0,0.7,0.4,DELETE,DELETE,DELETE
Steven Alzate,BHA,DELETE,DELETE,339.0,0.0,0.0,3.0,1.0,1.0,5.0,171.0,3.0,14.0,9.0,1.0,1.0,0.2,0.30000000000000004,DELETE,DELETE,DELETE
Tariq Lamptey,BHA,DELETE,DELETE,372.0,0.0,1.0,3.0,1.0,12.0,7.0,181.0,15.0,11.0,5.0,6.0,1.0,0.2,0.6,DELETE,DELETE,DELETE
Yves Bissouma,BHA,DELETE,DELETE,358.0,1.0,0.0,11.0,1.0,3.0,1.0,208.0,6.0,7.0,11.0,2.0,1.0,0.2,0.0,DELETE,DELETE,DELETE
Dan Burn,BHA,DELETE,DELETE,114.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Joel Veltman,BHA,DELETE,DELETE,45.0,0.0,0.0,0.0,0.0,3.0,0.0,43.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Alexis Mac Allister,BHA,DELETE,DELETE,13.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,DELETE,DELETE,DELETE
Callum Robinson,WBA,DELETE,DELETE,291.0,2.0,0.0,4.0,3.0,2.0,2.0,41.0,0.0,3.0,0.0,0.0,0.0,0.3,0.1,DELETE,DELETE,DELETE
Dara O'Shea,WBA,DELETE,DELETE,360.0,0.0,0.0,1.0,0.0,1.0,1.0,111.0,6.0,3.0,9.0,2.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Darnell Furlong,WBA,DELETE,DELETE,338.0,0.0,1.0,2.0,1.0,14.0,4.0,101.0,9.0,4.0,3.0,3.0,1.0,0.1,0.7,DELETE,DELETE,DELETE
Grady Diangana,WBA,DELETE,DELETE,413.0,1.0,0.0,7.0,4.0,3.0,3.0,97.0,17.0,3.0,2.0,4.0,0.0,0.30000000000000004,0.1,DELETE,DELETE,DELETE
Hal Robson-Kanu,WBA,DELETE,DELETE,87.0,0.0,0.0,3.0,1.0,1.0,1.0,6.0,3.0,2.0,0.0,0.0,0.0,0.1,0.0,DELETE,DELETE,DELETE
Jake Livermore,WBA,DELETE,DELETE,450.0,0.0,0.0,2.0,0.0,0.0,2.0,108.0,0.0,12.0,5.0,6.0,2.0,0.2,0.1,DELETE,DELETE,DELETE
Kieran Gibbs,WBA,DELETE,DELETE,134.0,0.0,0.0,0.0,0.0,1.0,0.0,58.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Kyle Bartley,WBA,DELETE,DELETE,360.0,1.0,0.0,1.0,1.0,0.0,0.0,81.0,1.0,3.0,1.0,1.0,0.0,0.5,0.0,DELETE,DELETE,DELETE
Kyle Edwards,WBA,DELETE,DELETE,88.0,0.0,0.0,2.0,1.0,0.0,0.0,18.0,1.0,1.0,0.0,0.0,0.0,0.1,0.0,DELETE,DELETE,DELETE
Matheus Pereira,WBA,DELETE,DELETE,426.0,1.0,2.0,8.0,4.0,10.0,9.0,129.0,12.0,7.0,9.0,3.0,0.0,0.4,0.5,DELETE,DELETE,DELETE
Rekeem Harper,WBA,DELETE,DELETE,22.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Romaine Sawyers,WBA,DELETE,DELETE,306.0,0.0,0.0,2.0,0.0,1.0,2.0,106.0,2.0,2.0,1.0,4.0,0.0,0.0,0.1,DELETE,DELETE,DELETE
Sam Johnstone,WBA,DELETE,DELETE,450.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Semi Ajayi,WBA,DELETE,DELETE,360.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Matt Phillips,WBA,DELETE,DELETE,40.0,0.0,0.0,1.0,0.0,2.0,0.0,8.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Sam Field,WBA,DELETE,DELETE,62.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Conor Townsend,WBA,DELETE,DELETE,270.0,0.0,0.0,1.0,1.0,4.0,2.0,110.0,4.0,2.0,5.0,3.0,0.0,0.0,0.1,DELETE,DELETE,DELETE
Filip Krovinovic,WBA,DELETE,DELETE,105.0,0.0,0.0,1.0,0.0,1.0,0.0,63.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Ahmed Hegazi,WBA,DELETE,DELETE,90.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Branislav Ivanovic,WBA,DELETE,DELETE,90.0,0.0,0.0,3.0,1.0,0.0,0.0,34.0,0.0,1.0,0.0,0.0,0.0,0.4,0.0,DELETE,DELETE,DELETE
Conor Gallagher,WBA,DELETE,DELETE,90.0,0.0,0.0,1.0,0.0,2.0,1.0,38.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Karlan Grant,WBA,DELETE,DELETE,72.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,DELETE,DELETE,DELETE
