Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Ashley Barnes,BUR,F,6800,381,0,0,10,3,1,5,67,13,12,0,1,1,0.9,0.2,76.2,,
Ashley Westwood,BUR,M,7800,450,1,0,3,2,5,4,216,6,2,4,0,1,0.2,0.5,90,,y
Ben Mee,BUR,D,3400,90,0,0,1,0,0,0,32,1,0,0,0,0,0.1,0,90,0,y
Charlie Taylor,BUR,D,7600,450,0,0,0,0,12,1,173,3,1,6,0,1,0,0,90,,y
Chris Wood,BUR,F,7000,442,0,0,9,3,0,2,64,5,8,4,0,0,0.9,0.1,88.4,,y
Dale Stephens,BUR,M,4000,112,0,0,1,0,0,0,35,1,1,1,0,0,0.1,0,56,0,
Dwight McNeil,BUR,M/F,10400,450,0,0,2,0,16,7,148,11,2,7,4,1,0.2,0.5,90,,y
Erik Pieters,BUR,M,7200,90,0,0,0,0,1,0,29,2,4,0,0,0,0,0,90,0,
James Tarkowski,BUR,D,4000,450,0,0,5,1,0,1,121,3,4,8,2,1,0.4,0.1,90,,y
Jay Rodriguez,BUR,M/F,8600,87,0,0,1,0,0,1,16,1,0,0,0,0,0,0.1,65,17.4,y
Johann Berg Gudmundsson,BUR,M/F,6600,174,0,0,3,2,4,1,49,1,1,0,0,0,0.1,0,75.5,7.666666667,y
Josh Brownhill,BUR,M,4400,450,0,0,2,0,0,5,196,5,7,10,5,1,0.1,0.2,90,,y
Kevin Long,BUR,D,3000,360,0,0,1,0,0,0,100,3,7,5,1,2,0,0,90,0,
Matej Vydra,BUR,F,5400,24,0,0,0,0,0,0,2,1,0,0,0,0,0,0,,4.8,
Matthew Lowton,BUR,D,5000,270,0,0,1,0,5,1,100,2,1,1,0,0,0,0.2,90,0,y
Nick Pope,BUR,GK,5800,450,0,0,0,0,0,0,94,0,1,0,0,0,0,0,90,,
Phil Bardsley,BUR,D,6200,90,0,0,0,0,3,0,41,0,5,2,2,0,0,0,90,0,
Robbie Brady,BUR,M,4200,130,0,0,1,0,3,0,38,2,2,2,0,0,0.1,0,90,10,
Andros Townsend,CRY,M/F,9400,411,0,0,4,3,10,5,96,8,8,7,6,0,0.1,0.4,82.2,,y
Cheikhou Kouyate,CRY,D,3200,450,0,0,0,0,0,0,137,4,3,3,1,0,0,0,90,,y
Christian Benteke,CRY,F,8200,16,0,0,0,0,1,1,4,0,1,0,0,0,0,0.1,,3.2,
Eberechi Eze,CRY,M/F,9800,221,1,1,4,2,1,3,81,13,3,2,1,0,0.5,0.2,90,13.66666667,y
Gary Cahill,CRY,D,3400,90,0,0,0,0,0,0,24,1,0,1,0,0,0,0,90,0,
Jairo Riedewald,CRY,D,4800,359,1,0,1,1,0,2,111,2,4,4,2,0,0.4,0.1,85,19,y
James McArthur,CRY,M,4600,251,0,0,1,0,1,2,78,3,5,1,2,1,0,0.1,83.66666667,0,y
James McCarthy,CRY,M,5000,80,0,0,0,0,1,0,19,1,0,2,1,0,0,0,66,3.5,
Jeffrey Schlupp,CRY,M,6000,246,0,0,2,1,5,2,68,2,2,3,0,0,0.1,0.3,75.33333333,10,
Joel Ward,CRY,D,4600,180,0,0,0,0,2,0,53,1,2,1,1,0,0,0,90,0,
Jordan Ayew,CRY,F,8000,193,1,0,2,1,2,1,50,4,6,2,2,0,0.3,0,87,6.333333333,y
Luka Milivojevic,CRY,M,5200,207,0,0,2,0,1,1,128,5,1,1,2,0,0.2,0.1,87.5,10.66666667,
Mamadou Sakho,CRY,D,3200,96,0,0,1,0,0,0,28,1,1,2,0,0,0,0,90,1.5,
Michy Batshuayi,CRY,F,7400,255,0,1,4,2,1,1,25,5,2,2,2,0,0.4,0.8,85,0,y
Nathaniel Clyne,CRY,D,3800,251,0,0,1,0,1,1,97,1,0,0,3,0,0,0.1,83.66666667,0,y
Patrick van Aanholt,CRY,D,6400,199,0,0,5,3,3,1,103,1,2,1,0,1,0.4,0.1,90,6.333333333,y
Scott Dann,CRY,D,3600,270,1,0,2,1,0,0,107,1,0,2,0,0,0.2,0,90,0,y
Tyrick Mitchell,CRY,D,4400,270,0,0,1,1,1,0,86,1,4,1,2,1,0.1,0,90,0,
Vicente Guaita,CRY,GK,5400,450,0,0,0,0,0,0,66,0,0,0,0,2,0,0,90,,
Wilfried Zaha,CRY,M/F,11200,450,2,2,9,3,11,9,99,14,6,3,1,1,2.4,1.4,90,,
