,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Eberechi Eze,CRY,M/F,9800,2.4555555555555557,1,1,4,2,1,3,81,13,3,2,1,0,10.311312217194569,16.82714932126697,0.20361990950226244,0.8344651136284543,0.24401248917030727,0.326915652514439,0.08144796380090498,0.5636843080130018,0.1444921610253985,0.13076626100577562,10.791482435934089,3.7465681311850902,24.0,0.16666666666666666,1.7985804059890147,0.5,0.8992902029945073,16.0,0.1875,1.3489353044917611,34.72,1.3397496727565854,14.746713850808172,90.0,13.66666667,y,Eberechi Eze
1,Dwight McNeil,BUR,M/F,10400,5.0,0,0,2,0,16,7,148,11,2,7,4,1,8.431999999999999,8.132,0.04,0.5033908045977012,0.07946112569928072,0.10819088854223775,0.1,0.42137931034482756,0.23731587561374798,0.2704772213555944,9.89703401067813,4.172742559974239,27.0,0.07407407407407407,0.7331136304206022,0.0,0.0,23.0,0.30434782608695654,2.565897706472108,35.09,1.361557460835432,12.335783550448653,90.0,0.0,y,Dwight McNeil
2,Chris Wood,BUR,F,7000,4.911111111111111,0,0,9,3,0,2,64,5,8,4,0,0,4.129411764705882,4.129411764705882,0.18000000000000002,0.5033908045977012,0.3575750656467633,0.4868589984400699,0.020000000000000004,0.42137931034482756,0.047463175122749605,0.05409544427111889,9.89703401067813,4.172742559974239,27.0,0.3333333333333333,3.29901133689271,0.3333333333333333,1.0996704456309032,23.0,0.08695652173913043,0.7331136304206022,35.09,1.361557460835432,11.580958062971627,88.4,0.0,y,Chris Wood
3,Andros Townsend,CRY,M/F,9400,4.566666666666666,0,0,4,3,10,5,96,8,8,7,6,0,7.646715328467154,7.646715328467154,0.02,0.8344651136284543,0.023967448936283515,0.03211038186919601,0.08,0.5636843080130018,0.14192341149605806,0.12844152747678403,10.791482435934089,3.7465681311850902,24.0,0.16666666666666666,1.7985804059890147,0.75,1.3489353044917611,16.0,0.3125,2.2482255074862683,34.72,1.3397496727565854,11.071494201519709,82.2,0.0,y,Andros Townsend
4,Michy Batshuayi,CRY,F,7400,2.8333333333333335,0,1,4,2,1,1,25,5,2,2,2,0,5.364705882352941,7.48235294117647,0.13333333333333333,0.8344651136284543,0.15978299290855677,0.21406921246130675,0.26666666666666666,0.5636843080130018,0.4730780383201935,0.42813842492261345,10.791482435934089,3.7465681311850902,24.0,0.16666666666666666,1.7985804059890147,0.5,0.8992902029945073,16.0,0.0625,0.4496451014972537,34.72,1.3397496727565854,10.590371717962856,85.0,0.0,y,Michy Batshuayi
5,Ashley Westwood,BUR,M,7800,5.0,1,0,3,2,5,4,216,6,2,4,0,1,5.164,6.864,0.04,0.5033908045977012,0.07946112569928072,0.10819088854223775,0.1,0.42137931034482756,0.23731587561374798,0.2704772213555944,9.89703401067813,4.172742559974239,27.0,0.1111111111111111,1.0996704456309032,0.6666666666666666,0.7331136304206021,23.0,0.17391304347826086,1.4662272608412044,35.09,1.361557460835432,9.067783550448654,90.0,0.0,y,Ashley Westwood
6,Patrick van Aanholt,CRY,D,6400,2.2111111111111112,0,0,5,3,3,1,103,1,2,1,0,1,6.404020100502512,5.725628140703518,0.18090452261306533,0.8344651136284543,0.2167909954035695,0.29044566514850667,0.04522613065326633,0.5636843080130018,0.08023308438847504,0.07261141628712665,10.791482435934089,3.7465681311850902,24.0,0.20833333333333334,2.2482255074862687,0.6,1.3489353044917611,16.0,0.0625,0.4496451014972537,34.72,1.3397496727565854,9.042207444592657,90.0,6.333333333,y,Patrick van Aanholt
7,James Tarkowski,BUR,D,4000,5.0,0,0,5,1,0,1,121,3,4,8,2,1,3.8840000000000003,3.5840000000000005,0.08,0.5033908045977012,0.15892225139856145,0.2163817770844755,0.02,0.42137931034482756,0.04746317512274959,0.05409544427111888,9.89703401067813,4.172742559974239,27.0,0.18518518518518517,1.8327840760515055,0.2,0.36655681521030115,23.0,0.043478260869565216,0.3665568152103011,35.09,1.361557460835432,7.238288142943576,90.0,0.0,y,James Tarkowski
8,Josh Brownhill,BUR,M,4400,5.0,0,0,2,0,0,5,196,5,7,10,5,1,4.984,4.684,0.02,0.5033908045977012,0.03973056284964036,0.05409544427111888,0.04,0.42137931034482756,0.09492635024549918,0.10819088854223775,9.89703401067813,4.172742559974239,27.0,0.07407407407407407,0.7331136304206022,0.0,0.0,23.0,0.21739130434782608,1.8327840760515055,35.09,1.361557460835432,7.039997480436723,90.0,0.0,y,Josh Brownhill
9,Jordan Ayew,CRY,F,8000,2.1444444444444444,1,0,2,1,2,1,50,4,6,2,2,0,4.849740932642487,9.512953367875648,0.13523316062176166,0.8344651136284543,0.16205969358471498,0.2171194214471544,0.0,0.5636843080130018,0.0,0.0,10.791482435934089,3.7465681311850902,24.0,0.08333333333333333,0.8992902029945073,0.5,0.4496451014972537,16.0,0.0625,0.4496451014972537,34.72,1.3397496727565854,6.854748713724808,87.0,6.333333333,y,Jordan Ayew
