Player,Team,Pos,90s,Gls,Ast,Sh,SoT,Crs,PassLive,PassDead,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,Salary,FPPG,FPPG/$1000,Floor,FPPG-Floor,Team_Odds,FPPG_w_Odds,Floor_w_Odds,Opp_Def_OPRK,Starting,,,,,,,,,
Robert Lewandowski\Robert-Lewandowski,BAY,FW,41.9,51,6,195,92,28,85,0,707,55,41,17,9,7,0,12800,23.80,1.86,10.77,13.03,0.673,25.53,12.50,27,y,,,,,,,,,
Serge Gnabry\Serge-Gnabry,BAY,FWMF,33.7,20,12,134,59,96,92,1,1107,38,27,43,21,1,0,9600,21.48,2.24,13.41,8.07,0.673,23.21,15.14,27,y,,,,,,,,,
Philippe Coutinho\Philippe-Coutinho,BAY,MFFW,23,9,8,89,36,81,79,10,924,35,10,28,8,0,0,9200,21.27,2.31,15.27,6.00,0.673,23.00,17.00,27,,,,,,,,,,
Thomas Müller\Thomas-Muller,BAY,MFFW,34.8,12,25,80,31,131,133,3,1145,31,33,48,15,5,0,9000,19.95,2.22,12.19,7.76,0.673,21.68,13.92,27,y,,,,,,,,,
Joshua Zirkzee\Joshua-Zirkzee,BAY,FW,3.5,4,0,12,7,0,4,0,67,2,2,3,1,0,0,6000,19.67,3.28,8.24,11.43,0.673,21.40,9.97,27,,,,,,,,,,
Ivan Perišić\Ivan-Perisic,BAY,FW,17.2,6,7,52,18,92,41,4,544,7,23,17,10,2,0,6800,17.84,2.62,11.91,5.93,0.673,19.57,13.64,27,y,,,,,,,,,
Kingsley Coman\Kingsley-Coman,BAY,FW,25.6,7,5,67,26,122,78,0,787,49,21,25,4,2,0,7800,16.98,2.18,13.07,3.91,0.673,18.71,14.80,27,,,,,,,,,,
Joshua Kimmich\Joshua-Kimmich,BAY,MFDF,44.6,6,11,36,17,335,96,53,2944,56,38,57,53,11,0,8200,16.26,1.98,13.44,2.83,0.673,17.99,15.17,27,y,,,,,,,,,
Corentin Tolisso\Corentin-Tolisso,BAY,MF,15.1,3,6,33,10,17,37,0,720,22,11,20,7,1,0,7400,13.96,1.89,9.59,4.37,0.673,15.69,11.32,27,,,,,,,,,,
Mickaël Cuisance\Mickael-Cuisance,BAY,MF,3.5,1,0,12,1,15,11,1,156,3,12,3,3,1,0,4000,13.89,3.47,11.03,2.86,0.673,15.62,12.77,27,,,,,,,,,,
Leon Goretzka\Leon-Goretzka,BAY,MF,23.6,8,6,61,23,7,50,0,891,29,36,28,38,2,0,5200,13.89,2.67,8.97,4.92,0.673,15.62,10.70,27,y,,,,,,,,,
Willian\Willian,CHE,FW,37.3,11,9,79,32,229,121,40,1443,61,23,34,22,4,0,7000,19.13,2.73,14.74,4.40,0.135,15.48,11.09,3,,,,,,,,,,
Michy Batshuayi\Michy-Batshuayi,CHE,FW,7.5,6,2,38,11,0,8,0,77,8,17,6,0,1,0,5000,17.94,3.59,8.34,9.60,0.135,14.29,4.69,3,,,,,,,,,,
Callum Hudson-Odoi\Callum-Hudson-Odoi,CHE,FW,15.5,3,6,41,10,105,41,4,442,20,23,7,3,1,0,5400,16.76,3.10,12.51,4.26,0.135,13.12,8.86,3,y,,,,,,,,,
Christian Pulisic\Christian-Pulisic,CHE,FW,26,11,7,81,30,51,61,0,626,39,16,21,7,0,0,7600,16.45,2.16,10.60,5.85,0.135,12.80,6.96,3,,,,,,,,,,
Alphonso Davies\Alphonso-Davies,BAY,DF,34.1,3,8,18,6,90,62,0,1858,39,34,66,49,4,1,7200,10.78,1.50,8.49,2.29,0.673,12.51,10.23,27,y,,,,,,,,,
Álvaro Odriozola\Alvaro-Odriozola,BAY,DF,1.8,0,0,0,0,14,5,0,90,1,1,1,2,0,0,4200,10.61,2.53,10.61,0.00,0.673,12.34,12.34,27,,,,,,,,,,
Thiago Alcántara\Thiago-Alcantara,BAY,MF,29.4,3,2,26,9,14,61,6,2112,24,38,67,79,10,0,5000,9.95,1.99,8.52,1.43,0.673,11.68,10.25,27,y,,,,,,,,,
Ross Barkley\Ross-Barkley,CHE,FWMF,17.9,5,5,59,22,21,32,1,550,22,16,13,13,1,0,4800,14.06,2.93,9.59,4.47,0.135,10.41,5.94,3,y,,,,,,,,,
Mason Mount\Mason-Mount,CHE,MFFW,40.5,8,5,101,38,161,74,32,1206,52,47,44,21,4,0,5400,14.04,2.60,11.33,2.72,0.135,10.40,7.68,3,y,,,,,,,,,
Tammy Abraham\Tammy-Abraham,CHE,FW,31.9,17,4,110,44,12,42,0,353,33,33,15,7,2,0,5600,13.71,2.45,7.63,6.08,0.135,10.06,3.98,3,y,,,,,,,,,
Olivier Giroud\Olivier-Giroud,CHE,FW,15.4,10,1,51,26,2,15,0,222,13,25,5,3,2,0,6000,13.50,2.25,6.61,6.88,0.135,9.85,2.96,3,,,,,,,,,,
Benjamin Pavard\Benjamin-Pavard,BAY,DF,44.1,4,6,32,9,103,45,3,2734,30,52,33,75,6,0,5000,8.10,1.62,6.38,1.72,0.673,9.83,8.11,27,,,,,,,,,,
Pedro\Pedro,CHE,FWDF,14.2,2,3,38,11,43,28,1,306,22,16,18,13,1,0,5800,13.33,2.30,10.65,2.68,0.135,9.68,7.00,3,,,,,,,,,,
