Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Andreas Christensen,CHE,D,4200,180,0,0,1,0,0,0,165,0,1,3,3,1,0,0,90,0,
Ben Chilwell,CHE,D,8600,360,1,2,3,2,12,9,283,6,4,4,4,1,0.2,0.6,90,0,y
Callum Hudson-Odoi,CHE,F,10200,145,1,0,4,1,6,5,74,0,4,1,1,0,0.3,0.3,82,15.75,
Cesar Azpilicueta,CHE,D,6800,315,0,1,2,1,4,2,285,0,8,1,0,1,0,0,90,22.5,
Christian Pulisic,CHE,M/F,10400,174,0,0,5,1,1,1,32,0,1,3,1,0,0.2,0.1,83,2.666666667,
Edouard Mendy,CHE,GK,7400,270,0,0,0,0,0,0,67,1,0,0,0,0,0,0,90,0,
Hakim Ziyech,CHE,M,11000,101,1,1,1,1,3,2,57,1,3,0,1,0,0.1,0.3,72,7.25,y
Jorginho,CHE,M,7000,275,2,0,2,0,0,3,176,3,4,3,4,0,1.6,0.7,90,2.5,
Kai Havertz,CHE,M,8000,426,1,1,7,4,3,7,216,7,7,2,2,1,1,0.5,85.2,,
Kepa Arrizabalaga,CHE,GK,7200,90,0,0,0,0,0,0,24,0,0,0,0,0,0,0,90,0,
Kurt Zouma,CHE,D,6000,360,2,0,4,3,0,0,277,0,4,2,1,0,0.3,0,90,0,
Marcos Alonso,CHE,D,6400,45,0,0,2,0,0,1,27,1,1,0,0,1,0.1,0,45,0,
Mason Mount,CHE,M,9800,270,1,1,12,5,5,10,153,6,4,9,5,0,0.5,0.5,83.66666667,9.5,y
Mateo Kovacic,CHE,M,4800,53,0,0,1,0,0,0,64,2,2,1,2,0,0,0,45,2,y
N'Golo Kante,CHE,M,4800,442,0,0,2,0,2,2,320,2,11,6,7,1,0.2,0,88.4,,y
Olivier Giroud,CHE,F,12000,32,0,0,0,0,0,0,8,1,0,0,0,0,0,0,,6.4,
Reece James,CHE,D,7600,274,0,0,4,1,27,6,214,2,3,6,1,1,0,0.6,90,2,y
Tammy Abraham,CHE,F,9200,277,1,1,9,3,0,2,46,5,3,2,0,0,1.8,0.1,85.33333333,10.5,y
Thiago Silva,CHE,D,5400,342,0,0,1,1,1,1,353,4,2,2,4,0,0,0,85.5,0,y
Timo Werner,CHE,M/F,10600,429,3,1,10,6,5,3,137,3,4,2,1,0,1.4,0.8,85.8,,y
Willy Caballero,CHE,GK,7200,90,0,0,0,0,0,0,24,0,0,0,0,0,0,0,90,0,
Aaron Ramsdale,SHU,GK,4200,450,0,0,0,0,0,1,70,0,0,0,0,0,0,0.1,90,,
Ben Osborn,SHU,M,3600,296,0,0,2,1,10,3,101,3,4,4,1,0,0.3,0.4,74,0,
Billy Sharp,SHU,F,6800,42,1,0,1,0,0,0,7,2,2,0,0,0,0.9,0,,8.4,
Chris Basham,SHU,D,4600,425,0,0,2,0,7,2,135,5,6,12,5,0,0.2,0.2,85,,y
David McGoldrick,SHU,F,5600,251,1,0,6,1,3,1,68,4,4,1,0,0,0.1,0.5,75.33333333,12.5,y
Enda Stevens,SHU,D,5000,450,0,0,5,2,4,1,193,1,5,9,5,1,0,0,90,,y
Ethan Ampadu,SHU,D,3200,244,0,0,1,0,0,1,93,2,1,4,1,0,0,0.2,81.33333333,0,
George Baldock,SHU,D,5200,450,0,1,3,1,10,3,144,1,9,0,0,1,0.2,0.4,90,,y
Jack Robinson,SHU,D,3000,252,0,0,2,0,7,0,106,1,4,3,2,0,0.3,0,90,0,
John Egan,SHU,D,3800,360,0,0,1,0,0,0,123,2,5,4,3,0,0,0,90,0,y
John Fleck,SHU,M,5800,28,0,0,0,0,0,1,10,0,0,0,0,0,0,0,,5.6,
John Lundstram,SHU,M,6200,354,0,0,6,2,2,7,135,2,4,1,4,2,0.7,0.4,79.5,36,y
Max Lowe,SHU,D,3000,98,0,0,0,0,2,0,20,0,2,1,0,0,0,0,80,0,y
Oliver Burke,SHU,M/F,3800,165,0,0,4,0,3,3,22,0,3,2,1,0,0.3,0.2,64,12.33333333,
Oliver McBurnie,SHU,F,6600,322,0,0,6,3,1,3,77,5,3,0,1,0,0.7,0.2,90,26,
Oliver Norwood,SHU,M,5200,143,0,0,0,0,2,2,74,1,1,1,0,0,0,0.1,90,13.25,y
Rhian Brewster,SHU,F,4400,170,0,0,2,1,0,1,24,0,3,0,0,0,0.3,0,71.5,9,y
Sander Berge,SHU,M,3400,450,1,0,3,1,12,7,155,0,6,5,2,2,0.8,0.5,90,,y
