,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Mason Mount,CHE,M,9800,3.0,1,1,12,5,5,10,153,6,4,9,5,0,16.353333333333335,21.686666666666667,0.1549382716111111,1.150738035681383,0.13464252228298682,0.25344717935520833,0.1549382716111111,0.9066862072403834,0.1708841166589329,0.2534471793552084,13.34440876710173,5.256566120886852,43.0,0.27906976744186046,3.7240210512842036,0.4166666666666667,1.5516754380350848,35.0,0.2857142857142857,3.103350876070169,70.83,1.8823710003183256,19.270078778555014,83.66666667,9.5,y,Mason Mount
1,Tammy Abraham,CHE,F,9200,3.077777777777778,1,1,9,3,0,2,46,5,3,2,0,0,6.6346570397111915,11.833212996389891,0.5545126353574007,1.150738035681383,0.48187564690086815,0.9070687434858274,0.030806257519855593,0.9066862072403834,0.03397675764101278,0.05039270797143486,13.34440876710173,5.256566120886852,43.0,0.20930232558139536,2.7930157884631526,0.3333333333333333,0.9310052628210508,35.0,0.05714285714285714,0.6206701752140339,70.83,1.8823710003183256,15.695496641959851,85.33333333,10.5,y,Tammy Abraham
2,Reece James,CHE,D,7600,3.0444444444444443,0,0,4,1,27,6,214,2,3,6,1,1,13.526277372262774,13.033576642335767,0.0,1.150738035681383,0.0,0.0,0.19708029197080293,0.9066862072403834,0.2173632844494704,0.32238286633190305,13.34440876710173,5.256566120886852,43.0,0.09302325581395349,1.2413403504280678,0.25,0.31033508760701695,35.0,0.17142857142857143,1.8620105256421018,70.83,1.8823710003183256,14.768421117872984,90.0,2.0,y,Reece James
3,Timo Werner,CHE,M/F,10600,4.766666666666667,3,1,10,6,5,3,137,3,4,2,1,0,6.0293706293706295,13.581818181818184,0.27999999999999997,1.150738035681383,0.2433221040045004,0.4580224723145111,0.16,0.9066862072403834,0.17646678500490337,0.2617271270368635,13.34440876710173,5.256566120886852,43.0,0.23255813953488372,3.1033508760701696,0.6,1.8620105256421016,35.0,0.08571428571428572,0.9310052628210509,70.83,1.8823710003183256,13.994954149899616,85.8,0.0,y,Timo Werner
4,Ben Chilwell,CHE,D,8600,4.0,1,2,3,2,12,9,283,6,4,4,4,1,9.515,14.64,0.05,1.150738035681383,0.04345037571508936,0.08178972719901985,0.15,0.9066862072403834,0.1654376109420969,0.24536918159705956,13.34440876710173,5.256566120886852,43.0,0.06976744186046512,0.9310052628210509,0.6666666666666666,0.6206701752140339,35.0,0.2571428571428571,2.793015788463152,70.83,1.8823710003183256,12.274803588070792,90.0,0.0,y,Ben Chilwell
5,Sander Berge,SHU,M,3400,5.0,1,0,3,1,12,7,155,0,6,5,2,2,5.1,6.5,0.16,0.5533931406298991,0.2891253762521888,0.4139790225522743,0.1,0.522833972467416,0.19126530651416723,0.25873688909517145,8.649038984314869,2.9732692328304595,28.0,0.10714285714285714,0.9266827483194502,0.3333333333333333,0.3088942494398167,24.0,0.2916666666666667,2.162259746078717,11.76,1.431832196531868,11.390048303931756,90.0,0.0,y,Sander Berge
6,John Lundstram,SHU,M,6200,3.933333333333333,0,0,6,2,2,7,135,2,4,1,4,2,5.61864406779661,4.8559322033898304,0.15720338983050847,0.5533931406298991,0.28407180770540796,0.4067431603996127,0.08983050847457627,0.522833972467416,0.17181459737713328,0.23242466308549298,8.649038984314869,2.9732692328304595,28.0,0.21428571428571427,1.8533654966389004,0.3333333333333333,0.6177884988796334,24.0,0.2916666666666667,2.162259746078717,11.76,1.431832196531868,11.016156035970743,79.5,36.0,y,John Lundstram
7,Chris Basham,SHU,D,4600,4.722222222222222,0,0,2,0,7,2,135,5,6,12,5,0,5.950588235294117,5.950588235294117,0.039999999999999994,0.5533931406298991,0.07228134406304719,0.10349475563806856,0.039999999999999994,0.522833972467416,0.07650612260566689,0.10349475563806856,8.649038984314869,2.9732692328304595,28.0,0.07142857142857142,0.6177884988796335,0.0,0.0,24.0,0.08333333333333333,0.6177884988796334,11.76,1.431832196531868,7.711493087968364,85.0,0.0,y,Chris Basham
8,David McGoldrick,SHU,F,5600,2.7888888888888888,1,0,6,1,3,1,68,4,4,1,0,0,5.184860557768924,8.770517928286854,0.03001328021115538,0.5533931406298991,0.0542350058350792,0.07765542753376013,0.1500664010557769,0.522833972467416,0.2870249619541112,0.3882771376688007,8.649038984314869,2.9732692328304595,28.0,0.21428571428571427,1.8533654966389004,0.16666666666666666,0.3088942494398167,24.0,0.041666666666666664,0.3088942494398167,11.76,1.431832196531868,7.516228998509576,75.33333333,12.5,y,David McGoldrick
9,Hakim Ziyech,CHE,M,11000,1.1222222222222222,1,1,1,1,3,2,57,1,3,0,1,0,6.451485148514852,20.70891089108911,0.0712871287128713,1.150738035681383,0.06194905052448385,0.11661109620454316,0.21386138613861388,0.9066862072403834,0.23587144530358373,0.34983328861362945,13.34440876710173,5.256566120886852,43.0,0.023255813953488372,0.31033508760701695,1.0,0.31033508760701695,35.0,0.05714285714285714,0.6206701752140339,70.83,1.8823710003183256,6.816154014452306,72.0,7.25,y,Hakim Ziyech
10,Enda Stevens,SHU,D,5000,5.0,0,0,5,2,4,1,193,1,5,9,5,1,4.932,4.632,0.0,0.5533931406298991,0.0,0.0,0.0,0.522833972467416,0.0,0.0,8.649038984314869,2.9732692328304595,28.0,0.17857142857142858,1.5444712471990838,0.4,0.6177884988796336,24.0,0.041666666666666664,0.3088942494398167,11.76,1.431832196531868,5.5031539955185345,90.0,0.0,y,Enda Stevens
11,George Baldock,SHU,D,5200,5.0,0,1,3,1,10,3,144,1,9,0,0,1,2.6759999999999997,3.5759999999999996,0.04,0.5533931406298991,0.0722813440630472,0.10349475563806858,0.08,0.522833972467416,0.1530122452113338,0.20698951127613716,8.649038984314869,2.9732692328304595,28.0,0.10714285714285714,0.9266827483194502,0.3333333333333333,0.3088942494398167,24.0,0.125,0.9266827483194502,11.76,1.431832196531868,5.415144370116226,90.0,0.0,y,George Baldock
12,Thiago Silva,CHE,D,5400,3.8,0,0,1,1,1,1,353,4,2,2,4,0,4.673684210526316,4.673684210526316,0.0,1.150738035681383,0.0,0.0,0.0,0.9066862072403834,0.0,0.0,13.34440876710173,5.256566120886852,43.0,0.023255813953488372,0.31033508760701695,1.0,0.31033508760701695,35.0,0.02857142857142857,0.31033508760701695,70.83,1.8823710003183256,4.621005262821051,85.5,0.0,y,Thiago Silva
13,N'Golo Kante,CHE,M,4800,4.911111111111111,0,0,2,0,2,2,320,2,11,6,7,1,3.6244343891402715,3.3190045248868776,0.04000000000000001,1.150738035681383,0.034760300572071495,0.06543178175921589,0.0,0.9066862072403834,0.0,0.0,13.34440876710173,5.256566120886852,43.0,0.046511627906976744,0.6206701752140339,0.0,0.0,35.0,0.05714285714285714,0.6206701752140339,70.83,1.8823710003183256,4.355658168020227,88.4,0.0,y,N'Golo Kante
14,Oliver Norwood,SHU,M,5200,1.5888888888888888,0,0,0,0,2,2,74,1,1,1,0,0,4.015384615384615,4.015384615384615,0.0,0.5533931406298991,0.0,0.0,0.06293706293706294,0.522833972467416,0.12037676633758779,0.1628413987312268,8.649038984314869,2.9732692328304595,28.0,0.0,0.0,0.0,0.0,24.0,0.08333333333333333,0.6177884988796334,11.76,1.431832196531868,4.3514802479103505,90.0,13.25,y,Oliver Norwood
15,Rhian Brewster,SHU,F,4400,1.8888888888888888,0,0,2,1,0,1,24,0,3,0,0,0,1.5776470588235296,1.5776470588235296,0.12617647058823528,0.5533931406298991,0.22800512208122975,0.32646507477008396,0.0,0.522833972467416,0.0,0.0,8.649038984314869,2.9732692328304595,28.0,0.07142857142857142,0.6177884988796335,0.5,0.30889424943981675,24.0,0.041666666666666664,0.3088942494398167,11.76,1.431832196531868,4.0712277454601065,71.5,9.0,y,Rhian Brewster
16,Mateo Kovacic,CHE,M,4800,0.75,0,0,1,0,0,0,64,2,2,1,2,0,7.04,7.04,0.0,1.150738035681383,0.0,0.0,0.0,0.9066862072403834,0.0,0.0,13.34440876710173,5.256566120886852,43.0,0.023255813953488372,0.31033508760701695,0.0,0.0,35.0,0.0,0.0,70.83,1.8823710003183256,3.1636684209403505,45.0,2.0,y,Mateo Kovacic
17,John Egan,SHU,D,3800,4.0,0,0,1,0,0,0,123,2,5,4,3,0,2.115,2.115,0.0,0.5533931406298991,0.0,0.0,0.0,0.522833972467416,0.0,0.0,8.649038984314869,2.9732692328304595,28.0,0.03571428571428571,0.30889424943981675,0.0,0.0,24.0,0.0,0.0,11.76,1.431832196531868,2.1738942494398166,90.0,0.0,y,John Egan
18,Max Lowe,SHU,D,3000,1.0888888888888888,0,0,0,0,2,0,20,0,2,1,0,0,1.653061224489796,1.653061224489796,0.0,0.5533931406298991,0.0,0.0,0.0,0.522833972467416,0.0,0.0,8.649038984314869,2.9732692328304595,28.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,11.76,1.431832196531868,1.469387755102041,80.0,0.0,y,Max Lowe
