Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Andreas Christensen,CHE,D,3800,90,0,0,1,0,0,0,58,0,0,1,0,0,0,0,90,0,
Antonio Rudiger,CHE,D,3400,90,0,0,0,0,0,0,99,0,1,0,0,0,0,0,90,0,
Ben Chilwell,CHE,D,7800,441,1,1,4,4,11,7,351,8,3,8,1,1,0.7,0.3,88.2,,y
Callum Hudson-Odoi,CHE,F,8400,33,0,0,1,0,0,1,13,0,2,1,1,0,0,0.1,,6.6,
Cesar Azpilicueta,CHE,D,6400,180,0,0,0,0,1,0,137,0,3,1,0,0,0,0,90,0,
Christian Pulisic,CHE,M/F,9000,166,0,0,5,1,1,1,29,0,0,2,1,0,0.2,0.1,83,0,
Edouard Mendy,CHE,GK,6400,360,0,0,0,0,0,0,114,0,0,0,0,0,0,0,90,0,
Emerson Palmieri,CHE,D,4800,9,0,0,0,0,0,0,9,0,1,1,0,0,0,0,,1.8,
Hakim Ziyech,CHE,M,10200,277,1,3,5,1,9,10,150,6,5,1,2,0,0.2,1.7,82.66666667,14.5,y
Jorginho,CHE,M,6600,205,0,0,1,0,0,1,126,1,1,3,4,0,0,0.5,90,8.333333333,
Kai Havertz,CHE,M,7400,246,1,0,4,2,1,2,122,3,3,1,2,1,0.9,0.1,82,0,
Kepa Arrizabalaga,CHE,GK,6200,90,0,0,0,0,0,0,24,0,0,0,0,0,0,0,90,0,
Kurt Zouma,CHE,D,4800,450,1,0,3,2,0,0,373,1,7,1,0,0,0.2,0,90,,y
Mason Mount,CHE,M,8000,360,0,1,9,3,4,8,244,7,4,6,6,0,0.5,0.3,85.25,19,y
Mateo Kovacic,CHE,M,4200,160,0,1,3,0,3,5,106,3,2,2,0,0,0.2,0.6,80,0,y
N'Golo Kante,CHE,M,4400,450,0,1,1,0,2,2,322,3,9,8,9,0,0.1,0.1,90,,y
Olivier Giroud,CHE,F,9200,22,0,0,0,0,0,0,7,0,0,0,0,0,0,0,,4.4,
Reece James,CHE,D,7600,364,0,0,7,1,20,1,282,4,3,3,3,0,0.1,0.1,90,4,y
Tammy Abraham,CHE,F,8600,277,2,1,9,5,0,7,44,5,4,1,2,0,1.3,0.9,85.33333333,10.5,y
Thiago Silva,CHE,D,4600,270,1,0,2,2,0,0,265,5,0,4,1,0,0.3,0,90,0,y
Timo Werner,CHE,M/F,9600,410,4,2,11,6,6,4,126,4,2,2,1,0,2.9,1.2,82,,y
Ben Davies,TOT,D,4400,96,0,0,0,0,3,0,60,0,1,0,0,0,0,0,90,1.5,
Carlos,TOT,F,7200,12,0,0,2,1,0,1,1,0,1,0,0,0,0.1,0,,2.4,
Davinson Sanchez,TOT,D,3400,90,0,0,0,0,0,0,44,0,2,3,0,0,0,0,90,0,
Eric Dier,TOT,D,3200,360,0,0,1,0,0,0,173,1,2,1,1,0,0,0,90,0,y
Erik Lamela,TOT,M,4200,103,0,0,3,1,2,1,28,1,2,3,1,0,0.2,0,69,8.5,
Gareth Bale,TOT,M/F,8200,117,1,0,6,2,1,2,21,2,2,1,1,0,0.7,0.2,77,10,
Giovani Lo Celso,TOT,M,7000,92,1,0,4,2,0,3,42,3,2,4,1,0,0.5,0.3,,18.4,
Harry Kane,TOT,F,10600,450,4,3,17,4,2,8,117,16,8,5,1,1,2.5,0.9,90,,y
Harry Winks,TOT,M,4200,18,0,0,0,0,0,0,5,0,1,1,0,0,0,0,,3.6,
Hugo Lloris,TOT,GK,5600,450,0,0,0,0,0,0,105,1,0,0,0,0,0,0,90,,
Joe Rodon,TOT,D,3000,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2.2,y
Lucas Moura,TOT,M/F,6800,98,0,0,0,0,0,1,20,2,1,1,1,0,0,0,56,10.5,
Matt Doherty,TOT,D,5000,270,0,1,0,0,8,3,129,2,2,3,0,0,0,0.3,90,0,
Moussa Sissoko,TOT,M,4000,438,0,0,0,0,0,1,155,2,7,7,4,1,0,0,87.6,,y
Pierre Hojbjerg,TOT,M,3800,450,0,0,0,0,0,1,297,6,7,15,0,0,0,0,90,,y
Serge Aurier,TOT,D,5200,180,0,0,0,0,3,1,62,1,6,5,2,0,0,0.4,90,0,y
Sergio Reguilon,TOT,D,6000,360,0,2,4,2,8,3,172,3,6,9,3,1,0.1,0.6,90,0,y
Son Heung-min,TOT,M/F,9800,432,3,1,10,5,6,5,124,10,2,1,1,0,1.8,0.1,86.4,,y
Steven Bergwijn,TOT,M/F,5000,143,0,0,1,0,0,0,34,4,1,0,1,0,0,0,71.5,0,y
Tanguy Ndombele,TOT,M,4600,340,0,1,1,0,1,6,141,6,5,5,1,1,0,1.1,68,0,y
Toby Alderweireld,TOT,D,3600,440,0,0,1,1,0,1,191,1,1,2,1,0,0,0.1,88,,
