,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Harry Kane,TOT,F,10600,5.0,4,3,17,4,2,8,117,16,8,5,1,1,10.047999999999998,21.348000000000003,0.5,0.885,0.5649717514124294,0.6763028146123056,0.18,0.77,0.23376623376623376,0.24346901326043002,10.922954529836634,3.9452566915010814,34.0,0.5,5.461477264918317,0.23529411764705882,1.2850534740984274,25.0,0.32,2.5701069481968553,27.03,1.197055981863781,21.488479912899237,90.0,0.0,y,Harry Kane
1,Son Heung-min,TOT,M/F,9800,4.8,3,1,10,5,6,5,124,10,2,1,1,0,7.745833333333334,15.245833333333335,0.36000000000000004,0.885,0.4067796610169492,0.48693802652086005,0.020000000000000004,0.77,0.02597402597402598,0.027052112584492232,10.922954529836634,3.9452566915010814,34.0,0.29411764705882354,3.212633685246069,0.5,1.6063168426230345,25.0,0.2,1.6063168426230345,27.03,1.197055981863781,14.892960311207691,86.4,0.0,y,Son Heung-min
2,Timo Werner,CHE,M/F,9600,4.555555555555555,4,2,11,6,6,4,126,4,2,2,1,0,7.292195121951219,18.706829268292683,0.58,1.5832965242106338,0.36632430573241104,0.4790278360316505,0.24000000000000002,1.5003638126410388,0.15996120272824782,0.19821841490964853,13.469079392331391,4.65926705127176,54.0,0.2037037037037037,2.743701357697135,0.5454545454545454,1.49656437692571,44.0,0.09090909090909091,0.9977095846171401,46.3,1.3076605306707823,13.661564169014381,82.0,0.0,y,Timo Werner
3,Tammy Abraham,CHE,F,8600,3.077777777777778,2,1,9,5,0,7,44,5,4,1,2,0,8.733574007220216,17.181227436823104,0.4004813477581228,1.5832965242106338,0.25294146840737003,0.3307615748062284,0.27725631767870035,1.5003638126410388,0.1847927251662086,0.2289887825581581,13.469079392331391,4.65926705127176,54.0,0.16666666666666666,2.244846565388565,0.5555555555555556,1.2471369807714252,44.0,0.1590909090909091,1.7459917730799952,46.3,1.3076605306707823,11.730931704818728,85.33333333,10.5,y,Tammy Abraham
4,Mason Mount,CHE,M,8000,4.0,0,1,9,3,4,8,244,7,4,6,6,0,10.42,11.92,0.11840277777777777,1.5832965242106338,0.0747824402866093,0.0977900455500436,0.07104166666666666,1.5003638126410388,0.047349626849246956,0.05867402733002616,13.469079392331391,4.65926705127176,54.0,0.16666666666666666,2.244846565388565,0.3333333333333333,0.748282188462855,44.0,0.18181818181818182,1.9954191692342802,46.3,1.3076605306707823,11.452436987010739,85.25,19.0,y,Mason Mount
5,Hakim Ziyech,CHE,M,10200,3.077777777777778,1,3,5,1,9,10,150,6,5,1,2,0,10.007220216606498,19.10469314079422,0.05968712394945848,1.5832965242106338,0.037698007313706455,0.049296196249072416,0.5073405535703971,1.5003638126410388,0.3381450214247323,0.41901766811711555,13.469079392331391,4.65926705127176,54.0,0.09259259259259259,1.247136980771425,0.2,0.249427396154285,44.0,0.22727272727272727,2.49427396154285,46.3,1.3076605306707823,11.414753481921906,82.66666667,14.5,y,Hakim Ziyech
6,Ben Chilwell,CHE,D,7800,4.9,1,1,4,4,11,7,351,8,3,8,1,1,9.126530612244897,12.085714285714285,0.13999999999999999,1.5832965242106338,0.08842310828023714,0.11562740869729493,0.05999999999999999,1.5003638126410388,0.03999030068206194,0.04955460372741212,13.469079392331391,4.65926705127176,54.0,0.07407407407407407,0.99770958461714,1.0,0.99770958461714,44.0,0.1590909090909091,1.7459917730799952,46.3,1.3076605306707823,10.839012651651696,88.2,0.0,y,Ben Chilwell
7,Reece James,CHE,D,7600,4.044444444444444,0,0,7,1,20,1,282,4,3,3,3,0,8.812087912087913,8.812087912087913,0.024725274725274728,1.5832965242106338,0.01561632603065413,0.02042085318437313,0.024725274725274728,1.5003638126410388,0.016479519511838715,0.02042085318437313,13.469079392331391,4.65926705127176,54.0,0.12962962962962962,1.745991773079995,0.14285714285714285,0.249427396154285,44.0,0.022727272727272728,0.24942739615428502,46.3,1.3076605306707823,9.158393403151724,90.0,4.0,y,Reece James
8,Sergio Reguilon,TOT,D,6000,4.0,0,2,4,2,8,3,172,3,6,9,3,1,7.135,9.760000000000002,0.025,0.885,0.02824858757062147,0.03381514073061528,0.15,0.77,0.1948051948051948,0.20289084438369168,10.922954529836634,3.9452566915010814,34.0,0.11764705882352941,1.2850534740984274,0.5,0.6425267370492137,25.0,0.12,0.9637901055738206,27.03,1.197055981863781,8.956866790329764,90.0,0.0,y,Sergio Reguilon
9,Mateo Kovacic,CHE,M,4200,1.7777777777777777,0,1,3,0,3,5,106,3,2,2,0,0,9.12375,12.498750000000003,0.1,1.5832965242106338,0.06315936305731226,0.08259100621235355,0.3,1.5003638126410388,0.19995150341030973,0.24777301863706064,13.469079392331391,4.65926705127176,54.0,0.05555555555555555,0.748282188462855,0.0,0.0,44.0,0.11363636363636363,1.247136980771425,46.3,1.3076605306707823,8.41796734318018,80.0,0.0,y,Mateo Kovacic
