Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Aboubacar Keita,CLB,D,3000,360,0,0,0,0,0,0,203,4,2,6,0,0,0,0,90,0,
Aidan Morris,CLB,M,3400,55,0,0,0,0,1,0,26,0,1,2,1,1,0,0,,11,
Artur,CLB,M,4800,355,1,1,1,1,2,2,215,2,6,4,3,0,0,0.1,86,0,y
Chris Cadden,CLB,D,3400,90,0,0,0,0,5,1,55,0,1,0,0,1,0,0.1,85.5,4.333333333,
Darlington Nagbe,CLB,M,4000,344,0,0,0,0,0,2,199,5,8,2,2,1,0,0,77.5,34,y
Derrick Etienne,CLB,M,7400,234,0,0,3,0,5,2,55,6,3,1,0,0,0.3,0.5,67.33333333,16,y
Eloy Room,CLB,GK,7800,450,0,0,0,0,0,0,103,0,1,0,0,0,0,0,90,,
Emmanuel Boateng,CLB,M/F,4200,59,0,0,0,0,0,0,13,1,1,0,1,1,0,0,45,3.5,
Fatai Alashe,CLB,M,3000,76,0,0,0,0,0,1,30,3,1,0,0,0,0,0,76,0,
Gyasi Zardes,CLB,M/F,10400,249,1,0,6,1,0,0,22,4,5,0,0,0,0.9,0,83,0,y
Harrison Afful,CLB,D,7000,360,1,1,2,1,7,3,211,2,8,3,4,1,0.1,0.2,90,0,y
Jonathan Mensah,CLB,D,3200,450,0,0,5,1,0,0,280,3,3,1,3,0,0.1,0,90,,y
Jordan Hamilton,CLB,F,7200,15,0,0,0,0,0,0,4,0,2,0,0,0,0,0,,3,
Josh Williams,CLB,D,3000,90,0,0,3,0,0,0,34,0,0,1,1,0,0.4,0,90,0,y
Krisztian Nemeth,CLB,F,4600,187,1,0,3,1,1,0,31,4,4,0,0,0,0.7,0,83,7,
Lucas Zelarayan,CLB,M,11200,327,1,0,4,2,7,10,103,4,9,2,0,1,0.7,1.1,82.66666667,39.5,y
Luis Diaz,CLB,M,6800,216,0,1,3,2,12,2,37,10,4,4,0,1,0.2,0.6,74,22.66666667,
Milton Valenzuela,CLB,D,5400,245,0,1,1,0,7,2,115,2,5,3,1,2,0,0.6,81.66666667,0,y
Pedro Santos,CLB,M,11600,443,0,1,10,2,15,6,120,5,5,11,4,1,1.2,0.7,88.6,,y
Sebastian Berhalter,CLB,M,3200,56,0,0,0,0,0,1,38,0,2,0,1,1,0,0,56,0,
Waylon Francis,CLB,D,4600,197,0,0,0,0,4,2,74,2,2,1,2,0,0,0.2,86,8.333333333,
Youness Mokhtar,CLB,M/F,8800,92,0,0,2,1,3,0,25,0,1,0,1,0,0.3,0,56,9,
Aaron Long,RBNY,D,3400,346,1,0,1,1,0,0,76,7,3,3,3,1,0.4,0,86.5,0,y
Amro Tarek,RBNY,D,3200,103,0,0,0,0,1,1,29,2,3,0,0,0,0,0,90,3.25,
Brian White,RBNY,F,8400,264,4,1,12,6,2,2,29,1,3,0,1,0,2.4,0.1,76.66666667,17,
Caden Clark,RBNY,M,5600,182,0,0,3,0,2,0,29,4,6,5,2,0,0.1,0,59.5,20.66666667,y
Cristian Casseres Jr.,RBNY,M/F,9000,171,1,1,2,2,1,1,72,7,3,3,2,0,0.1,0,90,20.25,
Daniel Royer,RBNY,M/F,8600,129,0,0,1,1,1,1,38,1,3,0,0,0,0.1,0.1,69,15,y
Dru Yearwood,RBNY,M,3200,209,0,0,1,1,1,1,60,4,11,2,2,2,0,0.1,69.66666667,0,y
Florian Valot,RBNY,M,8000,404,0,0,6,1,6,5,181,10,6,4,3,1,0.6,0.4,89.75,45,y
Jared Stroud,RBNY,M,4400,304,0,1,4,0,14,5,66,6,6,0,1,1,0.2,0.5,68.75,29,
Jason Pendant,RBNY,D,5800,450,0,1,1,0,12,2,165,2,4,10,2,0,0,0.2,90,,y
Kaku,RBNY,M,9800,122,0,0,3,1,5,2,45,0,2,0,1,0,0.3,0.1,90,8,
Kyle Duncan,RBNY,D,6600,436,1,1,1,1,8,5,187,12,6,9,9,1,0.1,1.1,87.2,,y
Mandela Egbo,RBNY,D,5400,27,0,0,1,1,0,0,8,0,1,0,0,0,0,0,,5.4,
Marc Rzatkowski,RBNY,M,6400,132,0,0,2,1,1,5,58,2,5,1,0,0,0,0.2,59.5,4.333333333,
Omir Fernandez,RBNY,M/F,8200,56,0,0,1,0,2,0,24,2,1,2,0,0,0,0,,11.2,
Ryan Meara,RBNY,GK,5200,450,0,0,0,0,0,0,80,1,0,0,0,1,0,0,90,,y
Samuel Tetteh,RBNY,M/F,3600,138,0,0,4,1,0,0,32,1,3,2,0,0,0.4,0,50,12.66666667,
Sean Davis,RBNY,M,3800,315,0,0,3,0,2,4,131,5,5,3,4,0,0.1,0.3,78.75,0,y
Tim Parker,RBNY,D,3000,450,0,1,1,0,1,1,137,2,7,3,1,0,0,0.2,90,,y
Tom Barlow,RBNY,F,6200,262,1,0,7,4,2,1,44,0,5,1,0,0,2,0,78.66666667,13,y
