,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Pedro Santos,CLB,M,11600,4.9222222222222225,0,1,10,2,15,6,120,5,5,11,4,1,9.426636568848757,10.340857787810382,0.23999999999999996,1.2482870697119501,0.19226346713290993,0.30848760019883226,0.13999999999999999,0.836183584174905,0.16742734807230575,0.1799511001159855,15.697019094070285,5.7458565840443505,35.0,0.2857142857142857,4.484862598305796,0.2,0.8969725196611592,27.0,0.2222222222222222,2.6909175589834775,52.08,1.6045045103944666,17.617335279634666,88.6,0.0,y,Pedro Santos
1,Tom Barlow,RBNY,F,6200,2.911111111111111,1,0,7,4,2,1,44,0,5,1,0,0,4.390076335877863,7.825190839694656,0.6005089058778625,0.9649816648711144,0.6223008454342687,0.7454397571967557,0.0,0.5506830915665654,0.0,0.0,12.918769963292368,4.5339862640707445,25.0,0.28,3.6172555897218635,0.5714285714285714,2.067003194126779,20.0,0.05,0.5167507985316948,26.32,1.1978768190111575,13.88960562764026,78.66666667,13.0,y,Tom Barlow
2,Lucas Zelarayan,CLB,M,11200,3.6333333333333333,1,0,4,2,7,10,103,4,9,2,0,1,6.7321100917431185,9.071559633027523,0.1769622833914373,1.2482870697119501,0.14176409231914291,0.22746112553804237,0.2780835881865444,0.836183584174905,0.33256284080360216,0.35743891155978097,15.697019094070285,5.7458565840443505,35.0,0.11428571428571428,1.7939450393223182,0.5,0.8969725196611591,27.0,0.37037037037037035,4.484862598305796,52.08,1.6045045103944666,13.354535585463246,82.66666667,39.5,y,Lucas Zelarayan
3,Florian Valot,RBNY,M,8000,4.488888888888889,0,0,6,1,6,5,181,10,6,4,3,1,7.2,6.8658415841584155,0.1332920792079208,0.9649816648711144,0.13812913142315886,0.16546168456194765,0.08886138613861387,0.5506830915665654,0.16136574283736202,0.1103077897079651,12.918769963292368,4.5339862640707445,25.0,0.24,3.100504791190168,0.16666666666666666,0.5167507985316946,20.0,0.25,2.583753992658474,26.32,1.1978768190111575,12.698401384069385,89.75,45.0,y,Florian Valot
4,Kyle Duncan,RBNY,D,6600,4.844444444444444,1,1,1,1,8,5,187,12,6,9,9,1,8.017431192660553,11.010550458715597,0.02,0.9649816648711144,0.02072578239366989,0.02482693428524674,0.22000000000000003,0.5506830915665654,0.3995038223784049,0.27309627713771417,12.918769963292368,4.5339862640707445,25.0,0.04,0.5167507985316947,1.0,0.5167507985316947,20.0,0.25,2.583753992658474,26.32,1.1978768190111575,11.572102595400615,87.2,0.0,y,Kyle Duncan
5,Josh Williams,CLB,D,3000,1.0,0,0,3,0,0,0,34,0,0,1,1,0,5.18,5.18,0.4,1.2482870697119501,0.32043911188818325,0.5141460003313871,0.0,0.836183584174905,0.0,0.0,15.697019094070285,5.7458565840443505,35.0,0.08571428571428572,1.3454587794917388,0.0,0.0,27.0,0.0,0.0,52.08,1.6045045103944666,8.66691878280561,90.0,0.0,y,Josh Williams
6,Gyasi Zardes,CLB,M/F,10400,2.7666666666666666,1,0,6,1,0,0,22,4,5,0,0,0,3.2313253012048198,6.845783132530121,0.3,1.2482870697119501,0.24032933391613742,0.38560950024854035,0.0,0.836183584174905,0.0,0.0,15.697019094070285,5.7458565840443505,35.0,0.17142857142857143,2.6909175589834775,0.16666666666666666,0.44848625983057955,27.0,0.0,0.0,52.08,1.6045045103944666,7.6421654879661265,83.0,0.0,y,Gyasi Zardes
7,Derrick Etienne,CLB,M,7400,2.6,0,0,3,0,5,2,55,6,3,1,0,0,5.8076923076923075,5.8076923076923075,0.08632478632051283,1.2482870697119501,0.0691545946562058,0.11095885904038329,0.14387464386752136,0.836183584174905,0.1720610719827609,0.1849314317339721,15.697019094070285,5.7458565840443505,35.0,0.08571428571428572,1.3454587794917388,0.0,0.0,27.0,0.07407407407407407,0.8969725196611592,52.08,1.6045045103944666,7.3678762860844955,67.33333333,16.0,y,Derrick Etienne
8,Sean Davis,RBNY,M,3800,3.5,0,0,3,0,2,4,131,5,5,3,4,0,5.291428571428571,5.291428571428571,0.025,0.9649816648711144,0.025907227992087365,0.03103366785655843,0.075,0.5506830915665654,0.13619448490172892,0.09310100356967527,12.918769963292368,4.5339862640707445,25.0,0.12,1.550252395595084,0.0,0.0,20.0,0.2,2.0670031941267792,26.32,1.1978768190111575,7.3661982897054985,78.75,0.0,y,Sean Davis
9,Jason Pendant,RBNY,D,5800,5.0,0,1,1,0,12,2,165,2,4,10,2,0,5.14,6.34,0.0,0.9649816648711144,0.0,0.0,0.04,0.5506830915665654,0.07263705861425543,0.049653868570493476,12.918769963292368,4.5339862640707445,25.0,0.04,0.5167507985316947,0.0,0.0,20.0,0.1,1.0335015970633896,26.32,1.1978768190111575,6.388175607018045,90.0,0.0,y,Jason Pendant
