player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Aboubacar Keita,CLB,DELETE,DELETE,360.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Aidan Morris,CLB,DELETE,DELETE,55.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Artur,CLB,DELETE,DELETE,355.0,1.0,1.0,1.0,1.0,2.0,2.0,215.0,2.0,6.0,4.0,3.0,0.0,0.0,0.1,DELETE,DELETE,DELETE
Darlington Nagbe,CLB,DELETE,DELETE,344.0,0.0,0.0,0.0,0.0,0.0,2.0,199.0,5.0,8.0,2.0,2.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Derrick Etienne,CLB,DELETE,DELETE,234.0,0.0,0.0,3.0,0.0,5.0,2.0,55.0,6.0,3.0,1.0,0.0,0.0,0.30000000000000004,0.5,DELETE,DELETE,DELETE
Eloy Room,CLB,DELETE,DELETE,450.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Emmanuel Boateng,CLB,DELETE,DELETE,59.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Harrison Afful,CLB,DELETE,DELETE,360.0,1.0,1.0,2.0,1.0,7.0,3.0,211.0,2.0,8.0,3.0,4.0,1.0,0.1,0.2,DELETE,DELETE,DELETE
Jonathan Mensah,CLB,DELETE,DELETE,450.0,0.0,0.0,5.0,1.0,0.0,0.0,280.0,3.0,3.0,1.0,3.0,0.0,0.1,0.0,DELETE,DELETE,DELETE
Jordan Hamilton,CLB,DELETE,DELETE,15.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Krisztian Nemeth,CLB,DELETE,DELETE,187.0,1.0,0.0,3.0,1.0,1.0,0.0,31.0,4.0,4.0,0.0,0.0,0.0,0.7,0.0,DELETE,DELETE,DELETE
Lucas Zelarayan,CLB,DELETE,DELETE,327.0,1.0,0.0,4.0,2.0,7.0,10.0,103.0,4.0,9.0,2.0,0.0,1.0,0.7,1.0999999999999999,DELETE,DELETE,DELETE
Luis Diaz,CLB,DELETE,DELETE,216.0,0.0,1.0,3.0,2.0,12.0,2.0,37.0,10.0,4.0,4.0,0.0,1.0,0.2,0.6,DELETE,DELETE,DELETE
Milton Valenzuela,CLB,DELETE,DELETE,245.0,0.0,1.0,1.0,0.0,7.0,2.0,115.0,2.0,5.0,3.0,1.0,2.0,0.0,0.6000000000000001,DELETE,DELETE,DELETE
Pedro Santos,CLB,DELETE,DELETE,443.0,0.0,1.0,10.0,2.0,15.0,6.0,120.0,5.0,5.0,11.0,4.0,1.0,1.2,0.7,DELETE,DELETE,DELETE
Youness Mokhtar,CLB,DELETE,DELETE,92.0,0.0,0.0,2.0,1.0,3.0,0.0,25.0,0.0,1.0,0.0,1.0,0.0,0.3,0.0,DELETE,DELETE,DELETE
Chris Cadden,CLB,DELETE,DELETE,90.0,0.0,0.0,0.0,0.0,5.0,1.0,55.0,0.0,1.0,0.0,0.0,1.0,0.0,0.1,DELETE,DELETE,DELETE
Fatai Alashe,CLB,DELETE,DELETE,76.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Sebastian Berhalter,CLB,DELETE,DELETE,56.0,0.0,0.0,0.0,0.0,0.0,1.0,38.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Waylon Francis,CLB,DELETE,DELETE,197.0,0.0,0.0,0.0,0.0,4.0,2.0,74.0,2.0,2.0,1.0,2.0,0.0,0.0,0.2,DELETE,DELETE,DELETE
Gyasi Zardes,CLB,DELETE,DELETE,249.0,1.0,0.0,6.0,1.0,0.0,0.0,22.0,4.0,5.0,0.0,0.0,0.0,0.8999999999999999,0.0,DELETE,DELETE,DELETE
Josh Williams,CLB,DELETE,DELETE,90.0,0.0,0.0,3.0,0.0,0.0,0.0,34.0,0.0,0.0,1.0,1.0,0.0,0.4,0.0,DELETE,DELETE,DELETE
Amro Tarek,RBNY,DELETE,DELETE,103.0,0.0,0.0,0.0,0.0,1.0,1.0,29.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Brian White,RBNY,DELETE,DELETE,264.0,4.0,1.0,12.0,6.0,2.0,2.0,29.0,1.0,3.0,0.0,1.0,0.0,2.4000000000000004,0.1,DELETE,DELETE,DELETE
Caden Clark,RBNY,DELETE,DELETE,182.0,0.0,0.0,3.0,0.0,2.0,0.0,29.0,4.0,6.0,5.0,2.0,0.0,0.1,0.0,DELETE,DELETE,DELETE
Daniel Royer,RBNY,DELETE,DELETE,129.0,0.0,0.0,1.0,1.0,1.0,1.0,38.0,1.0,3.0,0.0,0.0,0.0,0.1,0.1,DELETE,DELETE,DELETE
Florian Valot,RBNY,DELETE,DELETE,404.0,0.0,0.0,6.0,1.0,6.0,5.0,181.0,10.0,6.0,4.0,3.0,1.0,0.6000000000000001,0.4,DELETE,DELETE,DELETE
Jared Stroud,RBNY,DELETE,DELETE,304.0,0.0,1.0,4.0,0.0,14.0,5.0,66.0,6.0,6.0,0.0,1.0,1.0,0.2,0.5,DELETE,DELETE,DELETE
Jason Pendant,RBNY,DELETE,DELETE,450.0,0.0,1.0,1.0,0.0,12.0,2.0,165.0,2.0,4.0,10.0,2.0,0.0,0.0,0.2,DELETE,DELETE,DELETE
Kyle Duncan,RBNY,DELETE,DELETE,436.0,1.0,1.0,1.0,1.0,8.0,5.0,187.0,12.0,6.0,9.0,9.0,1.0,0.1,1.1,DELETE,DELETE,DELETE
Marc Rzatkowski,RBNY,DELETE,DELETE,132.0,0.0,0.0,2.0,1.0,1.0,5.0,58.0,2.0,5.0,1.0,0.0,0.0,0.0,0.2,DELETE,DELETE,DELETE
Omir Fernandez,RBNY,DELETE,DELETE,56.0,0.0,0.0,1.0,0.0,2.0,0.0,24.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Ryan Meara,RBNY,DELETE,DELETE,450.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Samuel Tetteh,RBNY,DELETE,DELETE,138.0,0.0,0.0,4.0,1.0,0.0,0.0,32.0,1.0,3.0,2.0,0.0,0.0,0.4,0.0,DELETE,DELETE,DELETE
Sean Davis,RBNY,DELETE,DELETE,315.0,0.0,0.0,3.0,0.0,2.0,4.0,131.0,5.0,5.0,3.0,4.0,0.0,0.1,0.30000000000000004,DELETE,DELETE,DELETE
Tim Parker,RBNY,DELETE,DELETE,450.0,0.0,1.0,1.0,0.0,1.0,1.0,137.0,2.0,7.0,3.0,1.0,0.0,0.0,0.2,DELETE,DELETE,DELETE
Tom Barlow,RBNY,DELETE,DELETE,262.0,1.0,0.0,7.0,4.0,2.0,1.0,44.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,DELETE,DELETE,DELETE
Aaron Long,RBNY,DELETE,DELETE,346.0,1.0,0.0,1.0,1.0,0.0,0.0,76.0,7.0,3.0,3.0,3.0,1.0,0.4,0.0,DELETE,DELETE,DELETE
Cristian Casseres Jr.,RBNY,DELETE,DELETE,171.0,1.0,1.0,2.0,2.0,1.0,1.0,72.0,7.0,3.0,3.0,2.0,0.0,0.1,0.0,DELETE,DELETE,DELETE
Dru Yearwood,RBNY,DELETE,DELETE,209.0,0.0,0.0,1.0,1.0,1.0,1.0,60.0,4.0,11.0,2.0,2.0,2.0,0.0,0.1,DELETE,DELETE,DELETE
Kaku,RBNY,DELETE,DELETE,122.0,0.0,0.0,3.0,1.0,5.0,2.0,45.0,0.0,2.0,0.0,1.0,0.0,0.30000000000000004,0.1,DELETE,DELETE,DELETE
Mandela Egbo,RBNY,DELETE,DELETE,27.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
