Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Aboubacar Keita,COL,D,3000,270,0,0,0,0,0,0,151,3,2,5,0,0,0,0,90,0,
Aidan Morris,COL,M,3400,27,0,0,0,0,1,0,14,0,0,1,1,0,0,0,,5.4,
Artur,COL,M,4600,355,1,1,1,1,3,3,193,1,8,4,5,0,0,0.2,88.75,0,y
Chris Cadden,COL,D,3200,90,0,0,0,0,5,1,55,0,1,0,0,1,0,0.1,90,0,
Darlington Nagbe,COL,M,4200,372,1,0,1,1,0,3,181,4,6,2,2,1,0.1,0,84.5,34,y
Derrick Etienne,COL,M,6800,252,0,1,3,1,7,3,61,6,4,3,0,0,0.2,0.7,73.33333333,16,
Eloy Room,COL,GK,6600,450,0,0,0,0,0,0,91,0,1,0,0,0,0,0,90,,
Emmanuel Boateng,COL,M/F,3800,14,0,0,0,0,0,0,2,0,1,0,0,1,0,0,,2.8,
Fatai Alashe,COL,M,3000,76,0,0,0,0,0,1,30,3,1,0,0,0,0,0,76,0,
Gyasi Zardes,COL,M/F,9600,339,2,0,12,5,0,1,37,6,6,0,1,0,1.4,0,84.75,0,y
Harrison Afful,COL,D,5400,360,1,1,2,1,5,3,180,3,8,2,9,0,0.1,0.3,90,0,y
Jonathan Mensah,COL,D,3200,450,0,0,5,2,0,0,251,3,2,1,3,0,0.1,0,90,,y
Jordan Hamilton,COL,F,6000,8,0,0,0,0,0,0,2,0,2,0,0,0,0,0,,1.6,
Josh Williams,COL,D,3000,180,0,0,3,0,0,0,56,0,0,1,4,0,0.4,0,90,0,y
Krisztian Nemeth,COL,F,4000,111,1,0,2,1,0,0,22,2,2,0,0,0,0.6,0,90,5.25,
Lucas Zelarayan,COL,M,10800,372,1,0,7,3,8,12,124,7,8,3,2,1,1,1.3,84.5,34,y
Luis Diaz,COL,M,5200,198,0,1,4,3,10,2,36,10,3,4,0,0,0.3,0.6,74,16.66666667,y
Milton Valenzuela,COL,D,4800,245,0,1,0,0,7,2,119,1,4,3,1,2,0,0.5,81.66666667,0,y
Pedro Santos,COL,M,11000,450,1,1,10,3,13,4,133,9,6,13,4,1,1.7,0.2,90,,y
Sebastian Berhalter,COL,M,3200,56,0,0,0,0,0,1,38,0,2,0,1,1,0,0,56,0,
Waylon Francis,COL,D,4200,197,0,0,0,0,4,2,74,2,2,1,2,0,0,0.2,86,10,
Youness Mokhtar,COL,M/F,7800,78,0,0,1,0,3,0,22,0,1,0,0,0,0,0,56,5.5,
Abu Danladi,NSH,F,8600,32,0,0,0,0,1,0,7,0,0,1,2,0,0,0,,6.4,
Alex Muyl,NSH,M,5000,364,0,2,7,2,4,2,75,6,11,7,4,0,1.1,0.1,82,22,y
Alistair Johnston,NSH,M,3800,390,0,0,0,0,8,4,150,1,5,6,1,1,0,0.5,90,0,y
Anibal Godoy,NSH,M,4400,298,0,0,0,0,1,4,150,11,10,4,6,1,0,0.3,74.5,0,
Brian Anunga,NSH,M,3400,263,0,0,1,0,1,1,122,2,11,1,3,0,0,0.5,83,27.66666667,y
Daniel Armando Rios,NSH,F,7200,222,2,0,9,4,0,2,54,0,1,1,0,0,1.7,0.4,49.33333333,22,
Daniel Lovitz,NSH,D,7600,480,1,0,4,2,22,11,225,1,5,5,4,0,0.3,0.4,90,,y
David Romney,NSH,D,3600,480,0,0,3,2,4,1,185,1,3,2,1,0,0.2,0.1,90,,y
Dax McCarty,NSH,M,4000,345,1,0,4,2,2,5,165,5,11,9,4,2,0.1,0.6,78.75,0,y
Derrick Jones,NSH,M,3400,187,0,0,2,1,2,0,51,1,2,1,0,1,0,0,66.5,18,
Eric Miller,NSH,D,3000,90,0,0,1,0,1,0,40,1,0,0,0,0,0.1,0,90,0,
Handwalla Bwana,NSH,M,3000,67,0,0,0,0,1,2,16,1,2,0,1,0,0,0.2,,13.4,
Hany Mukhtar,NSH,M,10000,191,2,1,8,3,4,1,66,5,3,1,1,0,1.9,0.3,78,5,y
Jack Maher,NSH,D,3000,27,0,0,0,0,0,0,19,1,0,0,0,0,0,0,,5.4,
Jalil Anibaba,NSH,D,3200,68,0,0,1,0,3,0,43,1,0,1,0,0,0.2,0,,1.25,
Jhonder Cadiz,NSH,F,7000,258,1,0,9,2,2,0,40,6,1,1,0,0,0.9,0,68,40.66666667,y
Joe Willis,NSH,GK,5800,480,0,0,0,0,0,1,108,0,0,0,0,0,0,0.1,90,,
Matt LaGrassa,NSH,M,3200,123,0,0,0,0,2,1,53,3,3,1,0,0,0,0,68,13.75,
Randall Leal,NSH,M,8400,408,1,1,9,1,7,7,114,9,8,4,3,0,0.3,1.1,76.2,,y
Taylor Washington,NSH,D,4600,27,0,0,0,0,2,1,7,1,0,1,0,0,0,0.1,,5.4,
Walker Zimmerman,NSH,D,4400,480,0,0,3,1,1,2,200,1,9,7,3,0,0.7,0,90,,y
