Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Andre Shinyashiki,COL,F,7600,345,3,0,11,6,6,4,106,5,7,5,1,1,1.7,0.1,78.75,30,y
Auston Trusty,COL,D,3400,229,0,1,0,0,0,1,149,1,1,5,2,0,0,0.6,90,12.25,y
Brian Galvan,COL,M,4400,127,0,1,2,1,3,4,58,4,0,1,0,0,0,0.1,67,15,
Clint Irwin,COL,GK,5200,90,0,0,0,0,0,0,27,0,0,0,0,0,0,0,90,0,
Cole Bassett,COL,M,8400,420,2,1,8,2,8,4,169,2,3,5,2,0,0.6,0.5,84,,y
Collen Warner,COL,M,3200,43,0,0,0,0,0,0,24,0,3,1,1,1,0,0,,8.6,
Danny Wilson,COL,D,3000,237,0,0,1,1,0,0,115,1,3,7,5,1,0,0,79,0,
Diego Rubio,COL,F,8000,240,0,1,4,1,2,3,50,6,2,3,1,0,0.6,0.8,80,0,y
Drew Moor,COL,D,3000,113,0,0,0,0,0,2,84,1,0,0,0,0,0,0,90,5.75,
Jack Price,COL,M,7200,434,0,1,2,1,6,10,360,4,3,7,6,1,0.1,0.6,86.8,,y
Jeremy Kelly,COL,D,3000,69,0,0,1,0,0,1,63,1,0,0,0,0,0.1,0.1,,13.8,
Jonathan Lewis,COL,F,8600,284,2,0,11,2,16,5,65,3,2,2,1,0,1.2,0.3,64.5,16,
Keegan Rosenberry,COL,D,4800,384,0,0,7,2,8,5,237,1,5,11,7,0,0.3,0.6,76.8,,y
Kellyn Acosta,COL,M,3800,239,0,1,6,2,1,3,116,5,3,3,0,1,0.6,0.4,79.66666667,0,
Lalas Abubakar,COL,D,3200,344,0,0,3,0,0,1,230,2,6,10,4,1,0.1,0.1,86,0,y
Nicolas Benezet,COL,M,5400,117,0,0,2,0,7,4,60,3,4,3,0,0,0.1,0.3,65,23.4,y
Nicolas Mezquida,COL,M/F,9400,144,1,1,7,4,3,5,79,3,2,2,0,0,0.9,0.6,,25.2,
Sam Vines,COL,D,4600,450,0,1,1,0,9,3,210,5,2,4,3,0,0,0.3,90,,y
William Yarbrough,COL,GK,5400,360,0,0,0,0,0,0,97,0,0,0,0,0,0,0,90,0,
Younes Namli,COL,M,7000,281,0,0,7,1,4,4,109,3,3,0,3,0,0.4,0.1,70.25,0,y
Alex Roldan,SEA,M,3400,197,0,0,2,0,2,0,75,3,3,0,2,0,0.1,0,90,15.33333333,
Brad Smith,SEA,D,3800,84,0,0,1,0,4,1,38,0,1,0,0,0,0.1,0.1,57,6.75,
Cristian Roldan,SEA,M,6200,450,0,1,5,0,9,6,174,3,7,10,5,0,1.2,1.2,90,,y
Gustav Svensson,SEA,M,3400,90,0,0,0,0,1,1,76,1,3,1,1,0,0,0.1,90,0,y
Joao Paulo Mior,SEA,M,6600,428,0,0,7,1,6,4,322,3,12,8,8,1,0.2,0.3,85.6,,y
Joevin Jones,SEA,M,5000,18,0,0,0,0,0,0,13,2,0,0,0,0,0,0,,3.6,
Jordan Morris,SEA,F,7800,442,1,0,5,2,11,4,147,3,2,2,1,0,1.1,0.2,88.4,,y
Jordy Delem,SEA,M,3600,266,0,0,2,0,0,0,97,5,4,4,3,1,0.1,0,79,0,
Joshua Atencio,SEA,M,3000,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,,0.8,
Kelvin Leerdam,SEA,D,4400,319,0,0,4,0,7,1,161,0,3,1,1,0,0.5,0,79.5,1,y
Miguel Ibarra,SEA,M,3000,19,0,0,1,0,0,0,8,0,0,0,0,0,0,0,,3.8,
Nicolas Lodeiro,SEA,M/F,12000,450,2,1,9,5,29,13,290,20,3,2,4,1,0.8,2.1,90,,y
Nouhou Tolo,SEA,D,5200,387,0,1,1,0,6,4,223,4,5,5,7,0,0,0.6,88.5,33,y
Raul Ruidiaz,SEA,F,9200,90,1,1,3,2,3,1,17,1,0,0,0,0,0.5,0.2,90,0,y
Roman Torres,SEA,D,3200,30,0,0,0,0,0,0,27,0,0,0,1,0,0,0,,6,
Shandon Hopeau,SEA,F,3600,12,0,0,0,0,0,0,7,0,0,0,0,0,0,0,,2.4,
Shane O'Neill,SEA,D,3000,354,0,0,1,0,2,2,186,1,3,3,2,1,0.1,0.2,88.5,0,y
Stefan Frei,SEA,GK,6000,450,0,0,0,0,0,0,147,0,0,0,0,0,0,0,90,,
Will Bruin,SEA,F,5600,320,1,0,6,2,2,2,42,7,2,3,1,0,1.7,0.3,80,0,
Xavier Arreaga,SEA,D,3600,90,0,0,0,0,0,0,75,2,0,1,0,0,0,0,90,0,
Yeimar Gomez Andrade,SEA,D,4200,450,1,0,8,2,0,0,279,4,4,2,6,1,0.7,0,90,,y
