,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Nicolas Lodeiro,SEA,M/F,12000,5,2,1,9,5,29,13,290,20,3,2,4,1,15.12,20.02,0.16,1.5376666666666665,0.1040537611099068,0.13810041071475185,2.1,4.9,0.42857142857142855,1.812567890631118,12.866980665160362,4.452615483423191,43.0,0.20930232558139536,2.693088976428913,0.5555555555555556,1.4961605424605073,36.0,0.3611111111111111,3.890017410397319,44.19,1.327202488806563,29.755678380220967,90.0,0.0,y,Nicolas Lodeiro
1,Cristian Roldan,SEA,M,6200,5,0,1,5,0,9,6,174,3,7,10,5,0,6.556,7.756,0.24,1.5376666666666665,0.1560806416648602,0.20715061607212779,1.2,4.9,0.24489795918367344,1.0357530803606387,12.866980665160362,4.452615483423191,43.0,0.11627906976744186,1.4961605424605071,0.0,0.0,36.0,0.16666666666666666,1.7953926509526088,44.19,1.327202488806563,15.933577836298225,90.0,0.0,y,Cristian Roldan
2,Diego Rubio,COL,F,8000,2,0,1,4,1,2,3,50,6,2,3,1,0,9.45,12.45,0.26666666666666666,1.198759259259259,0.22245222683947913,0.2913628014285347,0.8,4.0,0.2,0.8740884042856041,11.207065326684484,4.761451448392655,45.0,0.08888888888888889,0.9961835845941764,0.25,0.2490458961485441,39.0,0.07692307692307693,0.7471376884456323,33.33,1.3097769600606481,14.994970053631768,80.0,0.0,y,Diego Rubio
3,Andre Shinyashiki,COL,F,7600,3,3,0,11,6,6,4,106,5,7,5,1,1,11.44,20.939999999999998,0.49583333333333335,1.198759259259259,0.41362210927965654,0.5417527089061818,0.1,4.0,0.025,0.10926105053570051,11.207065326684484,4.761451448392655,45.0,0.24444444444444444,2.739504857633985,0.5454545454545454,1.4942753768912644,39.0,0.10256410256410256,0.9961835845941763,33.33,1.3097769600606481,14.750557211395446,78.75,30.0,y,Andre Shinyashiki
4,Keegan Rosenberry,COL,D,4800,4,0,0,7,2,8,5,237,1,5,11,7,0,9.335,9.335,0.06399999999999999,1.198759259259259,0.053388534441474976,0.06992707234284831,0.6,4.0,0.15,0.655566303214203,11.207065326684484,4.761451448392655,45.0,0.15555555555555556,1.7433212730398087,0.2857142857142857,0.49809179229708817,39.0,0.1282051282051282,1.2452294807427202,33.33,1.3097769600606481,13.098511088793316,76.8,0.0,y,Keegan Rosenberry
5,Jack Price,COL,M,7200,4,0,1,2,1,6,10,360,4,3,7,6,1,9.225,10.35,0.02411111111111111,1.198759259259259,0.020113388843402902,0.02634405329583001,0.6,4.0,0.15,0.655566303214203,11.207065326684484,4.761451448392655,45.0,0.044444444444444446,0.4980917922970882,0.5,0.2490458961485441,39.0,0.2564102564102564,2.4904589614854404,33.33,1.3097769600606481,12.835323891063478,86.8,0.0,y,Jack Price
6,Cole Bassett,COL,M,8400,4,2,1,8,2,8,4,169,2,3,5,2,0,7.37,13.870000000000001,0.13999999999999999,1.198759259259259,0.11678741909072653,0.15296547074998068,0.5,4.0,0.125,0.5463052526785025,11.207065326684484,4.761451448392655,45.0,0.17777777777777778,1.9923671691883529,0.25,0.4980917922970882,39.0,0.10256410256410256,0.9961835845941763,33.33,1.3097769600606481,11.90612876965044,84.0,0.0,y,Cole Bassett
7,Nicolas Benezet,COL,M,5400,1,0,0,2,0,7,4,60,3,4,3,0,0,16.099999999999998,16.099999999999998,0.07222222222222223,1.198759259259259,0.060247478102358934,0.07891075872022815,0.3,4.0,0.075,0.3277831516071015,11.207065326684484,4.761451448392655,45.0,0.044444444444444446,0.4980917922970882,0.0,0.0,39.0,0.10256410256410256,0.9961835845941763,33.33,1.3097769600606481,11.544526318180598,65.0,23.4,y,Nicolas Benezet
8,Raul Ruidiaz,SEA,F,9200,1,1,1,3,2,3,1,17,1,0,0,0,0,9.44,25.44,0.5,1.5376666666666665,0.32516800346845876,0.4315637834835996,0.2,4.9,0.04081632653061224,0.17262551339343982,12.866980665160362,4.452615483423191,43.0,0.06976744186046512,0.8976963254763043,0.6666666666666666,0.5984642169842028,36.0,0.027777777777777776,0.29923210849210147,44.19,1.327202488806563,10.586783566149244,90.0,0.0,y,Raul Ruidiaz
9,Jordan Morris,SEA,F,7800,4,1,0,5,2,11,4,147,3,2,2,1,0,6.535,9.035,0.27011111111111114,1.5376666666666665,0.17566298142929407,0.23314034614414014,0.2,4.9,0.04081632653061224,0.17262551339343982,12.866980665160362,4.452615483423191,43.0,0.11627906976744186,1.4961605424605071,0.4,0.5984642169842028,36.0,0.1111111111111111,1.1969284339684059,44.19,1.327202488806563,10.376420846326267,88.4,0.0,y,Jordan Morris
10,Joao Paulo Mior,SEA,M,6600,4,0,0,7,1,6,4,322,3,12,8,8,1,7.91,7.535,0.04755555555555555,1.5376666666666665,0.03092709010766674,0.041046510962440136,0.3,4.9,0.06122448979591836,0.2589382700901597,12.866980665160362,4.452615483423191,43.0,0.16279069767441862,2.0946247594447103,0.14285714285714285,0.29923210849210147,36.0,0.1111111111111111,1.1969284339684059,44.19,1.327202488806563,9.868168920959466,85.6,0.0,y,Joao Paulo Mior
11,Nouhou Tolo,SEA,D,5200,4,0,1,1,0,6,4,223,4,5,5,7,0,5.915,7.415,0.0,1.5376666666666665,0.0,0.0,0.6,4.9,0.12244897959183672,0.5178765401803194,12.866980665160362,4.452615483423191,43.0,0.023255813953488372,0.29923210849210147,0.0,0.0,36.0,0.1111111111111111,1.1969284339684059,44.19,1.327202488806563,9.190669783542424,88.5,33.0,y,Nouhou Tolo
12,Auston Trusty,COL,D,3400,2,0,1,0,0,0,1,149,1,1,5,2,0,5.24,8.24,0.0,1.198759259259259,0.0,0.0,0.6,4.0,0.15,0.655566303214203,11.207065326684484,4.761451448392655,45.0,0.0,0.0,0.0,0.0,39.0,0.02564102564102564,0.24904589614854408,33.33,1.3097769600606481,8.922443715433761,90.0,12.25,y,Auston Trusty
13,Sam Vines,COL,D,4600,5,0,1,1,0,9,3,210,5,2,4,3,0,4.8,6.0,0.0,1.198759259259259,0.0,0.0,0.3,4.0,0.075,0.3277831516071015,11.207065326684484,4.761451448392655,45.0,0.022222222222222223,0.2490458961485441,0.0,0.0,39.0,0.07692307692307693,0.7471376884456323,33.33,1.3097769600606481,6.962882494236785,90.0,0.0,y,Sam Vines
14,Younes Namli,COL,M,7000,3,0,0,7,1,4,4,109,3,3,0,3,0,6.66,6.66,0.10407407407407407,1.198759259259259,0.08681816075263005,0.11371242666863646,0.1,4.0,0.025,0.10926105053570051,11.207065326684484,4.761451448392655,45.0,0.15555555555555556,1.7433212730398087,0.14285714285714285,0.24904589614854408,39.0,0.10256410256410256,0.9961835845941763,33.33,1.3097769600606481,6.857519101460875,70.25,0.0,y,Younes Namli
15,Lalas Abubakar,COL,D,3200,3,0,0,3,0,0,1,230,2,6,10,4,1,6.533333333333334,6.033333333333334,0.03185185185185185,1.198759259259259,0.02657068265027112,0.03480166794840831,0.1,4.0,0.025,0.10926105053570051,11.207065326684484,4.761451448392655,45.0,0.06666666666666667,0.7471376884456322,0.0,0.0,39.0,0.02564102564102564,0.24904589614854408,33.33,1.3097769600606481,6.4908776784035735,86.0,0.0,y,Lalas Abubakar
16,Yeimar Gomez Andrade,SEA,D,4200,5,1,0,8,2,0,0,279,4,4,2,6,1,4.516,6.215999999999999,0.13999999999999999,1.5376666666666665,0.09104704097116843,0.12083785937540785,0.0,4.9,0.0,0.0,12.866980665160362,4.452615483423191,43.0,0.18604651162790697,2.3938568679368117,0.25,0.5984642169842029,36.0,0.0,0.0,44.19,1.327202488806563,6.416699678675093,90.0,0.0,y,Yeimar Gomez Andrade
17,Kelvin Leerdam,SEA,D,4400,3,0,0,4,0,7,1,161,0,3,1,1,0,4.373333333333333,4.373333333333333,0.1472222222222222,1.5376666666666665,0.0957439121323795,0.12707155847017096,0.0,4.9,0.0,0.0,12.866980665160362,4.452615483423191,43.0,0.09302325581395349,1.1969284339684059,0.0,0.0,36.0,0.027777777777777776,0.29923210849210147,44.19,1.327202488806563,5.157765016051105,79.5,1.0,y,Kelvin Leerdam
18,Shane O'Neill,SEA,D,3000,3,0,0,1,0,2,2,186,1,3,3,2,1,3.8733333333333335,3.3733333333333335,0.032777777777777774,1.5376666666666665,0.021316569116265626,0.028291403583924856,0.2,4.9,0.04081632653061224,0.17262551339343982,12.866980665160362,4.452615483423191,43.0,0.023255813953488372,0.29923210849210147,0.0,0.0,36.0,0.05555555555555555,0.5984642169842029,44.19,1.327202488806563,4.55014121945397,88.5,0.0,y,Shane O'Neill
19,Gustav Svensson,SEA,M,3400,1,0,0,0,0,1,1,76,1,3,1,1,0,4.22,4.22,0.0,1.5376666666666665,0.0,0.0,0.1,4.9,0.02040816326530612,0.08631275669671991,12.866980665160362,4.452615483423191,43.0,0.0,0.0,0.0,0.0,36.0,0.027777777777777776,0.29923210849210147,44.19,1.327202488806563,4.037108648672421,90.0,0.0,y,Gustav Svensson
