player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Andre Shinyashiki,COL,DELETE,DELETE,345.0,3.0,0.0,11.0,6.0,6.0,4.0,106.0,5.0,7.0,5.0,1.0,1.0,1.7000000000000002,0.1,DELETE,DELETE,DELETE
Auston Trusty,COL,DELETE,DELETE,229.0,0.0,1.0,0.0,0.0,0.0,1.0,149.0,1.0,1.0,5.0,2.0,0.0,0.0,0.6,DELETE,DELETE,DELETE
Brian Galvan,COL,DELETE,DELETE,127.0,0.0,1.0,2.0,1.0,3.0,4.0,58.0,4.0,0.0,1.0,0.0,0.0,0.0,0.1,DELETE,DELETE,DELETE
Clint Irwin,COL,DELETE,DELETE,90.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Cole Bassett,COL,DELETE,DELETE,420.0,2.0,1.0,8.0,2.0,8.0,4.0,169.0,2.0,3.0,5.0,2.0,0.0,0.6,0.5,DELETE,DELETE,DELETE
Diego Rubio,COL,DELETE,DELETE,240.0,0.0,1.0,4.0,1.0,2.0,3.0,50.0,6.0,2.0,3.0,1.0,0.0,0.6,0.8,DELETE,DELETE,DELETE
Drew Moor,COL,DELETE,DELETE,113.0,0.0,0.0,0.0,0.0,0.0,2.0,84.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Jack Price,COL,DELETE,DELETE,434.0,0.0,1.0,2.0,1.0,6.0,10.0,360.0,4.0,3.0,7.0,6.0,1.0,0.1,0.6,DELETE,DELETE,DELETE
Jeremy Kelly,COL,DELETE,DELETE,69.0,0.0,0.0,1.0,0.0,0.0,1.0,63.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,DELETE,DELETE,DELETE
Jonathan Lewis,COL,DELETE,DELETE,284.0,2.0,0.0,11.0,2.0,16.0,5.0,65.0,3.0,2.0,2.0,1.0,0.0,1.2,0.30000000000000004,DELETE,DELETE,DELETE
Keegan Rosenberry,COL,DELETE,DELETE,384.0,0.0,0.0,7.0,2.0,8.0,5.0,237.0,1.0,5.0,11.0,7.0,0.0,0.30000000000000004,0.6000000000000001,DELETE,DELETE,DELETE
Kellyn Acosta,COL,DELETE,DELETE,239.0,0.0,1.0,6.0,2.0,1.0,3.0,116.0,5.0,3.0,3.0,0.0,1.0,0.6,0.4,DELETE,DELETE,DELETE
Nicolas Benezet,COL,DELETE,DELETE,117.0,0.0,0.0,2.0,0.0,7.0,4.0,60.0,3.0,4.0,3.0,0.0,0.0,0.1,0.30000000000000004,DELETE,DELETE,DELETE
Nicolas Mezquida,COL,DELETE,DELETE,144.0,1.0,1.0,7.0,4.0,3.0,5.0,79.0,3.0,2.0,2.0,0.0,0.0,0.8999999999999999,0.6,DELETE,DELETE,DELETE
Sam Vines,COL,DELETE,DELETE,450.0,0.0,1.0,1.0,0.0,9.0,3.0,210.0,5.0,2.0,4.0,3.0,0.0,0.0,0.3,DELETE,DELETE,DELETE
Younes Namli,COL,DELETE,DELETE,281.0,0.0,0.0,7.0,1.0,4.0,4.0,109.0,3.0,3.0,0.0,3.0,0.0,0.4,0.1,DELETE,DELETE,DELETE
Danny Wilson,COL,DELETE,DELETE,237.0,0.0,0.0,1.0,1.0,0.0,0.0,115.0,1.0,3.0,7.0,5.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Lalas Abubakar,COL,DELETE,DELETE,344.0,0.0,0.0,3.0,0.0,0.0,1.0,230.0,2.0,6.0,10.0,4.0,1.0,0.1,0.1,DELETE,DELETE,DELETE
William Yarbrough,COL,DELETE,DELETE,360.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Collen Warner,COL,DELETE,DELETE,43.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
