Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Andros Townsend,CRY,M/F,10000,431,0,1,3,2,13,7,95,11,10,8,7,0,0.1,0.7,86.2,,y
Cheikhou Kouyate,CRY,D,4200,450,1,0,2,1,0,0,144,4,5,3,4,0,0.3,0,90,,y
Christian Benteke,CRY,F,8400,19,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,3.8,
Eberechi Eze,CRY,M/F,7800,205,0,0,5,1,2,2,85,11,3,0,3,0,0.5,0.1,82,13.66666667,y
Gary Cahill,CRY,D,4000,90,0,0,0,0,0,0,24,1,0,1,0,0,0,0,90,0,
Jairo Riedewald,CRY,D,4800,286,1,0,1,1,0,2,93,1,2,3,2,0,0.4,0.1,88,11,y
James McArthur,CRY,M,4600,248,0,0,1,0,2,3,94,1,5,3,1,2,0,0.1,82.66666667,0,y
James McCarthy,CRY,M,4600,156,0,0,1,0,0,1,49,1,0,2,2,0,0,0,78,0,
Jeffrey Schlupp,CRY,M,6000,226,0,0,2,1,5,1,63,2,2,2,0,0,0.1,0.1,75.33333333,0,
Joel Ward,CRY,D,4400,270,0,0,0,0,2,0,86,2,6,4,2,1,0,0,90,0,
Jordan Ayew,CRY,F,7600,190,0,0,0,0,3,0,44,5,3,1,3,0,0,0,85.5,6.333333333,y
Luka Milivojevic,CRY,M,5000,207,0,0,2,0,1,1,127,5,1,1,2,0,0.2,0.1,87.5,10.66666667,
Mamadou Sakho,CRY,D,3800,186,0,0,1,0,0,0,57,1,2,2,0,0,0,0,90,2,
Michy Batshuayi,CRY,F,7000,271,0,1,4,2,1,1,27,5,3,2,2,0,0.4,0.8,85,8,
Nathaniel Clyne,CRY,D,3800,161,0,0,1,0,1,1,79,1,0,0,2,0,0,0.1,80.5,0,y
Patrick van Aanholt,CRY,D,6400,109,0,0,2,1,3,1,67,1,2,0,0,1,0.1,0.1,90,19,y
Scott Dann,CRY,D,3600,180,0,0,1,0,0,0,88,1,0,2,0,0,0.2,0,90,0,y
Tyrick Mitchell,CRY,D,4800,360,0,0,1,1,4,0,115,1,5,5,4,1,0.1,0,90,0,
Vicente Guaita,CRY,GK,5400,450,0,0,0,0,0,0,71,0,0,0,0,2,0,0,90,,
Wilfried Zaha,CRY,M/F,10600,450,2,1,10,3,10,6,89,13,7,3,2,2,2.5,1,90,,y
Ezgjan Alioski,LEE,D,5000,146,0,0,4,1,4,3,64,3,1,1,1,0,0.2,0.4,67.5,3.666666667,y
Helder Costa,LEE,M/F,7400,397,0,1,6,1,5,7,112,7,6,6,2,0,0.3,0.6,79.4,,y
Ian Carlo Poveda,LEE,F,5600,135,0,0,3,1,2,1,31,4,3,5,0,0,0.2,0.1,,27,
Illan Meslier,LEE,GK,5800,450,0,0,0,0,0,0,149,2,0,0,0,0,0,0,90,,
Jack Harrison,LEE,M,9200,351,0,2,4,1,20,17,131,2,3,7,2,0,0.2,2.6,87.75,0,y
Jamie Shackleton,LEE,M,4400,115,0,0,0,0,1,1,30,1,1,2,1,0,0,0.1,45,0,
Kalvin Phillips,LEE,M,8600,270,0,0,1,1,6,5,153,5,4,5,1,2,0,0.3,90,0,
Leif Davis,LEE,D,4000,14,0,0,0,0,0,0,5,0,1,0,0,0,0,0,,2.8,
Liam Cooper,LEE,D,4000,270,0,0,1,0,0,0,197,6,1,6,1,0,0.1,0,90,0,y
Luke Ayling,LEE,D,6200,450,0,0,4,2,14,8,296,10,2,8,1,1,0.2,1.2,90,,y
Mateusz Klich,LEE,M,7200,436,0,1,5,3,9,10,258,3,8,9,6,1,0.2,0.6,87.2,,y
Pablo Hernandez,LEE,M,8000,94,0,0,5,0,3,1,84,0,0,0,0,0,0.8,0,66,7,
Pascal Struijk,LEE,D,3400,94,0,0,0,0,0,0,59,0,1,0,2,1,0,0,74,0,y
Patrick Bamford,LEE,F,9400,450,4,0,24,11,1,2,42,1,6,4,2,1,4.2,0.2,90,,y
Raphael Dias Belloli,LEE,M/F,9000,17,0,0,1,0,3,0,12,1,0,0,0,0,0.1,0,,3.4,
Robin Koch,LEE,D,4600,450,0,0,2,1,0,0,299,1,7,5,3,0,0.3,0,90,,y
Rodrigo,LEE,M/F,6800,247,1,0,14,5,6,6,94,3,5,3,0,0,2,0.5,84,26.33333333,
Stuart Dallas,LEE,D,6600,440,1,0,7,5,9,3,297,7,5,11,4,2,0.8,0.2,88,,y
Tyler Roberts,LEE,M/F,4800,124,0,0,1,0,1,1,26,1,1,0,0,0,0,0.3,50,8,
