,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Wilfried Zaha,CRY,M/F,10600,5.0,2,1,10,3,10,6,89,13,7,3,2,2,8.256,12.856,0.5,1.0856457304163727,0.4605553966561793,0.724850231551025,0.2,0.5766713714433578,0.3468179797089937,0.28994009262041004,11.092893797106177,3.641670222195348,26.0,0.38461538461538464,4.266497614271606,0.3,1.279949284281482,22.0,0.2727272727272727,2.5598985685629634,33.33,1.573861118149379,20.950488338348766,90.0,0.0,y,Wilfried Zaha
1,Patrick Bamford,LEE,F,9400,5.0,4,0,24,11,1,2,42,1,6,4,2,1,8.308000000000002,16.008000000000003,0.8400000000000001,1.375799086757991,0.6105542648523067,1.0110220518143547,0.04,1.3949315068493153,0.02867524305214573,0.048143907229254976,10.840630985802292,4.757706941185742,57.0,0.42105263157894735,4.564476204548333,0.4583333333333333,2.0920515937513193,50.0,0.04,0.38037301704569443,39.62,1.655908589974261,18.043984776864423,90.0,0.0,y,Patrick Bamford
2,Jack Harrison,LEE,M,9200,3.9,0,2,4,1,20,17,131,2,3,7,2,0,12.082051282051282,15.158974358974358,0.05,1.375799086757991,0.036342515765018256,0.06017988403656873,0.65,1.3949315068493153,0.4659726995973681,0.7823384924753934,10.840630985802292,4.757706941185742,57.0,0.07017543859649122,0.7607460340913889,0.25,0.19018650852284721,50.0,0.34,3.233170644888403,39.62,1.655908589974261,15.759932982720688,87.75,0.0,y,Jack Harrison
3,Andros Townsend,CRY,M/F,10000,4.788888888888889,0,1,3,2,13,7,95,11,10,8,7,0,8.45707656612529,9.709976798143853,0.020000000000000004,1.0856457304163727,0.018422215866247173,0.028994009262041005,0.14,0.5766713714433578,0.24277258579629557,0.20295806483428702,11.092893797106177,3.641670222195348,26.0,0.11538461538461539,1.279949284281482,0.6666666666666666,0.8532995228543212,22.0,0.3181818181818182,2.9865483299901245,33.33,1.573861118149379,12.32748561875206,86.2,0.0,y,Andros Townsend
4,Eberechi Eze,CRY,M/F,7800,2.2777777777777777,0,0,5,1,2,2,85,11,3,0,3,0,9.702439024390245,9.702439024390245,0.19999999999999998,1.0856457304163727,0.18422215866247169,0.28994009262041,0.04,0.5766713714433578,0.06936359594179874,0.05798801852408201,11.092893797106177,3.641670222195348,26.0,0.19230769230769232,2.133248807135803,0.2,0.42664976142716066,22.0,0.09090909090909091,0.8532995228543213,33.33,1.573861118149379,12.300527128765879,82.0,13.66666667,y,Eberechi Eze
5,Luke Ayling,LEE,D,6200,5.0,0,0,4,2,14,8,296,10,2,8,1,1,9.443999999999999,9.144,0.04,1.375799086757991,0.029074012612014602,0.048143907229254976,0.24,1.3949315068493153,0.17205145831287436,0.2888634433755298,10.840630985802292,4.757706941185742,57.0,0.07017543859649122,0.7607460340913889,0.5,0.38037301704569443,50.0,0.16,1.5214920681827777,39.62,1.655908589974261,11.221230851865588,90.0,0.0,y,Luke Ayling
6,Stuart Dallas,LEE,D,6600,4.888888888888889,1,0,7,5,9,3,297,7,5,11,4,2,9.151363636363635,10.583181818181817,0.16,1.375799086757991,0.11629605044805841,0.1925756289170199,0.04,1.3949315068493153,0.02867524305214573,0.048143907229254976,10.840630985802292,4.757706941185742,57.0,0.12280701754385964,1.3313055596599306,0.7142857142857143,0.9509325426142361,50.0,0.06,0.5705595255685416,39.62,1.655908589974261,10.415417360388437,88.0,0.0,y,Stuart Dallas
7,Mateusz Klich,LEE,M,7200,4.844444444444444,0,1,5,3,9,10,258,3,8,9,6,1,8.351834862385322,9.280733944954129,0.04,1.375799086757991,0.029074012612014602,0.048143907229254976,0.12000000000000001,1.3949315068493153,0.08602572915643719,0.14443172168776494,10.840630985802292,4.757706941185742,57.0,0.08771929824561403,0.9509325426142361,0.6,0.5705595255685416,50.0,0.2,1.9018650852284722,39.62,1.655908589974261,8.96338655583039,87.2,0.0,y,Mateusz Klich
8,Ezgjan Alioski,LEE,D,5000,1.6222222222222222,0,0,4,1,4,3,64,3,1,1,1,0,9.912328767123286,9.912328767123286,0.09246575342465754,1.375799086757991,0.06720876203119815,0.11129156636899697,0.18493150684931509,1.3949315068493153,0.13257389767259156,0.22258313273799393,10.840630985802292,4.757706941185742,57.0,0.07017543859649122,0.7607460340913889,0.25,0.19018650852284721,50.0,0.06,0.5705595255685416,39.62,1.655908589974261,7.705522966656876,67.5,3.666666667,y,Ezgjan Alioski
9,Helder Costa,LEE,M/F,7400,4.411111111111111,0,1,6,1,5,7,112,7,6,6,2,0,6.968765743073048,8.32896725440806,0.05999999999999999,1.375799086757991,0.043611018918021896,0.07221586084388246,0.11999999999999998,1.3949315068493153,0.08602572915643716,0.1444317216877649,10.840630985802292,4.757706941185742,57.0,0.10526315789473684,1.1411190511370832,0.16666666666666666,0.1901865085228472,50.0,0.14,1.3313055596599306,39.62,1.655908589974261,7.599360057885276,79.4,0.0,y,Helder Costa
