Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Andres Ricaurte,DAL,M,8400,408,0,0,5,1,8,15,268,16,8,4,2,0,0.2,1.1,81.6,,y
Brandon Servania,DAL,M,3400,43,0,0,0,0,0,0,18,0,1,1,0,0,0,0,,8.6,
Bressan,DAL,D,4000,328,0,0,1,0,1,0,221,1,3,6,0,2,0.1,0,90,29,y
Bryan Acosta,DAL,M,6000,304,0,0,11,4,3,7,163,4,8,3,0,1,0.5,0.7,76,0,
Bryan Reynolds,DAL,D,5200,450,0,1,1,0,13,4,214,6,6,4,0,1,0,0.4,90,,y
Dante Sealy,DAL,F,6800,41,0,0,2,0,2,1,19,3,2,1,0,0,0.2,0.1,,8.2,
Ema Twumasi,DAL,M,3600,9,0,0,0,0,0,1,6,0,0,1,0,0,0,0,,1.8,
Fafa Picault,DAL,M,7400,361,0,1,11,2,16,5,100,7,2,2,0,0,1.1,0.6,79,45,y
Franco Jara,DAL,F,8600,401,0,0,11,5,3,3,57,7,8,5,0,1,2,0,80.2,,y
Jesus Ferreira,DAL,F,4600,175,0,0,4,1,1,2,56,1,2,2,2,1,0.4,0.2,63.5,16,y
Jimmy Maurer,DAL,GK,6200,450,0,0,0,0,0,0,111,1,0,0,0,0,0,0,90,,
John Nelson,DAL,D,4200,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0.6,
Matt Hedges,DAL,D,3200,143,0,0,1,0,0,0,86,1,0,3,2,0,0.1,0,61,7,y
Michael Barrios,DAL,M/F,9600,356,1,0,8,4,16,6,82,5,4,6,0,2,1.2,0.8,89,0,y
Reto Ziegler,DAL,D,6400,442,1,0,0,0,2,5,266,0,3,2,0,2,0.8,0.3,88.4,,
Ricardo Pepi,DAL,F,5600,52,0,0,1,1,0,0,12,1,0,0,0,0,0.1,0,,10.4,
Ryan Hollingshead,DAL,D,7000,450,1,0,15,3,9,10,223,5,5,7,10,0,1,1.2,90,,y
Tanner Tessmann,DAL,M,3400,300,0,0,4,1,0,3,148,2,1,1,3,0,0.1,0.3,81.66666667,27.5,
Thiago dos Santos,DAL,M,3000,234,0,0,1,0,0,1,95,3,6,6,0,0,0,0,71.66666667,9.5,y
A.J. DeLaGarza,MIA,D,3200,180,0,0,0,0,0,1,77,0,2,1,1,0,0,0,90,0,
Andres Reyes,MIA,D,3000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,y
Ben Sweat,MIA,D,5000,358,0,0,3,1,7,1,154,0,6,3,5,1,0.5,0.1,87.5,8,y
Blaise Matuidi,MIA,M,5400,443,0,0,8,0,2,6,240,9,10,7,3,0,0.4,0.4,88.4,,y
Brek Shea,MIA,D,7200,196,2,0,2,2,5,0,65,1,0,2,0,0,0.2,0,86,8,
Christian Makoun,MIA,D,3000,90,0,0,0,0,0,0,18,1,0,0,0,0,0,0,90,0,
Dylan Nealis,MIA,D,4800,441,0,0,4,1,7,7,182,7,9,4,3,0,0.2,0.5,88.2,,
Federico Higuain,MIA,M,5800,13,0,0,1,0,0,0,10,1,0,0,0,0,0,0,,2.6,
Gonzalo Higuain,MIA,F,9800,352,1,0,18,8,2,5,105,1,3,1,0,0,1.8,0.3,88,0,y
Jay Chapman,MIA,M,3000,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1.4,
John McCarthy,MIA,GK,6000,450,0,0,0,0,0,0,75,0,0,0,0,1,0,0,90,,
Jorge Figal,MIA,D,4400,450,0,0,4,1,0,1,248,5,1,4,4,0,0.3,0,90,,y
Juan Agudelo,MIA,F,7600,21,0,0,0,0,0,0,5,0,1,1,0,1,0,0,,4.2,
Julian Carranza,MIA,F,6600,102,0,0,2,0,0,2,16,3,3,3,0,1,0.3,0.2,74,7,
Leandro Gonzalez Pirez,MIA,D,3800,360,1,1,3,1,2,2,177,6,5,5,4,2,0.4,0,90,0,y
Lewis Morgan,MIA,M,12000,418,1,3,13,4,31,16,111,9,4,2,2,1,1.4,2,83.6,,y
Matias Pellegrini,MIA,M/F,8000,332,1,0,9,3,4,5,85,12,4,5,2,0,0.7,0.4,80.75,9,y
Robbie Robinson,MIA,F,3600,18,0,0,0,0,0,0,7,0,0,0,0,0,0,0,,3.6,
Rodolfo Pizarro,MIA,M,9000,90,0,0,5,0,3,1,32,2,1,2,0,1,0.2,0.1,90,0,y
Victor Ulloa,MIA,M,3800,209,0,0,1,0,1,2,71,3,7,4,2,0,0.1,0.1,83.5,14,
Wil Trapp,MIA,M,3200,420,0,0,2,0,1,2,243,4,5,9,3,1,0,0,84,,y
