Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
Lewis Morgan,MIA,M,12000,4.644444444,1,3,13,4,31,16,111,9,4,2,2,1,14.40861244,20.11435407,1.4,5.7,0.245614035,0.289653889,2,3.3,0.606060606,0.413791269,11.70871033,4.024051372,65,0.2,2.341742065,0.307692308,0.72053602,39,0.41025641,2.88214408,38.46,1.179305118,17.80770867,83.6,0,y,Lewis Morgan
Ryan Hollingshead,DAL,D,7000,5,1,0,15,3,9,10,223,5,5,7,10,0,10.652,12.652,1,6.1,0.163934426,0.191075146,1.2,4.3,0.279069767,0.229290176,12.0037264,4.010733845,58,0.25862069,3.104411999,0.2,0.6208824,46,0.217391304,2.069608,38.46,1.165558394,14.13339492,90,0,y,Ryan Hollingshead
Michael Barrios,DAL,M/F,9600,3.955555556,1,0,8,4,16,6,82,5,4,6,0,2,10.07191011,11.84157303,1.2,6.1,0.196721311,0.229290176,0.8,4.3,0.186046512,0.152860117,12.0037264,4.010733845,58,0.137931034,1.6556864,0.5,0.8278432,46,0.130434783,1.2417648,38.46,1.165558394,11.64535686,89,0,y,Michael Barrios
Andres Ricaurte,DAL,M,8400,4.533333333,0,0,5,1,8,15,268,16,8,4,2,0,10.8,10.8,0.2,6.1,0.032786885,0.038215029,1.1,4.3,0.255813953,0.210182661,12.0037264,4.010733845,58,0.086206897,1.034804,0.2,0.2069608,46,0.326086957,3.104411999,38.46,1.165558394,11.58142306,81.6,0,y,Andres Ricaurte
Fafa Picault,DAL,M,7400,4.011111111,0,1,11,2,16,5,100,7,2,2,0,0,9.772853186,11.26869806,1.1,6.1,0.180327869,0.210182661,0.6,4.3,0.139534884,0.114645088,12.0037264,4.010733845,58,0.189655172,2.276568799,0.181818182,0.4139216,46,0.108695652,1.034804,38.46,1.165558394,11.15432672,79,45,y,Fafa Picault
Gonzalo Higuain,MIA,F,9800,3.911111111,1,0,18,8,2,5,105,1,3,1,0,0,8.948863636,11.50568182,1.8,5.7,0.315789474,0.372412143,0.3,3.3,0.090909091,0.06206869,11.70871033,4.024051372,65,0.276923077,3.24241209,0.444444444,1.44107204,39,0.128205128,0.900670025,38.46,1.179305118,10.68068772,88,0,y,Gonzalo Higuain
Matias Pellegrini,MIA,M/F,8000,3.688888889,1,0,9,3,4,5,85,12,4,5,2,0,10.16566265,12.87650602,0.7,5.7,0.122807018,0.144826944,0.4,3.3,0.121212121,0.082758254,11.70871033,4.024051372,65,0.138461538,1.621206045,0.333333333,0.540402015,39,0.128205128,0.900670025,38.46,1.179305118,9.993166329,80.75,9,y,Matias Pellegrini
Franco Jara,DAL,F,8600,4.455555556,0,0,11,5,3,3,57,7,8,5,0,1,6.787032419,6.450374065,2,6.1,0.327868852,0.382150293,0,4.3,0,0,12.0037264,4.010733845,58,0.189655172,2.276568799,0.454545455,1.034804,46,0.065217391,0.6208824,38.46,1.165558394,9.701758129,80.2,0,y,Franco Jara
Blaise Matuidi,MIA,M,5400,4.922222222,0,0,8,0,2,6,240,9,10,7,3,0,6.643340858,6.643340858,0.4,5.7,0.070175439,0.082758254,0.4,3.3,0.121212121,0.082758254,11.70871033,4.024051372,65,0.123076923,1.44107204,0,0,39,0.153846154,1.08080403,38.46,1.179305118,7.577565695,88.4,0,y,Blaise Matuidi
Rodolfo Pizarro,MIA,M,9000,1,0,0,5,0,3,1,32,2,1,2,0,1,12.24,10.74,0.2,5.7,0.035087719,0.041379127,0.1,3.3,0.03030303,0.020689563,11.70871033,4.024051372,65,0.076923077,0.900670025,0,0,39,0.025641026,0.180134005,38.46,1.179305118,6.35873268,90,0,y,Rodolfo Pizarro
Bryan Reynolds,DAL,D,5200,5,0,1,1,0,13,4,214,6,6,4,0,1,5.076,5.976,0,6.1,0,0,0.4,4.3,0.093023256,0.076430059,12.0037264,4.010733845,58,0.017241379,0.2069608,0,0,46,0.086956522,0.8278432,38.46,1.165558394,5.269384351,90,0,y,Bryan Reynolds
Leandro Gonzalez Pirez,MIA,D,3800,4,1,1,3,1,2,2,177,6,5,5,4,2,5.36,8.61,0.4,5.7,0.070175439,0.082758254,0,3.3,0,0,11.70871033,4.024051372,65,0.046153846,0.540402015,0.333333333,0.180134005,39,0.051282051,0.36026801,38.46,1.179305118,5.018386569,90,0,y,Leandro Gonzalez Pirez
Jorge Figal,MIA,D,4400,5,0,0,4,1,0,1,248,5,1,4,4,0,4.292,4.292,0.3,5.7,0.052631579,0.06206869,0,3.3,0,0,11.70871033,4.024051372,65,0.061538462,0.72053602,0.25,0.180134005,39,0.025641026,0.180134005,38.46,1.179305118,4.793490934,90,0,y,Jorge Figal
Ben Sweat,MIA,D,5000,3.977777778,0,0,3,1,7,1,154,0,6,3,5,1,3.891620112,3.51452514,0.5,5.7,0.087719298,0.103447817,0.1,3.3,0.03030303,0.020689563,11.70871033,4.024051372,65,0.046153846,0.540402015,0.333333333,0.180134005,39,0.025641026,0.180134005,38.46,1.179305118,4.254117982,87.5,8,y,Ben Sweat
Wil Trapp,MIA,M,3200,4.666666667,0,0,2,0,1,2,243,4,5,9,3,1,4.62,4.298571429,0,5.7,0,0,0,3.3,0,0,11.70871033,4.024051372,65,0.030769231,0.36026801,0,0,39,0.051282051,0.36026801,38.46,1.179305118,3.93253602,84,0,y,Wil Trapp
Jesus Ferreira,DAL,F,4600,1.944444444,0,0,4,1,1,2,56,1,2,2,2,1,6.078857143,5.307428571,0.4,6.1,0.06557377,0.076430059,0.2,4.3,0.046511628,0.038215029,12.0037264,4.010733845,58,0.068965517,0.8278432,0.25,0.2069608,46,0.043478261,0.4139216,38.46,1.165558394,3.647002076,63.5,16,y,Jesus Ferreira
Matt Hedges,DAL,D,3200,1.588888889,0,0,1,0,0,0,86,1,0,3,2,0,4.858741259,4.858741259,0.1,6.1,0.016393443,0.019107515,0,4.3,0,0,12.0037264,4.010733845,58,0.017241379,0.2069608,0,0,46,0,0,38.46,1.165558394,3.264609373,61,7,y,Matt Hedges
Thiago dos Santos,DAL,M,3000,2.6,0,0,1,0,0,1,95,3,6,6,0,0,3.807692308,3.807692308,0,6.1,0,0,0,4.3,0,0,12.0037264,4.010733845,58,0.017241379,0.2069608,0,0,46,0.02173913,0.2069608,38.46,1.165558394,2.83343727,71.66666667,9.5,y,Thiago dos Santos
Bressan,DAL,D,4000,3.644444444,0,0,1,0,1,0,221,1,3,6,0,2,3.188414634,2.365243902,0.1,6.1,0.016393443,0.019107515,0,4.3,0,0,12.0037264,4.010733845,58,0.017241379,0.2069608,0,0,46,0,0,38.46,1.165558394,2.488889605,90,29,y,Bressan
Andres Reyes,MIA,D,3000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,#NAME?,0,5.7,0,0,0,3.3,0,0,11.70871033,4.024051372,65,0,0,0,0,39,0,0,38.46,1.179305118,#NAME?,90,0,y,Andres Reyes
