player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Adama Traore,DAL,DELETE,DELETE,209.0,0.0,0.0,0.0,0.0,14.0,5.0,50.0,5.0,1.0,1.0,0.0,0.0,0.0,0.5,DELETE,DELETE,DELETE
Conor Coady,DAL,DELETE,DELETE,450.0,0.0,0.0,0.0,0.0,0.0,1.0,231.0,1.0,5.0,2.0,4.0,1.0,0.0,0.1,DELETE,DELETE,DELETE
Daniel Podence,DAL,DELETE,DELETE,291.0,0.0,1.0,7.0,3.0,4.0,5.0,77.0,3.0,3.0,3.0,0.0,0.0,0.8,0.30000000000000004,DELETE,DELETE,DELETE
Fabio Silva,DAL,DELETE,DELETE,42.0,0.0,0.0,2.0,0.0,0.0,1.0,18.0,1.0,0.0,0.0,1.0,0.0,0.1,0.0,DELETE,DELETE,DELETE
Fernando Marcal,DAL,DELETE,DELETE,32.0,0.0,0.0,1.0,0.0,1.0,1.0,19.0,0.0,3.0,0.0,0.0,0.0,0.0,0.1,DELETE,DELETE,DELETE
Joao Moutinho,DAL,DELETE,DELETE,258.0,0.0,0.0,2.0,0.0,2.0,3.0,135.0,3.0,3.0,6.0,2.0,1.0,0.0,0.4,DELETE,DELETE,DELETE
Leander Dendoncker,DAL,DELETE,DELETE,283.0,0.0,0.0,2.0,1.0,1.0,5.0,115.0,1.0,7.0,4.0,1.0,0.0,0.1,0.2,DELETE,DELETE,DELETE
Pedro Neto,DAL,DELETE,DELETE,426.0,1.0,0.0,12.0,2.0,11.0,6.0,167.0,7.0,9.0,6.0,3.0,0.0,0.6000000000000001,0.2,DELETE,DELETE,DELETE
Raul Jimenez,DAL,DELETE,DELETE,450.0,3.0,0.0,16.0,6.0,1.0,3.0,104.0,7.0,2.0,4.0,2.0,0.0,1.2,0.30000000000000004,DELETE,DELETE,DELETE
Romain Saiss,DAL,DELETE,DELETE,427.0,0.0,0.0,1.0,0.0,8.0,1.0,224.0,4.0,5.0,6.0,4.0,0.0,0.0,0.1,DELETE,DELETE,DELETE
Ruben Neves,DAL,DELETE,DELETE,361.0,0.0,0.0,11.0,2.0,1.0,4.0,278.0,3.0,4.0,9.0,2.0,1.0,0.5,0.2,DELETE,DELETE,DELETE
Ruben Vinagre,DAL,DELETE,DELETE,173.0,0.0,0.0,0.0,0.0,4.0,0.0,82.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Rui Patricio,DAL,DELETE,DELETE,450.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Willy Boly,DAL,DELETE,DELETE,450.0,0.0,0.0,2.0,0.0,0.0,0.0,211.0,2.0,3.0,6.0,3.0,0.0,0.1,0.0,DELETE,DELETE,DELETE
Ki-Jana Hoever,DAL,DELETE,DELETE,31.0,0.0,0.0,0.0,0.0,2.0,1.0,19.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Nelson Semedo,DAL,DELETE,DELETE,329.0,0.0,0.0,2.0,1.0,5.0,2.0,182.0,4.0,5.0,2.0,6.0,0.0,0.4,0.1,DELETE,DELETE,DELETE
Vitinha,DAL,DELETE,DELETE,18.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Max Kilman,DAL,DELETE,DELETE,270.0,0.0,1.0,0.0,0.0,0.0,2.0,156.0,0.0,3.0,2.0,4.0,0.0,0.0,0.4,DELETE,DELETE,DELETE
Andros Townsend,MIA,DELETE,DELETE,450.0,1.0,1.0,4.0,1.0,16.0,8.0,90.0,10.0,12.0,10.0,8.0,0.0,0.2,0.8999999999999999,DELETE,DELETE,DELETE
Cheikhou Kouyate,MIA,DELETE,DELETE,450.0,1.0,0.0,2.0,1.0,0.0,0.0,94.0,1.0,5.0,4.0,4.0,0.0,0.3,0.0,DELETE,DELETE,DELETE
Eberechi Eze,MIA,DELETE,DELETE,195.0,0.0,0.0,5.0,1.0,2.0,2.0,72.0,10.0,3.0,2.0,4.0,0.0,0.5,0.1,DELETE,DELETE,DELETE
James McArthur,MIA,DELETE,DELETE,338.0,0.0,0.0,1.0,0.0,2.0,3.0,112.0,3.0,6.0,8.0,4.0,2.0,0.0,0.1,DELETE,DELETE,DELETE
James McCarthy,MIA,DELETE,DELETE,243.0,0.0,0.0,1.0,0.0,0.0,1.0,67.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Jeffrey Schlupp,MIA,DELETE,DELETE,236.0,0.0,1.0,3.0,1.0,5.0,4.0,40.0,3.0,3.0,2.0,3.0,0.0,0.2,0.30000000000000004,DELETE,DELETE,DELETE
