Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Ahmad Ngouyamsa,DIJ,D,3000,54,0,0,0,0,0,0,14,0,1,1,2,1,0,0,54,0,
Alfred Gomis,DIJ,GK,6600,360,0,0,0,0,0,0,95,1,0,0,0,0,0,0,90,,
Anibal Chala,DIJ,D,4200,349,0,0,0,0,2,3,182,3,9,2,4,0,0,0.1,82.5,19,y
Aurelien Scheidler,DIJ,F,5800,186,1,0,3,1,0,2,31,2,2,0,0,0,0.3,0.1,84.5,5.666666667,
Bersant Celina,DIJ,M,9200,221,0,2,0,0,4,4,64,1,1,2,0,1,0,0.5,72,38.5,
Bruno Ecuele Manga,DIJ,D,4000,450,1,0,3,2,0,0,194,4,2,3,4,0,0.1,0,90,,y
Didier Ibrahim Ndong,DIJ,M,3600,450,0,0,2,1,2,0,174,3,7,12,5,1,0,0,90,,y
Eric Junior Dina Ebimbe,DIJ,M,4600,417,1,0,7,3,4,2,105,12,11,6,3,2,0.7,0.2,83.4,,y
Fouad Chafik,DIJ,D,5200,450,0,0,2,0,6,4,210,5,5,8,2,1,0,0.2,90,,y
Frederic Sammaritano,DIJ,M,3800,140,0,0,0,0,4,2,57,3,0,2,1,2,0,0.1,60,20,y
Jonathan Panzo,DIJ,D,3200,385,0,0,1,0,0,0,197,2,8,4,7,2,0.1,0,87.25,36,y
Jordan Marie,DIJ,M,3000,218,0,0,0,0,1,2,62,1,2,7,3,0,0,0.1,66.75,18,b
Mama Samba Balde,DIJ,M,7400,145,0,0,7,4,0,0,18,2,3,3,0,0,0.8,0,72.5,0,y
Mihai Dobre,DIJ,M,3000,65,0,0,0,0,1,0,12,0,0,1,4,0,0,0,45,5,
Mounir Chouiar,DIJ,M/F,6400,196,0,0,5,0,2,1,51,4,4,3,2,1,0.2,0,68,20,y
Ngonda Muzinga,DIJ,D,3200,30,0,0,0,0,0,1,14,0,0,0,0,0,0,0.1,,6,
Pape Cheikh Diop,DIJ,M,3400,207,0,0,3,0,0,4,93,5,8,5,0,1,0.1,0.2,69,0,
Roger Assale,DIJ,F,7600,157,0,0,1,1,2,2,18,7,2,1,0,0,0,0.1,74,3,
Romain Amalfitano,DIJ,M,3200,70,0,0,1,0,3,1,7,0,1,1,1,0,0,0,70,0,
Saturnin Allagbe,DIJ,GK,4800,90,0,0,0,0,0,0,32,1,0,0,0,0,0,0,90,,
Wesley Lautoa,DIJ,D,3000,178,0,0,0,0,0,0,66,1,4,2,2,0,0,0,90,22,y
Wilitty Younoussa,DIJ,M,3600,17,0,0,0,0,1,2,6,1,1,0,0,0,0,0.2,,3.4,
Adrien Hunou,REN,M/F,7800,83,1,0,4,3,2,1,18,1,3,2,0,0,1.1,0.2,64,4.75,
Adrien Truffert,REN,D,3400,50,1,1,1,1,3,1,32,1,0,0,1,0,0.1,0.2,,9,
Benjamin Bourigeaud,REN,M,9000,350,1,2,11,2,7,4,239,1,5,2,1,2,1.1,0.3,80.75,27,y
Brandon Soppy,REN,D,4200,192,0,0,2,1,5,1,92,7,5,5,1,0,0,0,90,4,
Damien Da Silva,REN,D,3800,450,1,0,5,3,0,1,297,6,7,1,2,3,0.4,0.1,90,,
Eduardo Camavinga,REN,M,9400,395,1,0,2,1,0,6,226,8,9,8,2,2,0.2,0.2,79,,
Faitout Maouassa,REN,D,6000,220,0,1,3,1,6,4,99,5,1,7,1,1,0.1,0.5,90,0,
Flavien Tait,REN,M,10000,174,0,1,1,0,3,4,69,4,4,0,0,1,0,0.9,71,16,y
Georginio Rutter,REN,F,4400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.2,
Hamari Traore,REN,D,9600,348,0,0,2,0,6,5,195,1,4,4,3,0,0.1,0.5,87,,y
Jonas Martin,REN,M,3800,139,0,0,0,0,2,2,83,3,3,3,1,0,0,0.1,90,12.25,b
Martin Terrier,REN,M,6000,231,0,1,6,1,6,5,57,3,4,5,3,1,0.3,0.6,77,0,y
Nayef Aguerd,REN,D,3000,450,2,0,6,2,0,0,353,7,2,2,1,1,0.7,0,90,,y
Romain Del Castillo,REN,M,8600,144,0,2,4,3,4,4,62,1,1,2,2,0,0.3,0.7,69,18.75,y
Romain Salin,REN,GK,6800,450,0,0,0,0,0,0,159,0,0,0,0,1,0,0,90,,
Sacha Boey,REN,D,4000,90,0,0,1,0,2,1,64,0,0,4,1,0,0.1,0.1,90,0,
Sehrou Guirassy,REN,F,11400,367,3,1,11,4,1,5,80,11,6,2,1,0,1.9,0.5,85.25,26,y
Steven Nzonzi,REN,M,8800,450,1,0,2,1,2,2,356,3,7,2,0,3,0.4,0.4,90,,
Yann Gboho,REN,M,3200,7,0,0,0,0,1,1,3,1,2,1,0,0,0,0.1,,1.4,
