,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Sehrou Guirassy,REN,F,11400,4.0777777777777775,3,1,11,4,1,5,80,11,6,2,1,0,8.043596730245232,16.871934604904634,1.9,4.4,0.43181818181818177,0.8506818181818182,0.5,3.5999999999999996,0.1388888888888889,0.22386363636363635,14.570701773094576,4.929351994858582,41.0,0.2682926829268293,3.9092126708302524,0.36363636363636365,1.42153188030191,29.0,0.1724137931034483,1.7769148503773875,55.17,1.9700000000000002,19.930956404234344,85.25,26.0,y,Sehrou Guirassy
1,Benjamin Bourigeaud,REN,M,9000,3.888888888888889,1,2,11,2,7,4,239,1,5,2,1,2,7.117714285714285,12.003428571428572,1.1,4.4,0.25,0.49250000000000005,0.3,3.5999999999999996,0.08333333333333334,0.1343181818181818,14.570701773094576,4.929351994858582,41.0,0.2682926829268293,3.9092126708302524,0.18181818181818182,0.710765940150955,29.0,0.13793103448275862,1.42153188030191,55.17,1.9700000000000002,13.544305296477923,80.75,27.0,y,Benjamin Bourigeaud
2,Martin Terrier,REN,M,6000,2.566666666666667,0,1,6,1,6,5,57,3,4,5,3,1,9.677922077922076,11.43116883116883,0.3,4.4,0.06818181818181818,0.1343181818181818,0.6,3.5999999999999996,0.16666666666666669,0.2686363636363636,14.570701773094576,4.929351994858582,41.0,0.14634146341463414,2.1322978204528646,0.16666666666666666,0.3553829700754774,29.0,0.1724137931034483,1.7769148503773875,55.17,1.9700000000000002,10.99959564090573,77.0,0.0,y,Martin Terrier
3,Romain Del Castillo,REN,M,8600,1.6,0,2,4,3,4,4,62,1,1,2,2,0,11.587499999999999,19.0875,0.3,4.4,0.06818181818181818,0.1343181818181818,0.7,3.5999999999999996,0.19444444444444445,0.31340909090909086,14.570701773094576,4.929351994858582,41.0,0.0975609756097561,1.42153188030191,0.75,1.0661489102264325,29.0,0.13793103448275862,1.42153188030191,55.17,1.9700000000000002,10.745765701133282,69.0,18.75,y,Romain Del Castillo
4,Eric Junior Dina Ebimbe,DIJ,M,4600,4.633333333333334,1,0,7,3,4,2,105,12,11,6,3,2,6.669064748201439,8.179856115107913,0.7,1.9,0.3684210526315789,0.27815789473684216,0.2,0.7,0.28571428571428575,0.07947368421052635,8.467826150705022,1.6924312606082843,27.0,0.25925925925925924,2.1953623353679688,0.42857142857142855,0.940869572300558,14.0,0.14285714285714285,0.6272463815337054,20.41,0.7550000000000001,10.201899341833812,83.4,0.0,y,Eric Junior Dina Ebimbe
5,Nayef Aguerd,REN,D,3000,5.0,2,0,6,2,0,0,353,7,2,2,1,1,4.712000000000001,8.412,0.7,4.4,0.15909090909090906,0.31340909090909086,0.0,3.5999999999999996,0.0,0.0,14.570701773094576,4.929351994858582,41.0,0.14634146341463414,2.1322978204528646,0.3333333333333333,0.7107659401509548,29.0,0.0,0.0,55.17,1.9700000000000002,8.789154669694728,90.0,0.0,y,Nayef Aguerd
6,Mama Samba Balde,DIJ,M,7400,1.6111111111111112,0,0,7,4,0,0,18,2,3,3,0,0,9.223448275862069,9.223448275862069,0.8,1.9,0.4210526315789474,0.31789473684210534,0.0,0.7,0.0,0.0,8.467826150705022,1.6924312606082843,27.0,0.25925925925925924,2.1953623353679688,0.5714285714285714,1.2544927630674108,14.0,0.0,0.0,20.41,0.7550000000000001,8.558802466856433,72.5,0.0,y,Mama Samba Balde
7,Hamari Traore,REN,D,9600,3.8666666666666667,0,0,2,0,6,5,195,1,4,4,3,0,5.06896551724138,5.06896551724138,0.1,4.4,0.022727272727272728,0.04477272727272728,0.5,3.5999999999999996,0.1388888888888889,0.22386363636363635,14.570701773094576,4.929351994858582,41.0,0.04878048780487805,0.710765940150955,0.0,0.0,29.0,0.1724137931034483,1.7769148503773875,55.17,1.9700000000000002,7.428589881437434,87.0,0.0,y,Hamari Traore
8,Fouad Chafik,DIJ,D,5200,5.0,0,0,2,0,6,4,210,5,5,8,2,1,5.18,4.88,0.0,1.9,0.0,0.0,0.2,0.7,0.28571428571428575,0.07947368421052635,8.467826150705022,1.6924312606082843,27.0,0.07407407407407407,0.6272463815337054,0.0,0.0,14.0,0.2857142857142857,1.2544927630674108,20.41,0.7550000000000001,6.038581249864274,90.0,0.0,y,Fouad Chafik
9,Flavien Tait,REN,M,10000,1.9333333333333333,0,1,1,0,3,4,69,4,4,0,0,1,5.420689655172414,7.748275862068966,0.0,4.4,0.0,0.0,0.9,3.5999999999999996,0.25000000000000006,0.4029545454545455,14.570701773094576,4.929351994858582,41.0,0.024390243902439025,0.3553829700754775,0.0,0.0,29.0,0.13793103448275862,1.42153188030191,55.17,1.9700000000000002,5.818665111610407,71.0,16.0,y,Flavien Tait
10,Mounir Chouiar,DIJ,M/F,6400,2.1777777777777776,0,0,5,0,2,1,51,4,4,3,2,1,6.621428571428572,5.9326530612244905,0.2,1.9,0.10526315789473685,0.07947368421052634,0.0,0.7,0.0,0.0,8.467826150705022,1.6924312606082843,27.0,0.18518518518518517,1.5681159538342633,0.0,0.0,14.0,0.07142857142857142,0.3136231907668527,20.41,0.7550000000000001,5.077292313236992,68.0,20.0,y,Mounir Chouiar
11,Didier Ibrahim Ndong,DIJ,M,3600,5.0,0,0,2,1,2,0,174,3,7,12,5,1,4.376,4.0760000000000005,0.0,1.9,0.0,0.0,0.0,0.7,0.0,0.0,8.467826150705022,1.6924312606082843,27.0,0.07407407407407407,0.6272463815337054,0.5,0.3136231907668527,14.0,0.0,0.0,20.41,0.7550000000000001,4.416869572300558,90.0,0.0,y,Didier Ibrahim Ndong
12,Bruno Ecuele Manga,DIJ,D,4000,5.0,1,0,3,2,0,0,194,4,2,3,4,0,3.376,5.3759999999999994,0.1,1.9,0.052631578947368425,0.03973684210526317,0.0,0.7,0.0,0.0,8.467826150705022,1.6924312606082843,27.0,0.1111111111111111,0.940869572300558,0.6666666666666666,0.6272463815337053,14.0,0.0,0.0,20.41,0.7550000000000001,4.341484374886895,90.0,0.0,y,Bruno Ecuele Manga
13,Frederic Sammaritano,DIJ,M,3800,1.5555555555555556,0,0,0,0,4,2,57,3,0,2,1,2,7.354285714285714,5.425714285714285,0.0,1.9,0.0,0.0,0.1,0.7,0.14285714285714288,0.039736842105263175,8.467826150705022,1.6924312606082843,27.0,0.0,0.0,0.0,0.0,14.0,0.14285714285714285,0.6272463815337054,20.41,0.7550000000000001,3.625667434165284,60.0,20.0,y,Frederic Sammaritano
14,Anibal Chala,DIJ,D,4200,3.8777777777777778,0,0,0,0,2,3,182,3,9,2,4,0,2.7180515759312325,2.7180515759312325,0.0,1.9,0.0,0.0,0.1,0.7,0.14285714285714288,0.039736842105263175,8.467826150705022,1.6924312606082843,27.0,0.0,0.0,0.0,0.0,14.0,0.21428571428571427,0.940869572300558,20.41,0.7550000000000001,2.9616688484278386,82.5,19.0,y,Anibal Chala
15,Jonathan Panzo,DIJ,D,3200,4.277777777777778,0,0,1,0,0,0,197,2,8,4,7,2,2.4405194805194803,1.7392207792207792,0.1,1.9,0.052631578947368425,0.03973684210526317,0.0,0.7,0.0,0.0,8.467826150705022,1.6924312606082843,27.0,0.037037037037037035,0.3136231907668527,0.0,0.0,14.0,0.0,0.0,20.41,0.7550000000000001,2.1704461572740295,87.25,36.0,y,Jonathan Panzo
16,Jordan Marie,DIJ,M,3000,2.422222222222222,0,0,0,0,1,2,62,1,2,7,3,0,5.135779816513763,5.135779816513763,0.0,1.9,0.0,0.0,0.1,0.7,0.14285714285714288,0.039736842105263175,8.467826150705022,1.6924312606082843,27.0,0.0,0.0,0.0,0.0,14.0,0.14285714285714285,0.6272463815337054,20.41,0.7550000000000001,1.7276857827891376,66.75,18.0,b,Jordan Marie
17,Jonas Martin,REN,M,3800,1.5444444444444445,0,0,0,0,2,2,83,3,3,3,1,0,6.513669064748202,6.513669064748202,0.0,4.4,0.0,0.0,0.1,3.5999999999999996,0.027777777777777783,0.04477272727272728,14.570701773094576,4.929351994858582,41.0,0.0,0.0,0.0,0.0,29.0,0.06896551724137931,0.710765940150955,55.17,1.9700000000000002,1.6897260447945128,90.0,12.25,b,Jonas Martin
18,Wesley Lautoa,DIJ,D,3000,1.9777777777777779,0,0,0,0,0,0,66,1,4,2,2,0,1.6786516853932585,1.6786516853932585,0.0,1.9,0.0,0.0,0.0,0.7,0.0,0.0,8.467826150705022,1.6924312606082843,27.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,20.41,0.7550000000000001,1.6786516853932585,90.0,22.0,y,Wesley Lautoa
