player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Ahmad Ngouyamsa,DIJ,DELETE,DELETE,54.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Alfred Gomis,DIJ,DELETE,DELETE,360.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Anibal Chala,DIJ,DELETE,DELETE,349.0,0.0,0.0,0.0,0.0,2.0,3.0,182.0,3.0,9.0,2.0,4.0,0.0,0.0,0.1,DELETE,DELETE,DELETE
Aurelien Scheidler,DIJ,DELETE,DELETE,186.0,1.0,0.0,3.0,1.0,0.0,2.0,31.0,2.0,2.0,0.0,0.0,0.0,0.3,0.1,DELETE,DELETE,DELETE
Bruno Ecuele Manga,DIJ,DELETE,DELETE,450.0,1.0,0.0,3.0,2.0,0.0,0.0,194.0,4.0,2.0,3.0,4.0,0.0,0.1,0.0,DELETE,DELETE,DELETE
Didier Ibrahim Ndong,DIJ,DELETE,DELETE,450.0,0.0,0.0,2.0,1.0,2.0,0.0,174.0,3.0,7.0,12.0,5.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Eric Junior Dina Ebimbe,DIJ,DELETE,DELETE,417.0,1.0,0.0,7.0,3.0,4.0,2.0,105.0,12.0,11.0,6.0,3.0,2.0,0.7000000000000001,0.2,DELETE,DELETE,DELETE
Fouad Chafik,DIJ,DELETE,DELETE,450.0,0.0,0.0,2.0,0.0,6.0,4.0,210.0,5.0,5.0,8.0,2.0,1.0,0.0,0.2,DELETE,DELETE,DELETE
Frederic Sammaritano,DIJ,DELETE,DELETE,140.0,0.0,0.0,0.0,0.0,4.0,2.0,57.0,3.0,0.0,2.0,1.0,2.0,0.0,0.1,DELETE,DELETE,DELETE
Jonathan Panzo,DIJ,DELETE,DELETE,385.0,0.0,0.0,1.0,0.0,0.0,0.0,197.0,2.0,8.0,4.0,7.0,2.0,0.1,0.0,DELETE,DELETE,DELETE
Jordan Marie,DIJ,DELETE,DELETE,218.0,0.0,0.0,0.0,0.0,1.0,2.0,62.0,1.0,2.0,7.0,3.0,0.0,0.0,0.1,DELETE,DELETE,DELETE
Mihai Dobre,DIJ,DELETE,DELETE,65.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Mounir Chouiar,DIJ,DELETE,DELETE,196.0,0.0,0.0,5.0,0.0,2.0,1.0,51.0,4.0,4.0,3.0,2.0,1.0,0.2,0.0,DELETE,DELETE,DELETE
Rayan Philippe,DIJ,DELETE,DELETE,79.0,0.0,0.0,3.0,2.0,1.0,0.0,8.0,2.0,0.0,2.0,0.0,0.0,0.2,0.0,DELETE,DELETE,DELETE
