Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Abdoulaye Doucoure,EVE,M,5000,404,1,0,8,2,2,2,227,4,6,9,7,2,0.8,0.2,80.8,,y
Alex Iwobi,EVE,M,3600,187,0,0,1,0,11,2,92,5,0,4,4,0,0,0.5,67.5,17.33333333,y
Allan,EVE,M,3400,450,0,0,0,0,0,2,203,7,9,16,3,3,0,0,90,,y
Andre Gomes,EVE,M,3200,130,0,0,0,0,2,2,43,0,5,2,0,1,0,0,65,0,
Anthony Gordon,EVE,M,4000,33,0,0,0,0,0,0,10,2,0,1,0,0,0,0,,6.6,
Ben Godfrey,EVE,D,3000,240,0,0,0,0,1,0,92,1,2,2,2,0,0,0,90,0,y
Bernard,EVE,M,5400,166,1,0,2,1,3,5,90,1,4,2,2,1,0.1,0.3,90,19,
Cenk Tosun,EVE,F,4600,33,0,0,0,0,0,1,5,0,1,0,0,1,0,0.1,,6.6,
Dominic Calvert-Lewin,EVE,F,11000,450,4,0,14,8,6,5,81,9,5,1,1,1,2.4,0.4,90,,y
Fabian Delph,EVE,M,3800,123,0,0,1,0,3,1,131,2,1,0,1,0,0,0,90,8.25,
Gylfi Sigurdsson,EVE,M,7200,246,0,0,6,1,4,3,84,2,6,2,2,0,0.2,0.1,70.66666667,17,
James Rodriguez,EVE,M/F,10200,332,0,1,6,3,8,6,135,8,5,3,2,1,0.5,0.8,83,0,y
Jonjoe Kenny,EVE,D,3800,76,0,0,0,0,3,0,41,0,0,0,0,0,0,0,76,0,
Jordan Pickford,EVE,GK,5800,360,0,0,0,0,0,0,93,0,0,0,0,0,0,0,90,0,
Lucas Digne,EVE,D,7800,341,0,3,1,0,24,6,177,5,5,3,0,0,0.1,1.1,85.25,0,
Mason Holgate,EVE,D,3400,90,0,0,0,0,1,0,68,1,1,4,0,1,0,0,90,0,y
Michael Keane,EVE,D,3800,450,1,0,2,1,0,2,325,2,2,2,4,0,0.2,0.2,90,,y
Niels Nkounkou,EVE,D,3000,68,0,0,1,0,2,0,24,0,1,0,0,1,0,0,68,0,
Richarlison,EVE,M/F,9200,164,0,0,5,2,2,1,32,4,1,3,0,0,0.9,0,82,0,y
Robin Olsen,EVE,GK,5600,90,0,0,0,0,0,0,19,0,0,0,0,0,0,0,90,0,
Seamus Coleman,EVE,D,5200,120,0,0,0,0,0,1,54,3,0,4,1,0,0,0.1,90,0,
Tom Davies,EVE,M,3400,17,0,0,0,0,1,0,6,1,0,0,1,0,0,0,65,3.4,y
Yerry Mina,EVE,M/F,4800,360,0,0,1,1,0,0,201,2,4,2,1,1,0,0,90,0,
Ezgjan Alioski,LEE,D,5200,280,0,0,5,2,8,6,176,6,2,5,6,0,0.1,1,90,3.333333333,y
Helder Costa,LEE,M/F,6600,287,0,1,4,0,5,5,84,4,4,3,1,0,0.2,0.6,71.75,0,
Ian Carlo Poveda,LEE,F,5000,76,0,0,2,1,2,1,20,2,2,4,0,0,0.2,0.2,,15.2,
Illan Meslier,LEE,GK,4600,450,0,0,0,0,0,0,110,1,0,0,0,0,0,0,90,,
Jack Harrison,LEE,M,8400,430,0,1,6,2,21,15,135,5,5,6,1,0,0.3,2.4,86,,y
Jamie Shackleton,LEE,M,3000,115,0,0,0,0,1,1,30,1,1,2,1,0,0,0.1,45,0,
Kalvin Phillips,LEE,M,6800,180,0,0,1,0,4,2,152,4,5,0,3,2,0,0.2,90,0,y
Liam Cooper,LEE,D,4000,270,0,0,2,0,0,0,222,4,6,7,6,2,0.2,0,90,0,y
Luke Ayling,LEE,D,6000,429,0,0,3,0,16,6,306,5,2,9,1,1,0.1,0.7,85.8,,y
Mateusz Klich,LEE,M,7400,450,0,2,5,2,13,12,303,4,12,8,4,2,0.3,1,90,,y
Pablo Hernandez,LEE,M,8000,94,0,0,5,0,3,1,84,0,0,0,0,0,0.8,0,66,7,
Pascal Struijk,LEE,D,3200,164,0,0,1,0,0,1,90,0,2,1,2,1,0.2,0.1,72,0,
Patrick Bamford,LEE,F,8800,450,4,0,23,10,1,1,48,2,4,4,0,0,4.6,0.1,90,,y
Raphael Dias Belloli,LEE,M/F,7600,152,0,0,6,0,5,2,53,2,1,2,1,0,0.5,0.2,90,15.5,y
Robin Koch,LEE,D,4400,450,0,0,4,1,1,4,326,1,8,5,6,0,0.4,0.2,90,,y
Rodrigo,LEE,M/F,6400,189,0,0,11,2,3,5,60,3,4,4,0,0,1.3,0.3,84,7,
Stuart Dallas,LEE,D,6200,440,1,0,7,3,8,2,303,2,6,7,4,2,0.4,0,88,,y
Tyler Roberts,LEE,M/F,4400,44,0,0,1,0,1,0,12,0,0,0,0,0,0,0,,8.8,
