,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Dominic Calvert-Lewin,EVE,F,11000,5.0,4,0,14,8,6,5,81,9,5,1,1,1,8.164,15.864,0.48,1.2550000000000001,0.3824701195219123,0.5365199988856313,0.08,0.5404812834224599,0.148016226377758,0.08941999981427189,13.495458677971246,5.0484709290986665,36.0,0.3888888888888889,5.248233930322152,0.5714285714285714,2.9989908173269435,20.0,0.25,1.8743692608293399,48.54,1.4027762470863903,18.487313996220376,90.0,0.0,y,Dominic Calvert-Lewin
1,Patrick Bamford,LEE,F,8800,5.0,4,0,23,10,1,1,48,2,4,4,0,0,7.932,15.931999999999999,0.9199999999999999,1.6148621553884712,0.5697080688467089,0.7370868328310688,0.02,1.4198496240601504,0.014085998729082823,0.016023626800675414,12.420559347703326,3.8568142967838406,62.0,0.3709677419354839,4.607626854793169,0.43478260869565216,2.003316023823117,50.0,0.02,0.20033160238231174,25.64,1.2937974256239584,15.410284570113339,90.0,0.0,y,Patrick Bamford
2,Jack Harrison,LEE,M,8400,4.777777777777778,0,1,6,2,21,15,135,5,5,6,1,0,10.339534883720932,11.595348837209304,0.06,1.6148621553884712,0.037154874055220145,0.04807088040202623,0.48,1.4198496240601504,0.3380639694979877,0.38456704321620994,12.420559347703326,3.8568142967838406,62.0,0.0967741935483871,1.2019896142938702,0.3333333333333333,0.40066320476462336,50.0,0.3,3.004974035734676,25.64,1.2937974256239584,12.675737918110691,86.0,0.0,y,Jack Harrison
3,James Rodriguez,EVE,M/F,10200,3.688888888888889,0,1,6,3,8,6,135,8,5,3,2,1,8.89156626506024,10.11144578313253,0.125,1.2550000000000001,0.099601593625498,0.13971874970979983,0.2,0.5404812834224599,0.37004056594439494,0.2235499995356797,13.495458677971246,5.0484709290986665,36.0,0.16666666666666666,2.2492431129952077,0.5,1.1246215564976039,20.0,0.3,2.2492431129952077,48.54,1.4027762470863903,12.436595276800094,83.0,0.0,y,James Rodriguez
4,Richarlison,EVE,M/F,9200,1.8222222222222222,0,0,5,2,2,1,32,4,1,3,0,0,9.076829268292682,9.076829268292682,0.45,1.2550000000000001,0.3585657370517928,0.5029874989552793,0.0,0.5404812834224599,0.0,0.0,13.495458677971246,5.0484709290986665,36.0,0.1388888888888889,1.8743692608293399,0.4,0.749747704331736,20.0,0.05,0.374873852165868,48.54,1.4027762470863903,12.298865806879737,82.0,0.0,y,Richarlison
5,Ezgjan Alioski,LEE,D,5200,3.111111111111111,0,0,5,2,8,6,176,6,2,5,6,0,11.28857142857143,11.28857142857143,0.03214285714285715,1.6148621553884712,0.019904396815296512,0.025752257358228343,0.3214285714285714,1.4198496240601504,0.22638212243168818,0.25752257358228337,12.420559347703326,3.8568142967838406,62.0,0.08064516129032258,1.0016580119115586,0.4,0.40066320476462347,50.0,0.12,1.2019896142938702,25.64,1.2937974256239584,11.516968846046035,90.0,3.333333333,y,Ezgjan Alioski
6,Abdoulaye Doucoure,EVE,M,5000,4.488888888888889,1,0,8,2,2,2,227,4,6,9,7,2,7.003960396039604,8.563366336633663,0.16000000000000003,1.2550000000000001,0.12749003984063748,0.17883999962854383,0.04000000000000001,0.5404812834224599,0.07400811318887901,0.04470999990713596,13.495458677971246,5.0484709290986665,36.0,0.2222222222222222,2.9989908173269435,0.25,0.7497477043317359,20.0,0.1,0.749747704331736,48.54,1.4027762470863903,9.84314622171867,80.8,0.0,y,Abdoulaye Doucoure
7,Alex Iwobi,EVE,M,3600,2.077777777777778,0,0,1,0,11,2,92,5,0,4,4,0,11.329411764705881,11.329411764705881,0.0,1.2550000000000001,0.0,0.0,0.1804812834224599,0.5404812834224599,0.333926981300089,0.20173295412644893,13.495458677971246,5.0484709290986665,36.0,0.027777777777777776,0.37487385216586794,0.0,0.0,20.0,0.1,0.749747704331736,48.54,1.4027762470863903,9.74919040425095,67.5,17.33333333,y,Alex Iwobi
8,Raphael Dias Belloli,LEE,M/F,7600,1.6888888888888889,0,0,6,0,5,2,53,2,1,2,1,0,9.805263157894737,9.805263157894737,0.29605263157894735,1.6148621553884712,0.18332997066720466,0.2371918440889452,0.11842105263157895,1.4198496240601504,0.08340393984325356,0.09487673763557812,12.420559347703326,3.8568142967838406,62.0,0.0967741935483871,1.2019896142938702,0.0,0.0,50.0,0.04,0.40066320476462347,25.64,1.2937974256239584,9.612252738392993,90.0,15.5,y,Raphael Dias Belloli
9,Mateusz Klich,LEE,M,7400,5.0,0,2,5,2,13,12,303,4,12,8,4,2,8.432,10.232000000000001,0.06,1.6148621553884712,0.037154874055220145,0.04807088040202623,0.2,1.4198496240601504,0.14085998729082821,0.16023626800675414,12.420559347703326,3.8568142967838406,62.0,0.08064516129032258,1.0016580119115586,0.4,0.40066320476462347,50.0,0.24,2.4039792285877404,25.64,1.2937974256239584,9.28042685732471,90.0,0.0,y,Mateusz Klich
10,Luke Ayling,LEE,D,6000,4.766666666666667,0,0,3,0,16,6,306,5,2,9,1,1,8.353846153846154,8.03916083916084,0.02,1.6148621553884712,0.012384958018406717,0.01602362680067541,0.13999999999999999,1.4198496240601504,0.09860199110357974,0.11216538760472788,12.420559347703326,3.8568142967838406,62.0,0.04838709677419355,0.6009948071469351,0.0,0.0,50.0,0.12,1.2019896142938702,25.64,1.2937974256239584,8.500213015075927,85.8,0.0,y,Luke Ayling
11,Stuart Dallas,LEE,D,6200,4.888888888888889,1,0,7,3,8,2,303,2,6,7,4,2,6.4759090909090915,7.907727272727273,0.08,1.6148621553884712,0.04953983207362687,0.06409450720270164,0.0,1.4198496240601504,0.0,0.0,12.420559347703326,3.8568142967838406,62.0,0.11290322580645161,1.402321216676182,0.42857142857142855,0.6009948071469351,50.0,0.04,0.40066320476462347,25.64,1.2937974256239584,6.376924300614757,88.0,0.0,y,Stuart Dallas
12,Liam Cooper,LEE,D,4000,3.0,0,0,2,0,0,0,222,4,6,7,6,2,5.8133333333333335,4.8133333333333335,0.06666666666666667,1.6148621553884712,0.041283193394689055,0.0534120893355847,0.0,1.4198496240601504,0.0,0.0,12.420559347703326,3.8568142967838406,62.0,0.03225806451612903,0.4006632047646234,0.0,0.0,50.0,0.0,0.0,25.64,1.2937974256239584,5.081450764787138,90.0,0.0,y,Liam Cooper
