Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Abdoulaye Doucoure,EVE,M,4800,404,0,1,5,2,1,4,224,3,5,8,1,1,0.3,0.9,80.8,,y
Alex Iwobi,EVE,M,4300,143,0,1,1,0,5,2,44,3,2,2,2,0,0,0.6,45,10.66666667,
Allan,EVE,M,3600,360,0,0,1,0,0,3,154,3,7,11,1,2,0,0,90,0,y
Andre Gomes,EVE,M,3200,205,0,0,0,0,3,2,74,2,7,3,0,1,0,0,68.33333333,0,
Anthony Gordon,EVE,M,3000,33,0,0,0,0,0,0,10,2,0,1,0,0,0,0,,6.6,
Ben Godfrey,EVE,D,3000,150,0,0,0,0,1,0,55,1,1,2,1,0,0,0,90,0,
Bernard,EVE,M,3200,76,0,0,0,0,2,3,51,1,2,2,1,1,0,0.2,65,15.2,y
Cenk Tosun,EVE,F,3800,22,0,0,0,0,0,1,3,0,0,0,0,0,0,0.1,,4.4,
Dominic Calvert-Lewin,EVE,F,11800,450,4,0,17,9,4,3,72,7,5,1,0,1,2.8,0.2,90,,y
Fabian Delph,EVE,M,3800,156,0,0,1,0,3,1,148,3,1,1,1,0,0,0,90,16.5,
Gylfi Sigurdsson,EVE,M,9000,271,0,1,7,1,3,4,89,2,4,4,2,0,0.3,0.4,79,17,y
James Rodriguez,EVE,M/F,11400,342,2,2,10,5,8,10,161,11,5,1,1,1,1.6,1.4,85.5,0,y
Jonjoe Kenny,EVE,D,4000,76,0,0,0,0,3,0,41,0,0,0,0,0,0,0,76,0,
Jordan Pickford,EVE,GK,5800,360,0,0,0,0,0,1,76,0,0,0,0,0,0,0,90,0,
Lucas Digne,EVE,D,8400,341,0,1,1,0,22,4,199,2,9,0,1,0,0,0.5,85.25,0,y
Michael Keane,EVE,D,5600,450,1,0,2,1,0,2,311,1,2,2,2,0,0.2,0.2,90,,y
Niels Nkounkou,EVE,D,3000,68,0,0,1,0,2,0,24,0,1,0,0,1,0,0,68,0,
Richarlison,EVE,M/F,10400,202,1,0,3,0,1,1,46,6,4,2,0,1,1.2,0,89,0,
Robin Olsen,EVE,GK,6000,90,0,0,0,0,0,0,19,0,0,0,0,0,0,0,90,,
Seamus Coleman,EVE,D,6200,177,0,1,1,1,2,1,89,2,1,6,0,0,0,0.4,73.5,0,y
Tom Davies,EVE,M,3000,91,0,0,0,0,1,0,44,0,1,4,2,0,0,0,90,0.25,
Yerry Mina,EVE,D,4400,450,1,0,2,2,0,0,262,5,8,0,1,1,0.1,0,90,,
Aaron Wan-Bissaka,MU,D,7000,450,1,0,3,2,5,3,232,3,5,10,5,0,0.3,0.1,90,,y
Anthony Martial,MU,F,9200,116,0,0,1,0,1,0,24,1,1,0,0,0,0.1,0,58,0,y
Bruno Fernandes,MU,M,12600,389,3,2,8,3,13,13,218,8,4,8,2,1,2.8,0.9,77.8,,y
Daniel James,MU,M,3000,132,0,0,5,1,1,3,47,1,1,2,0,1,0.2,0.1,66,0,
David de Gea,MU,GK,6800,450,0,0,0,0,0,0,82,1,0,0,0,0,0,0,90,,
Donny van de Beek,MU,M,4400,55,0,0,0,0,2,1,32,0,1,1,0,0,0,0,,11,
Edinson Cavani,MU,F,9600,49,0,0,2,0,1,0,2,0,1,0,0,0,0.1,0,,9.8,
Eric Bailly,MU,D,3000,98,0,0,0,0,0,0,31,0,2,0,1,1,0,0,90,2,
Fred,MU,M,4200,290,0,0,4,0,2,1,199,5,7,6,4,2,0.1,0.1,73,35.5,y
Harry Maguire,MU,D,5000,450,1,0,9,1,0,2,258,4,5,1,5,1,0.2,0,90,,y
Juan Mata,MU,M,7200,146,0,1,2,2,2,6,87,0,0,1,0,0,0.2,0.4,73,0,y
Luke Shaw,MU,D,6400,450,0,0,1,1,14,5,255,7,7,8,2,2,0,0.3,90,,y
Marcus Rashford,MU,M/F,10600,450,2,2,13,6,1,6,119,7,3,0,2,1,1.1,0.7,90,,y
Mason Greenwood,MU,M/F,7800,231,0,0,5,2,2,3,61,3,2,3,1,1,0.2,0.2,74.33333333,4,
Nemanja Matic,MU,M,3200,165,0,0,2,2,1,1,120,2,3,2,1,1,0,0,67.5,10,
Paul Pogba,MU,M,4600,299,0,0,2,0,4,2,151,8,12,5,1,0,0.1,0,81.33333333,27.5,
Scott McTominay,MU,M,5400,307,0,0,3,0,2,3,151,4,6,3,5,0,0.2,0.1,87.33333333,22.5,y
Victor Lindelof,MU,D,3400,360,0,0,0,0,0,1,228,0,3,3,3,0,0,0,90,0,y
