,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Bruno Fernandes,MU,M,12600,4.322222222222222,3,2,8,3,13,13,218,8,4,8,2,1,12.137275064267353,21.50745501285347,0.5599999999999999,1.1120670934869143,0.5035667391650857,0.8612606468091084,0.18000000000000002,0.6536197536400089,0.27538947376908346,0.2768337793314992,11.766682429780412,4.331947734570408,44.0,0.18181818181818182,2.1393968054146204,0.375,0.8022738020304827,40.0,0.325,3.4765198087987583,40.74,1.7103207575565451,22.08379956032394,77.8,0.0,y,Bruno Fernandes
1,James Rodriguez,EVE,M/F,11400,3.8,2,2,10,5,8,10,161,11,5,1,1,1,11.531578947368422,19.55789473684211,0.4,1.1474538745387455,0.3485978904039105,0.594929912139689,0.35,1.1887594925458622,0.29442456795902056,0.5205636731222278,10.855279654101912,4.320103038211496,44.0,0.22727272727272727,2.467109012295889,0.5,1.2335545061479445,34.0,0.29411764705882354,2.467109012295889,33.33,1.706636581909204,19.570453690869982,85.5,0.0,y,James Rodriguez
2,Dominic Calvert-Lewin,EVE,F,11800,5.0,4,0,17,9,4,3,72,7,5,1,0,1,7.748,15.447999999999999,0.5599999999999999,1.1474538745387455,0.4880370465654746,0.8329018769955646,0.04,1.1887594925458622,0.033648522052459495,0.05949299121396891,10.855279654101912,4.320103038211496,44.0,0.38636363636363635,4.194085320903011,0.5294117647058824,2.2203981110663,34.0,0.08823529411764706,0.7401327036887667,33.33,1.706636581909204,17.488592852897536,90.0,0.0,y,Dominic Calvert-Lewin
3,Marcus Rashford,MU,M/F,10600,5.0,2,2,13,6,1,6,119,7,3,0,2,1,6.9159999999999995,13.016000000000002,0.22000000000000003,1.1120670934869143,0.1978297903862837,0.3383523969607213,0.13999999999999999,0.6536197536400089,0.2141918129315093,0.2153151617022771,11.766682429780412,4.331947734570408,44.0,0.29545454545454547,3.4765198087987583,0.46153846153846156,1.6045476040609654,40.0,0.15,1.6045476040609652,40.74,1.7103207575565451,12.977029956741564,90.0,0.0,y,Marcus Rashford
4,Juan Mata,MU,M,7200,1.6222222222222222,0,1,2,2,2,6,87,0,0,1,0,0,8.716438356164383,12.415068493150683,0.1,1.1120670934869143,0.08992263199376531,0.1537965440730551,0.2,0.6536197536400089,0.3059883041878705,0.30759308814611025,11.766682429780412,4.331947734570408,44.0,0.045454545454545456,0.5348492013536551,1.0,0.5348492013536551,40.0,0.15,1.6045476040609652,40.74,1.7103207575565451,8.127769976375488,73.0,0.0,y,Juan Mata
5,Gylfi Sigurdsson,EVE,M,9000,3.011111111111111,0,1,7,1,3,4,89,2,4,4,2,0,6.934317343173431,8.926937269372695,0.08745387453874538,1.1474538745387455,0.07621559042963724,0.13007231473902794,0.11660516605166052,1.1887594925458622,0.098089787533,0.1734297529853706,10.855279654101912,4.320103038211496,44.0,0.1590909090909091,1.7269763086071224,0.14285714285714285,0.24671090122958889,34.0,0.11764705882352941,0.9868436049183555,33.33,1.706636581909204,7.890467166404434,79.0,17.0,y,Gylfi Sigurdsson
6,Abdoulaye Doucoure,EVE,M,4800,4.488888888888889,0,1,5,2,1,4,224,3,5,8,1,1,5.609405940594059,6.6118811881188115,0.060000000000000005,1.1474538745387455,0.052289683560586574,0.08923948682095337,0.18000000000000002,1.1887594925458622,0.15141834923606773,0.2677184604628601,10.855279654101912,4.320103038211496,44.0,0.11363636363636363,1.2335545061479445,0.4,0.4934218024591778,34.0,0.11764705882352941,0.9868436049183555,33.33,1.706636581909204,7.748525544512173,80.8,0.0,y,Abdoulaye Doucoure
7,Aaron Wan-Bissaka,MU,D,7000,5.0,1,0,3,2,5,3,232,3,5,10,5,0,5.828,7.828,0.06,1.1120670934869143,0.053953579196259184,0.09227792644383306,0.02,0.6536197536400089,0.030598830418787047,0.03075930881461102,11.766682429780412,4.331947734570408,44.0,0.06818181818181818,0.8022738020304826,0.6666666666666666,0.534849201353655,40.0,0.075,0.8022738020304826,40.74,1.7103207575565451,7.474731922740617,90.0,0.0,y,Aaron Wan-Bissaka
8,Luke Shaw,MU,D,6400,5.0,0,0,1,1,14,5,255,7,7,8,2,2,6.88,6.279999999999999,0.0,1.1120670934869143,0.0,0.0,0.06,0.6536197536400089,0.09179649125636113,0.09227792644383305,11.766682429780412,4.331947734570408,44.0,0.022727272727272728,0.26742460067682755,1.0,0.26742460067682755,40.0,0.125,1.3371230033841377,40.74,1.7103207575565451,7.305639763400791,90.0,0.0,y,Luke Shaw
9,Lucas Digne,EVE,D,8400,3.7888888888888888,0,1,1,0,22,4,199,2,9,0,1,0,5.90674486803519,7.49032258064516,0.0,1.1474538745387455,0.0,0.0,0.12499999999999999,1.1887594925458622,0.1051516314139359,0.18591559754365278,10.855279654101912,4.320103038211496,44.0,0.022727272727272728,0.2467109012295889,0.0,0.0,34.0,0.11764705882352941,0.9868436049183555,33.33,1.706636581909204,6.694048091409861,85.25,0.0,y,Lucas Digne
