Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,TeamSoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting
Michael Barrios,DAL,M/F,10200,4.11,0,1,9,1,20,7,96,8,10,1,5,2,0,9.59,10.32,1.5,6.6,0.23,0.40,0.8,4.2,0.19,0.33,13.8,5.0,48,0.19,2.59,0.11,0.29,30,0.23,2.01,0.48,1.74,15.58,84.5,32,y
Andres Ricaurte,DAL,M,4800,1.38,1,0,3,2,8,4,72,5,2,4,4,0,0,18.90,26.16,0.1,6.6,0.02,0.03,0.3,4.2,0.07,0.12,13.8,5.0,48,0.06,0.86,0.67,0.57,30,0.13,1.15,0.48,1.74,15.00,79,11.25,y
Franco Jara,DAL,F,10000,4.27,2,0,6,3,2,3,73,10,4,1,1,0,0,5.71,10.40,1.3,6.6,0.20,0.34,0.4,4.2,0.10,0.17,13.8,5.0,48,0.13,1.72,0.50,0.86,30,0.10,0.86,0.48,1.74,11.54,88.25,31,y
Bryan Reynolds,DAL,D,5600,2.38,0,1,1,0,13,3,92,1,3,3,3,0,0,7.97,10.49,0,6.6,0.00,0.00,0.9,4.2,0.21,0.37,13.8,5.0,48,0.02,0.29,0.00,0.00,30,0.10,0.86,0.48,1.74,10.65,90,11.33333333,y
Younes Namli,COL,M,8600,4.39,0,3,10,5,16,9,151,10,4,3,4,0,0,11.67,15.77,0.2,9.4,0.02,0.03,1.8,7,0.26,0.34,13.1,4.8,77,0.13,1.71,0.50,0.85,58,0.16,1.53,0.27,1.33,10.05,79,,y
Reto Ziegler,DAL,D,7000,5.00,1,0,4,3,14,1,230,3,2,0,8,0,0,5.68,7.68,0.8,6.6,0.12,0.21,0.2,4.2,0.05,0.08,13.8,5.0,48,0.08,1.15,0.75,0.86,30,0.03,0.29,0.48,1.74,9.97,90,,y
Cole Bassett,COL,M,6800,2.90,2,2,6,3,14,4,88,6,5,2,0,1,0,10.37,20.88,1.3,9.4,0.14,0.18,0.8,7,0.11,0.15,13.1,4.8,77,0.08,1.02,0.50,0.51,58,0.07,0.68,0.27,1.33,8.34,81.66666667,8,y
Jonathan Lewis,COL,F,8000,2.77,0,0,9,3,15,2,56,2,2,3,2,1,0,11.07,10.53,1.1,9.4,0.12,0.16,0.2,7,0.03,0.04,13.1,4.8,77,0.12,1.53,0.33,0.51,58,0.03,0.34,0.27,1.33,7.74,82,28.33333333,y
Ryan Hollingshead,DAL,D,6200,3.96,0,0,0,0,5,4,146,2,8,9,5,0,0,5.04,5.04,0,6.6,0.00,0.00,0.5,4.2,0.12,0.21,13.8,5.0,48,0.00,0.00,0.00,0.00,30,0.13,1.15,0.48,1.74,7.33,89,0,y
Thiago dos Santos,DAL,M,3600,4.96,0,0,1,0,1,3,192,14,11,11,3,3,0,5.96,5.05,0,6.6,0.00,0.00,0.4,4.2,0.10,0.17,13.8,5.0,48,0.02,0.29,0.00,0.00,30,0.10,0.86,0.48,1.74,7.32,89.2,,y
Diego Rubio,COL,F,9200,4.23,2,0,12,3,1,7,138,10,7,3,0,2,0,8.26,12.27,1.2,9.4,0.13,0.17,1.2,7,0.17,0.23,13.1,4.8,77,0.16,2.05,0.25,0.51,58,0.12,1.19,0.27,1.33,6.73,76.2,,y
Harold Santiago Mosquera,DAL,M,9400,1.30,1,0,4,2,6,0,43,0,3,0,2,0,0,8.12,15.82,0.7,6.6,0.11,0.18,0,4.2,0.00,0.00,13.8,5.0,48,0.08,1.15,0.50,0.57,30,0.00,0.00,0.48,1.74,6.25,67,12.5,y
Matt Hedges,DAL,D,4200,3.50,0,0,3,1,1,1,139,1,2,3,8,0,0,4.42,4.42,0.2,6.6,0.03,0.05,0.1,4.2,0.02,0.04,13.8,5.0,48,0.06,0.86,0.33,0.29,30,0.03,0.29,0.48,1.74,5.54,78.75,0,y
Sam Vines,COL,D,4000,5.00,1,1,1,1,10,4,183,1,3,4,6,0,0,4.63,7.83,0.7,9.4,0.07,0.10,0.7,7,0.10,0.13,13.1,4.8,77,0.01,0.17,1.00,0.17,58,0.07,0.68,0.27,1.33,5.21,90,,y
Kellyn Acosta,COL,M,3800,4.41,0,0,10,2,2,6,137,1,6,7,3,2,0,6.49,5.81,1,9.4,0.11,0.14,0.5,7,0.07,0.10,13.1,4.8,77,0.13,1.71,0.20,0.34,58,0.10,1.02,0.27,1.33,4.95,79.4,,y
Jack Price,COL,M,8200,3.51,0,0,1,0,21,5,205,1,4,0,3,2,0,7.21,6.35,0,9.4,0.00,0.00,0.2,7,0.03,0.04,13.1,4.8,77,0.01,0.17,0.00,0.00,58,0.09,0.85,0.27,1.33,4.86,90,23,y
Tanner Tessmann,DAL,M,3400,1.87,0,0,2,1,0,0,79,1,1,3,2,0,0,4.86,4.86,0,6.6,0.00,0.00,0,4.2,0.00,0.00,13.8,5.0,48,0.04,0.57,0.50,0.29,30,0.00,0.00,0.48,1.74,4.05,67,33.66666667,y
Auston Trusty,COL,D,3200,1.00,0,0,2,1,0,0,62,1,1,0,2,0,0,5.74,5.74,0.5,9.4,0.05,0.07,0,7,0.00,0.00,13.1,4.8,77,0.03,0.34,0.50,0.17,58,0.00,0.00,0.27,1.33,2.92,90,0,y
Keegan Rosenberry,COL,D,6600,4.71,0,0,1,1,7,3,246,1,5,1,9,0,0,3.99,3.99,0.1,9.4,0.01,0.01,0,7,0.00,0.00,13.1,4.8,77,0.01,0.17,1.00,0.17,58,0.05,0.51,0.27,1.33,2.66,84.8,,y
Brandon Servania,DAL,M,3600,2.23,0,0,1,0,2,1,58,6,4,3,3,1,0,5.85,5.18,0,6.6,0.00,0.00,0.1,4.2,0.02,0.04,13.8,5.0,48,0.02,0.29,0.00,0.00,30,0.03,0.29,0.48,1.74,2.44,62,25.66666667,b
