Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Andros Townsend,CRY,M/F,10400,450,1,2,4,1,17,8,86,9,11,9,6,0,0.2,0.9,90,,y
Cheikhou Kouyate,CRY,D,3600,450,1,0,3,2,0,0,74,2,6,4,3,0,0.5,0,90,,y
Christian Benteke,CRY,F,8400,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,2.4,y
Eberechi Eze,CRY,M/F,8000,190,0,0,3,0,3,1,68,8,2,2,4,0,0.1,0,82,13,y
Gary Cahill,CRY,D,3800,90,0,0,0,0,0,0,24,1,0,1,0,0,0,0,90,0,y
Jairo Riedewald,CRY,D,4800,112,0,0,0,0,0,0,36,1,0,1,1,0,0,0,90,5.5,y
James McArthur,CRY,M,4200,428,0,0,2,0,2,4,129,5,7,9,5,2,0.1,0.3,85.6,,y
James McCarthy,CRY,M,4800,316,0,0,1,0,1,2,81,2,4,5,4,1,0,0,79,0,y
Jeffrey Schlupp,CRY,M,7000,241,0,1,2,0,8,3,26,3,3,2,4,1,0.1,0.2,80.33333333,0,y
Joel Ward,CRY,D,4400,450,0,0,0,0,2,1,123,2,8,5,4,2,0,0,90,,y
Jordan Ayew,CRY,F,7400,341,0,0,4,3,2,0,39,8,6,5,4,0,0.5,0,85.25,0,y
Luka Milivojevic,CRY,M,6400,52,0,0,0,0,1,2,28,2,2,0,2,0,0,0.1,,10.4,y
Mamadou Sakho,CRY,D,3400,270,0,0,1,0,0,0,68,1,2,1,0,0,0,0,90,0,y
Michy Batshuayi,CRY,F,6800,108,0,0,1,0,0,0,12,1,2,2,1,0,0,0,82,6.5,y
Scott Dann,CRY,D,3000,90,0,0,1,0,0,0,17,0,1,0,0,0,0,0,90,0,y
Tyrick Mitchell,CRY,D,5200,450,0,0,0,0,4,0,123,3,4,10,2,1,0,0,90,,y
Vicente Guaita,CRY,GK,6200,450,0,0,0,0,0,0,47,0,0,0,0,1,0,0,90,,y
Wilfried Zaha,CRY,M/F,9800,450,4,0,9,2,5,3,64,16,7,5,4,1,2.2,0.3,90,,y
Aboubakar Kamara,FUL,F,4600,195,0,0,3,1,10,3,62,3,5,0,1,1,0.3,0.2,59.5,23,y
Ademola Lookman,FUL,F,9000,114,1,0,3,2,3,4,53,2,1,2,1,0,0.4,0.3,90,6,y
Aleksandar Mitrovic,FUL,F,11000,388,2,0,19,7,2,2,71,7,10,1,0,1,2.9,0.4,90,28,y
Alphonse Areola,FUL,GK,5800,360,0,0,0,0,0,0,91,0,0,0,0,0,0,0,90,0,y
Andre-Frank Zambo Anguissa,FUL,M,4600,388,0,1,3,0,4,7,239,3,5,8,12,1,0.1,0.5,90,28,y
Antonee Robinson,FUL,D,6600,180,0,0,1,1,6,2,94,1,1,0,2,0,0.1,0.1,90,0,y
Bobby Reid,FUL,M/F,4800,206,1,0,3,1,3,0,54,1,2,3,0,1,0.2,0,78.5,16.33333333,y
Denis Odoi,FUL,D,3400,270,0,0,2,1,4,1,153,4,7,0,1,1,0,0.1,90,,y
Harrison Reed,FUL,M,4200,159,0,0,2,1,0,1,110,3,0,0,3,0,0,0,79.5,0,y
Ivan Cavaleiro,FUL,M/F,8200,426,0,0,4,0,15,8,123,8,6,6,2,1,0.1,0.5,85.2,,y
Joe Bryan,FUL,D,8600,336,0,0,3,1,12,2,141,5,4,6,8,1,0,0.2,84,0,y
Josh Onomah,FUL,M,4400,131,0,0,0,0,0,0,38,0,3,1,0,0,0,0,65.5,0,y
Kenny Tete,FUL,D,8800,128,0,1,0,0,10,4,57,1,3,2,0,1,0,0.5,64,0,y
Marek Rodak,FUL,GK,5600,90,0,0,0,0,0,0,19,0,0,0,0,0,0,0,90,0,y
Mario Lemina,FUL,M,4400,31,0,0,1,0,1,0,10,1,1,1,0,0,0,0,,6.2,y
Maxime Le Marchand,FUL,D,3600,123,0,0,1,0,0,0,78,1,3,1,0,2,0,0,90,8.25,y
Michael Hector,FUL,D,3200,237,0,0,1,0,0,1,136,3,3,5,0,1,0.1,0,79,0,y
Neeskens Kebano,FUL,M,7800,118,0,0,6,0,4,0,33,1,3,1,0,0,0.3,0,62,14,y
Ola Aina,FUL,D,7200,180,0,0,0,0,6,1,136,3,1,1,4,0,0,0,90,0,y
Ruben Loftus-Cheek,FUL,M,5400,80,0,0,2,1,0,1,45,1,1,2,1,0,0.1,0,80,0,y
Tim Ream,FUL,D,3400,360,0,0,0,0,0,0,209,0,2,2,1,0,0,0,90,0,y
Tom Cairney,FUL,M,6000,360,0,0,2,1,8,7,311,8,3,2,0,2,0,0.4,90,0,y
Tosin Adarabioyo,FUL,D,4000,90,0,0,2,0,0,0,54,0,0,1,1,0,0.2,0,90,0,y
