,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Wilfried Zaha,CRY,M/F,9800,5.0,4,0,9,2,5,3,64,16,7,5,4,1,7.656000000000001,15.356,2.2,3.7,0.5945945945945946,0.9142792190534536,0.3,1.8,0.16666666666666666,0.12467443896183455,9.10645116893933,4.220278666134002,31.0,0.2903225806451613,2.643808403885612,0.2222222222222222,0.5875129786412471,24.0,0.125,0.8812694679618707,35.14,1.5376514138626263,18.559429674794274,90.0,0.0,y,Wilfried Zaha
1,Aleksandar Mitrovic,FUL,F,11000,4.311111111111111,2,0,19,7,2,2,71,7,10,1,0,1,7.844845360824743,12.136082474226805,2.9,4.799999999999999,0.6041666666666667,1.01286712329588,0.4,3.2,0.125,0.13970581010977656,12.056006942679694,3.7638969274756224,58.0,0.3275862068965517,3.949381584670934,0.3684210526315789,1.4550353206682387,44.0,0.045454545454545456,0.41572437733378254,35.29,1.6764697213173183,17.789109231960516,90.0,28.0,y,Aleksandar Mitrovic
2,Andros Townsend,CRY,M/F,10400,5.0,1,2,4,1,17,8,86,9,11,9,6,0,8.424,12.824000000000002,0.2,3.7,0.05405405405405406,0.08311629264122304,0.9,1.8,0.5,0.37402331688550366,9.10645116893933,4.220278666134002,31.0,0.12903225806451613,1.1750259572824941,0.25,0.29375648932062354,24.0,0.3333333333333333,2.3500519145649883,35.14,1.5376514138626263,12.718137188893358,90.0,0.0,y,Andros Townsend
3,Ademola Lookman,FUL,F,9000,1.2666666666666666,1,0,3,2,3,4,53,2,1,2,1,0,12.757894736842106,20.652631578947368,0.4,4.799999999999999,0.08333333333333336,0.13970581010977656,0.3,3.2,0.09374999999999999,0.10477935758233241,12.056006942679694,3.7638969274756224,58.0,0.05172413793103448,0.6235865660006739,0.6666666666666666,0.41572437733378254,44.0,0.09090909090909091,0.8314487546675651,35.29,1.6764697213173183,9.54912552354115,90.0,6.0,y,Ademola Lookman
4,Ivan Cavaleiro,FUL,M/F,8200,4.733333333333333,0,0,4,0,15,8,123,8,6,6,2,1,7.808450704225352,7.491549295774648,0.1,4.799999999999999,0.02083333333333334,0.03492645252744414,0.5,3.2,0.15625,0.1746322626372207,12.056006942679694,3.7638969274756224,58.0,0.06896551724137931,0.8314487546675651,0.0,0.0,44.0,0.18181818181818182,1.6628975093351301,35.29,1.6764697213173183,8.583404365100462,85.2,0.0,y,Ivan Cavaleiro
5,Andre-Frank Zambo Anguissa,FUL,M,4600,4.311111111111111,0,1,3,0,4,7,239,3,5,8,12,1,7.441237113402062,8.485051546391752,0.1,4.799999999999999,0.02083333333333334,0.03492645252744414,0.5,3.2,0.15625,0.1746322626372207,12.056006942679694,3.7638969274756224,58.0,0.05172413793103448,0.6235865660006739,0.0,0.0,44.0,0.1590909090909091,1.455035320668239,35.29,1.6764697213173183,8.249391327972864,90.0,28.0,y,Andre-Frank Zambo Anguissa
6,Eberechi Eze,CRY,M/F,8000,2.111111111111111,0,0,3,0,3,1,68,8,2,2,4,0,8.74421052631579,8.74421052631579,0.1,3.7,0.02702702702702703,0.04155814632061152,0.0,1.8,0.0,0.0,9.10645116893933,4.220278666134002,31.0,0.0967741935483871,0.8812694679618707,0.0,0.0,24.0,0.041666666666666664,0.29375648932062354,35.14,1.5376514138626263,7.8312389994359775,82.0,13.0,y,Eberechi Eze
7,Jordan Ayew,CRY,F,7400,3.7888888888888888,0,0,4,3,2,0,39,8,6,5,4,0,5.590029325513196,5.590029325513196,0.5,3.7,0.13513513513513511,0.20779073160305758,0.0,1.8,0.0,0.0,9.10645116893933,4.220278666134002,31.0,0.12903225806451613,1.1750259572824941,0.75,0.8812694679618707,24.0,0.0,0.0,35.14,1.5376514138626263,7.67920274127494,85.25,0.0,y,Jordan Ayew
8,Joe Bryan,FUL,D,8600,3.7333333333333334,0,0,3,1,12,2,141,5,4,6,8,1,8.094642857142857,7.692857142857142,0.0,4.799999999999999,0.0,0.0,0.2,3.2,0.0625,0.06985290505488828,12.056006942679694,3.7638969274756224,58.0,0.05172413793103448,0.6235865660006739,0.3333333333333333,0.20786218866689127,44.0,0.045454545454545456,0.41572437733378254,35.29,1.6764697213173183,7.346290562330677,84.0,0.0,y,Joe Bryan
9,Tom Cairney,FUL,M,6000,4.0,0,0,2,1,8,7,311,8,3,2,0,2,7.58,6.83,0.0,4.799999999999999,0.0,0.0,0.4,3.2,0.125,0.13970581010977656,12.056006942679694,3.7638969274756224,58.0,0.034482758620689655,0.41572437733378254,0.5,0.20786218866689127,44.0,0.1590909090909091,1.455035320668239,35.29,1.6764697213173183,7.246856747327572,90.0,0.0,y,Tom Cairney
10,Ola Aina,FUL,D,7200,2.0,0,0,0,0,6,1,136,3,1,1,4,0,6.71,6.71,0.0,4.799999999999999,0.0,0.0,0.0,3.2,0.0,0.0,12.056006942679694,3.7638969274756224,58.0,0.0,0.0,0.0,0.0,44.0,0.022727272727272728,0.20786218866689127,35.29,1.6764697213173183,6.417862188666891,90.0,0.0,y,Ola Aina
11,Kenny Tete,FUL,D,8800,1.4222222222222223,0,1,0,0,10,4,57,1,3,2,0,1,9.590625,12.7546875,0.0,4.799999999999999,0.0,0.0,0.5,3.2,0.15625,0.1746322626372207,12.056006942679694,3.7638969274756224,58.0,0.0,0.0,0.0,0.0,44.0,0.09090909090909091,0.8314487546675651,35.29,1.6764697213173183,5.94924233049089,64.0,0.0,y,Kenny Tete
