player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Aboubakar Kamara,FUL,DELETE,DELETE,195.0,0.0,0.0,3.0,1.0,10.0,3.0,62.0,3.0,5.0,0.0,1.0,1.0,0.3,0.2,DELETE,DELETE,DELETE
Aleksandar Mitrovic,FUL,DELETE,DELETE,388.0,2.0,0.0,19.0,7.0,2.0,2.0,71.0,7.0,10.0,1.0,0.0,1.0,2.9000000000000004,0.4,DELETE,DELETE,DELETE
Andre-Frank Zambo Anguissa,FUL,DELETE,DELETE,388.0,0.0,1.0,3.0,0.0,4.0,7.0,239.0,3.0,5.0,8.0,12.0,1.0,0.1,0.5,DELETE,DELETE,DELETE
Bobby Reid,FUL,DELETE,DELETE,206.0,1.0,0.0,3.0,1.0,3.0,0.0,54.0,1.0,2.0,3.0,0.0,1.0,0.2,0.0,DELETE,DELETE,DELETE
Denis Odoi,FUL,DELETE,DELETE,270.0,0.0,0.0,2.0,1.0,4.0,1.0,153.0,4.0,7.0,0.0,1.0,1.0,0.0,0.1,DELETE,DELETE,DELETE
Harrison Reed,FUL,DELETE,DELETE,159.0,0.0,0.0,2.0,1.0,0.0,1.0,110.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Ivan Cavaleiro,FUL,DELETE,DELETE,426.0,0.0,0.0,4.0,0.0,15.0,8.0,123.0,8.0,6.0,6.0,2.0,1.0,0.1,0.5,DELETE,DELETE,DELETE
Joe Bryan,FUL,DELETE,DELETE,336.0,0.0,0.0,3.0,1.0,12.0,2.0,141.0,5.0,4.0,6.0,8.0,1.0,0.0,0.2,DELETE,DELETE,DELETE
Josh Onomah,FUL,DELETE,DELETE,131.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Marek Rodak,FUL,DELETE,DELETE,90.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Michael Hector,FUL,DELETE,DELETE,237.0,0.0,0.0,1.0,0.0,0.0,1.0,136.0,3.0,3.0,5.0,0.0,1.0,0.1,0.0,DELETE,DELETE,DELETE
Neeskens Kebano,FUL,DELETE,DELETE,118.0,0.0,0.0,6.0,0.0,4.0,0.0,33.0,1.0,3.0,1.0,0.0,0.0,0.30000000000000004,0.0,DELETE,DELETE,DELETE
Tim Ream,FUL,DELETE,DELETE,360.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Tom Cairney,FUL,DELETE,DELETE,360.0,0.0,0.0,2.0,1.0,8.0,7.0,311.0,8.0,3.0,2.0,0.0,2.0,0.0,0.4,DELETE,DELETE,DELETE
Alphonse Areola,FUL,DELETE,DELETE,360.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Kenny Tete,FUL,DELETE,DELETE,128.0,0.0,1.0,0.0,0.0,10.0,4.0,57.0,1.0,3.0,2.0,0.0,1.0,0.0,0.5,DELETE,DELETE,DELETE
Mario Lemina,FUL,DELETE,DELETE,31.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Maxime Le Marchand,FUL,DELETE,DELETE,123.0,0.0,0.0,1.0,0.0,0.0,0.0,78.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,DELETE,DELETE,DELETE
Ademola Lookman,FUL,DELETE,DELETE,114.0,1.0,0.0,3.0,2.0,3.0,4.0,53.0,2.0,1.0,2.0,1.0,0.0,0.4,0.30000000000000004,DELETE,DELETE,DELETE
Antonee Robinson,FUL,DELETE,DELETE,180.0,0.0,0.0,1.0,1.0,6.0,2.0,94.0,1.0,1.0,0.0,2.0,0.0,0.1,0.1,DELETE,DELETE,DELETE
