,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,James Rodriguez,EVE,M/F,11200,3.7333333333333334,2,2,8,4,7,7,148,12,5,1,1,1,10.141071428571427,18.310714285714287,0.375,1.2800442477876106,0.29295862283521723,0.5844524525562584,0.2,0.8534662576687118,0.23433849692700282,0.3117079746966712,12.378581428388983,5.3659678179140435,38.0,0.21052631578947367,2.6060171428187333,0.5,1.3030085714093667,26.0,0.2692307692307692,2.2802649999663913,51.28,1.995,18.2440630879371,84.0,0.0,y,James Rodriguez
1,Ademola Lookman,FUL,F,8000,4.2555555555555555,1,0,13,5,9,8,130,7,4,6,1,1,10.903394255874673,12.900783289817232,0.374934725848564,0.8795745588281063,0.42626827036482856,0.40069217414293884,0.11716710182767624,0.6565460926878239,0.1784598265568951,0.12521630441966836,10.748640137379919,3.5322586706513626,33.0,0.3939393939393939,4.234312781392089,0.38461538461538464,1.6285818389969573,40.0,0.2,2.605730942395132,25.0,0.94,17.65576157981774,89.75,24.0,y,Ademola Lookman
2,Dominic Calvert-Lewin,EVE,F,10200,5.0,3,0,14,7,6,4,80,7,5,1,1,1,7.359999999999999,13.060000000000002,0.38,1.2800442477876106,0.2968647378063535,0.5922451519236752,0.06,0.8534662576687118,0.07030154907810084,0.09351239240900135,12.378581428388983,5.3659678179140435,38.0,0.3684210526315789,4.5605299999327835,0.5,2.2802649999663918,26.0,0.15384615384615385,1.3030085714093667,51.28,1.995,16.6873294449993,90.0,0.0,y,Dominic Calvert-Lewin
3,Tom Cairney,FUL,M,8400,5.0,1,0,7,3,13,14,329,11,0,2,1,0,10.636,12.636,0.08,0.8795745588281063,0.09095306270179906,0.08549587893969111,0.18,0.6565460926878239,0.27416201543916097,0.192365727614305,10.748640137379919,3.5322586706513626,33.0,0.21212121212121213,2.2800145745957403,0.42857142857142855,0.9771491033981744,40.0,0.35,4.560029149191481,25.0,0.94,15.662345982268137,90.0,0.0,y,Tom Cairney
4,Antonee Robinson,FUL,D,5600,5.0,0,0,1,1,26,7,250,3,3,5,6,0,8.34,8.34,0.02,0.8795745588281063,0.022738265675449766,0.02137396973492278,0.06,0.6565460926878239,0.09138733847972032,0.06412190920476833,10.748640137379919,3.5322586706513626,33.0,0.030303030303030304,0.3257163677993915,1.0,0.3257163677993915,40.0,0.175,2.2800145745957403,25.0,0.94,10.069918462772362,90.0,0.0,y,Antonee Robinson
5,Abdoulaye Doucoure,EVE,M,4600,4.488888888888889,0,1,7,1,1,4,214,4,6,8,2,2,6.01039603960396,6.6787128712871295,0.12000000000000001,1.2800442477876106,0.09374675930726953,0.18702478481800272,0.18000000000000002,0.8534662576687118,0.21090464723430255,0.2805371772270041,12.378581428388983,5.3659678179140435,38.0,0.18421052631578946,2.2802649999663918,0.14285714285714285,0.32575214285234166,26.0,0.15384615384615385,1.3030085714093667,51.28,1.995,9.858496625770151,80.8,0.0,y,Abdoulaye Doucoure
6,Richarlison,EVE,M/F,10600,1.2555555555555555,0,0,3,0,1,1,18,2,2,1,0,0,5.623008849557523,5.623008849557523,0.31504424778761064,1.2800442477876106,0.24611981057070761,0.49100902208856173,0.0,0.8534662576687118,0.0,0.0,12.378581428388983,5.3659678179140435,38.0,0.07894736842105263,0.977256428557025,0.0,0.0,26.0,0.038461538461538464,0.32575214285234166,51.28,1.995,8.623187287870206,89.0,0.0,y,Richarlison
7,Lucas Digne,EVE,D,8800,3.7888888888888888,0,1,1,0,25,3,182,4,8,1,0,0,6.899120234604106,8.482697947214076,0.025,1.2800442477876106,0.019530574855681153,0.0389634968370839,0.12499999999999999,0.8534662576687118,0.14646156057937673,0.19481748418541947,12.378581428388983,5.3659678179140435,38.0,0.02631578947368421,0.32575214285234166,0.0,0.0,26.0,0.11538461538461539,0.977256428557025,51.28,1.995,8.396548444892723,85.25,0.0,y,Lucas Digne
8,Bobby Reid,FUL,M/F,5800,2.922222222222222,1,0,5,2,3,1,76,2,4,3,1,1,5.174144486692016,8.082889733840306,0.31178707224334606,0.8795745588281063,0.3544748641419926,0.333206372293473,0.0,0.6565460926878239,0.0,0.0,10.748640137379919,3.5322586706513626,33.0,0.15151515151515152,1.6285818389969575,0.4,0.651432735598783,40.0,0.025,0.3257163677993915,25.0,0.94,7.690038011337466,82.0,8.5,y,Bobby Reid
9,Ola Aina,FUL,D,5000,5.0,1,0,1,1,17,3,270,6,4,3,7,0,6.56,8.559999999999999,0.02,0.8795745588281063,0.022738265675449766,0.02137396973492278,0.02,0.6565460926878239,0.030462446159906776,0.021373969734922782,10.748640137379919,3.5322586706513626,33.0,0.030303030303030304,0.3257163677993915,1.0,0.3257163677993915,40.0,0.075,0.9771491033981745,25.0,0.94,7.530565354755722,90.0,0.0,y,Ola Aina
