Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Aboubakar Kamara,FUL,F,6200,155,0,0,2,1,11,3,53,2,4,1,1,1,0.3,0.2,57,15.33333333,
Ademola Lookman,FUL,F,9600,204,1,0,9,3,4,6,72,4,2,5,1,0,0.7,0.4,90,8,y
Aleksandar Mitrovic,FUL,F,10000,450,2,0,23,6,2,4,82,7,9,2,0,1,3.6,0.5,90,,y
Alphonse Areola,FUL,GK,5600,450,0,0,0,0,0,0,108,0,0,0,0,0,0,0,90,,
Andre-Frank Zambo Anguissa,FUL,M,4600,425,0,1,5,0,5,6,291,3,7,12,14,1,0.2,0.5,85,,y
Antonee Robinson,FUL,D,6000,270,0,0,1,1,17,6,157,2,1,1,4,0,0.1,0.3,90,0,y
Bobby Reid,FUL,M/F,6400,207,1,0,2,1,3,0,53,1,3,3,0,1,0.2,0,78.5,16.66666667,y
Denis Odoi,FUL,D,3400,180,0,0,1,0,3,1,102,3,7,0,1,1,0,0.1,90,0,
Harrison Reed,FUL,M,4400,81,0,1,2,1,0,2,58,2,0,1,2,0,0,0,69,3,
Ivan Cavaleiro,FUL,M/F,7600,336,0,0,4,0,13,6,95,4,5,5,2,1,0.1,0.4,84,0,
Joe Bryan,FUL,D,8200,246,0,0,3,1,10,2,95,5,4,5,8,1,0,0.2,82,,
Josh Onomah,FUL,M,4400,57,0,0,0,0,0,0,20,0,1,1,0,0,0,0,57,0,
Kenny Tete,FUL,D,9200,128,0,1,0,0,10,4,57,1,3,2,0,1,0,0.5,90,0,
Mario Lemina,FUL,M,4400,109,0,0,1,0,1,0,70,2,4,3,1,0,0,0,78,7.75,y
Maxime Le Marchand,FUL,D,3800,123,0,0,1,0,0,0,78,1,3,1,0,2,0,0,90,8.25,
Michael Hector,FUL,D,3400,147,0,0,1,0,0,1,83,2,0,2,0,0,0.1,0,73.5,0,
Neeskens Kebano,FUL,M,8800,56,0,0,5,0,3,0,14,0,2,0,0,0,0.2,0,,11.2,
Ola Aina,FUL,D,6600,270,0,0,0,0,14,2,213,6,3,1,6,0,0,0.1,90,0,y
Ruben Loftus-Cheek,FUL,M,4800,153,0,0,2,1,1,1,83,2,1,4,1,0,0.1,0,76.5,0,
Tim Ream,FUL,D,3600,360,0,0,0,0,0,0,206,0,2,2,2,0,0,0,90,0,
Tom Cairney,FUL,M,7800,360,1,0,5,3,7,12,314,8,1,2,0,1,0.1,0.6,90,0,y
Tosin Adarabioyo,FUL,D,4000,180,0,0,2,0,0,0,118,1,1,2,2,0,0.2,0,90,0,y
Branislav Ivanovic,WBA,D,3800,180,0,0,3,1,0,0,69,0,3,1,1,0,0.4,0,90,0,y
Callum Robinson,WBA,M/F,8000,260,2,0,4,3,3,2,47,0,1,1,0,0,0.3,0.1,71.33333333,23,
Conor Gallagher,WBA,M,5400,180,0,0,2,0,4,1,74,4,3,5,0,0,0,0,90,0,y
Conor Townsend,WBA,D,5200,360,0,0,1,1,9,3,180,4,2,8,3,0,0,0.2,90,0,y
Dara O'Shea,WBA,D,4800,270,0,0,1,0,0,1,74,6,2,6,2,0,0,0,90,0,
Darnell Furlong,WBA,D,7200,360,0,1,3,1,13,3,114,9,4,3,2,1,0.1,0.6,90,0,y
Filip Krovinovic,WBA,M,7000,195,0,0,3,2,1,0,125,4,2,3,1,0,0.1,0,84,9,y
Grady Diangana,WBA,M,8600,385,1,0,6,4,5,3,94,16,4,3,3,0,0.2,0,77,,y
Hal Robson-Kanu,WBA,M/F,5800,56,0,0,2,1,1,1,4,3,2,0,0,0,0,0,,11.2,
Jake Livermore,WBA,M,4200,422,0,0,2,0,0,1,116,1,10,3,5,2,0.2,0,84.4,,y
Karlan Grant,WBA,F,9000,155,1,0,2,1,1,0,18,2,0,0,0,0,0.5,0,77.5,0,y
Kieran Gibbs,WBA,D,3600,44,0,0,0,0,0,0,27,0,2,0,1,0,0,0,44,0,
Kyle Bartley,WBA,D,3600,270,1,0,1,1,0,0,48,1,2,1,0,0,0.5,0,90,0,
Kyle Edwards,WBA,M/F,5000,93,0,0,1,1,0,0,22,1,1,0,1,0,0,0,45,12,
Matheus Pereira,WBA,M,10800,426,1,2,8,3,8,9,144,15,6,5,3,0,0.3,0.5,85.2,,y
Matt Phillips,WBA,M,4600,47,0,0,1,0,4,0,9,0,3,1,0,1,0,0,,9.4,
Romaine Sawyers,WBA,M,4800,239,0,0,2,0,1,2,91,0,1,1,4,0,0,0.1,75.66666667,6,
Sam Field,WBA,M,4200,62,0,0,0,0,0,0,15,1,2,7,0,0,0,0,,12.4,
Sam Johnstone,WBA,GK,5000,450,0,0,0,0,0,0,98,1,0,0,0,0,0,0,90,,
Semi Ajayi,WBA,D,3400,360,0,0,0,0,0,0,95,1,1,4,1,0,0,0,90,0,y
