,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Aleksandar Mitrovic,FUL,F,10000,5.0,2,0,23,6,2,4,82,7,9,2,0,1,8.108,11.808,0.72,1.3030022733731175,0.5525700259417939,0.783369983049556,0.1,0.6598039215686274,0.15156017830609214,0.10880138653466057,11.648773613026071,4.177670162922443,48.0,0.4791666666666667,5.581704022908326,0.2608695652173913,1.4560967016282589,36.0,0.1111111111111111,0.9707311344188392,39.77,1.4176845400081,17.703040008658945,90.0,0.0,y,Aleksandar Mitrovic
1,Matheus Pereira,WBA,M,10800,4.733333333333333,1,2,8,3,8,9,144,15,6,5,3,0,9.925352112676057,14.573239436619719,0.06,0.658076923076923,0.09117475160724724,0.15604460150095667,0.09999999999999999,0.3,0.3333333333333333,0.26007433583492773,10.514939617785513,4.552138288686091,30.0,0.26666666666666666,2.8039838980761367,0.375,1.0514939617785513,20.0,0.45,3.1544818853356538,32.76,1.711489186975236,15.526851775209476,85.2,0.0,y,Matheus Pereira
2,Ademola Lookman,FUL,F,9600,2.2666666666666666,1,0,9,3,4,6,72,4,2,5,1,0,13.561764705882354,17.97352941176471,0.3088235294117647,1.3030022733731175,0.23700920230346556,0.33600428194527526,0.17647058823529413,0.6598039215686274,0.26745913818722145,0.19200244682587161,11.648773613026071,4.177670162922443,48.0,0.1875,2.184145052442388,0.3333333333333333,0.7280483508141293,36.0,0.16666666666666666,1.4560967016282587,39.77,1.4176845400081,14.500935840586877,90.0,8.0,y,Ademola Lookman
3,Tom Cairney,FUL,M,7800,4.0,1,0,5,3,7,12,314,8,1,2,0,1,10.17,12.295,0.025,1.3030022733731175,0.01918645923409007,0.02720034663366514,0.15,0.6598039215686274,0.22734026745913818,0.16320207980199083,11.648773613026071,4.177670162922443,48.0,0.10416666666666667,1.213413918023549,0.6,0.7280483508141294,36.0,0.3333333333333333,2.9121934032565173,39.77,1.4176845400081,10.899871617242793,90.0,0.0,y,Tom Cairney
4,Darnell Furlong,WBA,D,7200,4.0,0,1,3,1,13,3,114,9,4,3,2,1,7.345000000000001,8.47,0.025,0.658076923076923,0.037989479836353014,0.06501858395873195,0.15,0.3,0.5,0.3901115037523916,10.514939617785513,4.552138288686091,30.0,0.1,1.0514939617785515,0.3333333333333333,0.35049798725951714,20.0,0.15,1.0514939617785513,32.76,1.711489186975236,10.66434077291829,90.0,0.0,y,Darnell Furlong
5,Grady Diangana,WBA,M,8600,4.277777777777778,1,0,6,4,5,3,94,16,4,3,3,0,8.6212987012987,10.958961038961037,0.04,0.658076923076923,0.06078316773816483,0.10402973433397111,0.0,0.3,0.0,0.0,10.514939617785513,4.552138288686091,30.0,0.2,2.102987923557103,0.6666666666666666,1.4019919490380686,20.0,0.15,1.0514939617785513,32.76,1.711489186975236,10.372771177713433,77.0,0.0,y,Grady Diangana
6,Antonee Robinson,FUL,D,6000,3.0,0,0,1,1,17,6,157,2,1,1,4,0,9.18,9.18,0.03333333333333333,1.3030022733731175,0.02558194564545342,0.03626712884488685,0.09999999999999999,0.6598039215686274,0.1515601783060921,0.10880138653466055,11.648773613026071,4.177670162922443,48.0,0.020833333333333332,0.2426827836047098,1.0,0.2426827836047098,36.0,0.16666666666666666,1.4560967016282587,39.77,1.4176845400081,9.470275209827843,90.0,0.0,y,Antonee Robinson
7,Karlan Grant,WBA,F,9000,1.7222222222222223,1,0,2,1,1,0,18,2,0,0,0,0,3.518709677419355,9.32516129032258,0.24999999999999997,0.658076923076923,0.3798947983635301,0.6501858395873193,0.0,0.3,0.0,0.0,10.514939617785513,4.552138288686091,30.0,0.06666666666666667,0.7009959745190342,0.5,0.3504979872595171,20.0,0.0,0.0,32.76,1.711489186975236,9.083352357651744,77.5,0.0,y,Karlan Grant
8,Andre-Frank Zambo Anguissa,FUL,M,4600,4.722222222222222,0,1,5,0,5,6,291,3,7,12,14,1,8.220705882352942,9.17364705882353,0.039999999999999994,1.3030022733731175,0.030698334774544103,0.04352055461386421,0.09999999999999999,0.6598039215686274,0.1515601783060921,0.10880138653466055,11.648773613026071,4.177670162922443,48.0,0.10416666666666667,1.213413918023549,0.0,0.0,36.0,0.16666666666666666,1.4560967016282587,39.77,1.4176845400081,9.021524484998414,85.0,0.0,y,Andre-Frank Zambo Anguissa
9,Ola Aina,FUL,D,6600,3.0,0,0,0,0,14,2,213,6,3,1,6,0,8.186666666666666,8.186666666666666,0.0,1.3030022733731175,0.0,0.0,0.03333333333333333,0.6598039215686274,0.05052005943536404,0.03626712884488685,11.648773613026071,4.177670162922443,48.0,0.0,0.0,0.0,0.0,36.0,0.05555555555555555,0.4853655672094196,39.77,1.4176845400081,8.22296834027874,90.0,0.0,y,Ola Aina
10,Conor Townsend,WBA,D,5200,4.0,0,0,1,1,9,3,180,4,2,8,3,0,6.85,6.85,0.0,0.658076923076923,0.0,0.0,0.05,0.3,0.16666666666666669,0.1300371679174639,10.514939617785513,4.552138288686091,30.0,0.03333333333333333,0.3504979872595171,1.0,0.3504979872595171,20.0,0.15,1.0514939617785513,32.76,1.711489186975236,8.132712943802368,90.0,0.0,y,Conor Townsend
11,Branislav Ivanovic,WBA,D,3800,2.0,0,0,3,1,0,0,69,0,3,1,1,0,2.69,2.69,0.2,0.658076923076923,0.3039158386908241,0.5201486716698556,0.0,0.3,0.0,0.0,10.514939617785513,4.552138288686091,30.0,0.1,1.0514939617785515,0.3333333333333333,0.35049798725951714,20.0,0.0,0.0,32.76,1.711489186975236,7.293478665736625,90.0,0.0,y,Branislav Ivanovic
12,Filip Krovinovic,WBA,M,7000,2.1666666666666665,0,0,3,2,1,0,125,4,2,3,1,0,6.7846153846153845,6.7846153846153845,0.04307692307692308,0.658076923076923,0.06545879602571597,0.11203202159043044,0.0,0.3,0.0,0.0,10.514939617785513,4.552138288686091,30.0,0.1,1.0514939617785515,0.6666666666666666,0.7009959745190343,20.0,0.0,0.0,32.76,1.711489186975236,7.0512716906634285,84.0,9.0,y,Filip Krovinovic
13,Conor Gallagher,WBA,M,5400,2.0,0,0,2,0,4,1,74,4,3,5,0,0,7.39,7.39,0.0,0.658076923076923,0.0,0.0,0.0,0.3,0.0,0.0,10.514939617785513,4.552138288686091,30.0,0.06666666666666667,0.7009959745190342,0.0,0.0,20.0,0.05,0.3504979872595171,32.76,1.711489186975236,6.941493961778551,90.0,0.0,y,Conor Gallagher
14,Tosin Adarabioyo,FUL,D,4000,2.0,0,0,2,0,0,0,118,1,1,2,2,0,3.9299999999999997,3.9299999999999997,0.1,1.3030022733731175,0.07674583693636028,0.10880138653466057,0.0,0.6598039215686274,0.0,0.0,11.648773613026071,4.177670162922443,48.0,0.041666666666666664,0.4853655672094196,0.0,0.0,36.0,0.0,0.0,39.77,1.4176845400081,4.5033794325560255,90.0,0.0,y,Tosin Adarabioyo
15,Mario Lemina,FUL,M,4400,1.211111111111111,0,0,1,0,1,0,70,2,4,3,1,0,5.4495412844036695,5.4495412844036695,0.0,1.3030022733731175,0.0,0.0,0.0,0.6598039215686274,0.0,0.0,11.648773613026071,4.177670162922443,48.0,0.020833333333333332,0.2426827836047098,0.0,0.0,36.0,0.0,0.0,39.77,1.4176845400081,4.250022233145994,78.0,7.75,y,Mario Lemina
16,Bobby Reid,FUL,M/F,6400,2.3,1,0,2,1,3,0,53,1,3,3,0,1,3.7652173913043483,7.460869565217392,0.07584541062801933,1.3030022733731175,0.05820819516429258,0.08252085838619183,0.0,0.6598039215686274,0.0,0.0,11.648773613026071,4.177670162922443,48.0,0.041666666666666664,0.4853655672094196,0.5,0.2426827836047098,36.0,0.0,0.0,39.77,1.4176845400081,3.1308414757388503,78.5,16.66666667,y,Bobby Reid
17,Jake Livermore,WBA,M,4200,4.688888888888889,0,0,2,0,0,1,116,1,10,3,5,2,1.4545023696682464,0.8146919431279621,0.04000000000000001,0.658076923076923,0.060783167738164834,0.10402973433397113,0.0,0.3,0.0,0.0,10.514939617785513,4.552138288686091,30.0,0.06666666666666667,0.7009959745190342,0.0,0.0,20.0,0.05,0.3504979872595171,32.76,1.711489186975236,2.255791305118263,84.4,0.0,y,Jake Livermore
18,Semi Ajayi,WBA,D,3400,4.0,0,0,0,0,0,0,95,1,1,4,1,0,1.725,1.725,0.0,0.658076923076923,0.0,0.0,0.0,0.3,0.0,0.0,10.514939617785513,4.552138288686091,30.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,32.76,1.711489186975236,1.725,90.0,0.0,y,Semi Ajayi
