player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Aboubakar Kamara,FUL,DELETE,DELETE,155.0,0.0,0.0,2.0,1.0,11.0,3.0,53.0,2.0,4.0,1.0,1.0,1.0,0.3,0.2,DELETE,DELETE,DELETE
Aleksandar Mitrovic,FUL,DELETE,DELETE,450.0,2.0,0.0,23.0,6.0,2.0,4.0,82.0,7.0,9.0,2.0,0.0,1.0,3.6000000000000005,0.5,DELETE,DELETE,DELETE
Alphonse Areola,FUL,DELETE,DELETE,450.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Andre-Frank Zambo Anguissa,FUL,DELETE,DELETE,425.0,0.0,1.0,5.0,0.0,5.0,6.0,291.0,3.0,7.0,12.0,14.0,1.0,0.2,0.5,DELETE,DELETE,DELETE
Bobby Reid,FUL,DELETE,DELETE,207.0,1.0,0.0,2.0,1.0,3.0,0.0,53.0,1.0,3.0,3.0,0.0,1.0,0.2,0.0,DELETE,DELETE,DELETE
Denis Odoi,FUL,DELETE,DELETE,180.0,0.0,0.0,1.0,0.0,3.0,1.0,102.0,3.0,7.0,0.0,1.0,1.0,0.0,0.1,DELETE,DELETE,DELETE
Harrison Reed,FUL,DELETE,DELETE,81.0,0.0,1.0,2.0,1.0,0.0,2.0,58.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Ivan Cavaleiro,FUL,DELETE,DELETE,336.0,0.0,0.0,4.0,0.0,13.0,6.0,95.0,4.0,5.0,5.0,2.0,1.0,0.1,0.4,DELETE,DELETE,DELETE
Joe Bryan,FUL,DELETE,DELETE,246.0,0.0,0.0,3.0,1.0,10.0,2.0,95.0,5.0,4.0,5.0,8.0,1.0,0.0,0.2,DELETE,DELETE,DELETE
Josh Onomah,FUL,DELETE,DELETE,57.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Kenny Tete,FUL,DELETE,DELETE,128.0,0.0,1.0,0.0,0.0,10.0,4.0,57.0,1.0,3.0,2.0,0.0,1.0,0.0,0.5,DELETE,DELETE,DELETE
Mario Lemina,FUL,DELETE,DELETE,109.0,0.0,0.0,1.0,0.0,1.0,0.0,70.0,2.0,4.0,3.0,1.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Michael Hector,FUL,DELETE,DELETE,147.0,0.0,0.0,1.0,0.0,0.0,1.0,83.0,2.0,0.0,2.0,0.0,0.0,0.1,0.0,DELETE,DELETE,DELETE
Neeskens Kebano,FUL,DELETE,DELETE,56.0,0.0,0.0,5.0,0.0,3.0,0.0,14.0,0.0,2.0,0.0,0.0,0.0,0.2,0.0,DELETE,DELETE,DELETE
Maxime Le Marchand,FUL,DELETE,DELETE,123.0,0.0,0.0,1.0,0.0,0.0,0.0,78.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,DELETE,DELETE,DELETE
Tim Ream,FUL,DELETE,DELETE,360.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Tom Cairney,FUL,DELETE,DELETE,360.0,1.0,0.0,5.0,3.0,7.0,12.0,314.0,8.0,1.0,2.0,0.0,1.0,0.1,0.6000000000000001,DELETE,DELETE,DELETE
Ademola Lookman,FUL,DELETE,DELETE,204.0,1.0,0.0,9.0,3.0,4.0,6.0,72.0,4.0,2.0,5.0,1.0,0.0,0.7,0.4,DELETE,DELETE,DELETE
Antonee Robinson,FUL,DELETE,DELETE,270.0,0.0,0.0,1.0,1.0,17.0,6.0,157.0,2.0,1.0,1.0,4.0,0.0,0.1,0.30000000000000004,DELETE,DELETE,DELETE
