Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,Team_Odds,FPPG_w_Odds,FPPG/$1000,Floor_w_Odds,Floor/$1000,FPP90_w_Odds,FPP90/$1000,Floor90_w_Odds,Floor90/$1000,Goal_Odds,Pts_w_GOdds,Start_Mins,Sub_Mins,Starting
Alessandro Bastoni,INT,D,3600,4.77,0,1,1,1,1,2,232,3,5,3,5,0,0,0.434782609,10.54,2.93,9.34,2.59,10.84,3.01,9.58,2.66,,,86.5,,y
Alexis Sanchez,INT,M/F,8000,1.41,0,0,3,1,2,2,36,2,4,2,2,1,0,0.434782609,8.26,1.03,8.26,1.03,17.88,2.24,17.88,2.24,,,59,19,
Antonio Candreva,INT,M/F,8000,0.66,0,0,0,0,3,1,32,0,0,1,0,0,0,0.434782609,7.34,0.92,7.34,0.92,26.35,3.29,26.35,3.29,,,59,1.4,
Ashley Young,INT,M,8200,3.84,1,2,3,2,10,4,97,4,3,0,6,0,0,0.434782609,15.9,1.94,11.5,1.4,19.34,2.36,13.61,1.66,,,83.5,9.5,y
Borja Valero,INT,M,3600,0.98,0,0,1,0,0,1,30,2,3,1,2,0,0,0.434782609,7.23,2.01,7.23,2.01,18.59,5.16,18.59,5.16,,,88,5.4,
Christian Eriksen,INT,M,9400,0.6,1,0,4,4,3,3,24,0,2,1,0,1,0,0.434782609,10.81,1.15,8.81,0.94,57.27,6.09,40.61,4.32,,,63,10.8,
Cristiano Biraghi,INT,M,8600,1.38,0,1,1,0,2,1,38,1,3,0,2,1,0,0.434782609,8.17,0.95,6.97,0.81,17.87,2.08,13.52,1.57,,,80.5,11.5,
Danilo DAmbrosio,INT,M,5600,4.3,3,0,5,4,7,1,147,3,8,5,5,1,0,0.434782609,17.2,3.07,11.2,2,19.27,3.44,12.3,2.2,,,77.4,27,y
Diego Carlos,SEV,D,3000,4,0,0,0,0,0,2,201,1,6,3,6,3,0,0.28,5.7,1.9,5.7,1.9,6.41,2.14,6.41,2.14,,,90,0,y
Diego Godin,INT,D,4400,4.34,0,0,1,0,2,1,177,2,6,1,8,0,0,0.434782609,8.52,1.94,8.52,1.94,9.13,2.08,9.13,2.08,,,90,31,y
Ever Banega,SEV,M,10000,3.33,0,1,4,1,16,10,280,10,5,5,1,1,0,0.28,15.42,1.54,14.22,1.42,21.7,2.17,19.9,1.99,,,87.75,15,y
Fernando,SEV,M,3200,3.19,0,0,0,0,0,1,137,2,2,9,3,0,0,0.28,7.65,2.39,7.65,2.39,10.36,3.24,10.36,3.24,,,90,8.5,y
Franco Vazquez,SEV,M/F,4600,1.06,0,0,1,0,1,1,57,1,5,1,0,0,0,0.28,5.33,1.16,5.33,1.16,14.55,3.16,14.55,3.16,,,60,8.8,
Jesus Navas,SEV,D,6200,5,0,1,1,0,30,7,321,3,4,3,9,0,0,0.28,16.38,2.64,15.18,2.45,16.38,2.64,15.18,2.45,,,90,,y
Joan Jordan,SEV,M,4000,4.71,0,0,5,1,6,8,284,3,10,7,4,1,0,0.28,10.83,2.71,10.83,2.71,11.32,2.83,11.32,2.83,,,82.16666667,,y
Jules Kounde,SEV,D,4600,5,0,0,5,2,0,0,288,3,3,4,9,1,0,0.28,8.85,1.92,8.85,1.92,8.85,1.92,8.85,1.92,,,90,,y
