Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,FPPG,FPP90,Floor,Floor90,FPPG-Floor,FPP90-Floor90,Team_Odds,FPPG_w_Odds,FPPG/$1000,Floor_w_Odds,Floor/$1000,FPP90_w_Odds,FPP90/$1000,Floor90_w_Odds,Floor90/$1000,Starting
J. Moraes,SHK,F,11000,4.93,4,1,20,10,2,4,77,10,9,7,1,0,0,19.19,19.45,9.99,10.12,9.20,9.32,0.38,17.99,1.64,8.79,0.80,18.25,1.66,8.92,0.81,y
Marlos,SHK,M,9400,3.22,0,3,9,6,9,8,155,7,0,1,1,0,0,11.78,18.28,8.18,12.69,3.60,5.59,0.38,10.58,1.13,6.98,0.74,17.08,1.82,11.49,1.22,y
A. Young,INT,M,9000,3.20,1,2,3,2,9,3,86,5,1,0,6,0,0,9.10,14.23,4.70,7.35,4.40,6.88,0.62,10.30,1.14,5.90,0.66,15.43,1.71,8.55,0.95,y
R. Lukaku,INT,F,12000,4.98,4,0,13,6,0,8,87,6,8,0,0,0,0,14.15,14.21,6.15,6.18,8.00,8.04,0.62,15.35,1.28,7.35,0.61,15.41,1.28,7.38,0.61,y
A. Patrick,SHK,M,8200,4.72,3,0,6,5,9,10,293,6,4,5,6,1,0,14.73,15.60,8.73,9.25,6.00,6.35,0.38,13.53,1.65,7.53,0.92,14.40,1.76,8.05,0.98,y
L. Martinez,INT,F,9600,3.29,1,0,9,3,1,3,44,8,5,2,1,0,0,6.92,10.51,4.92,7.47,2.00,3.04,0.62,8.12,0.85,6.12,0.64,11.71,1.22,8.67,0.90,y
D. D'Ambrosio,INT,M,5000,3.71,2,0,3,3,6,0,124,2,4,4,3,1,0,7.34,9.88,3.34,4.49,4.00,5.39,0.62,8.54,1.71,4.54,0.91,11.08,2.22,5.69,1.14,y
Dodo,SHK,D,6000,4.00,1,1,1,1,8,3,190,7,1,5,3,0,0,8.68,10.85,5.48,6.85,3.20,4.00,0.38,7.48,1.25,4.28,0.71,9.65,1.61,5.65,0.94,y
N. Barella,INT,M,5400,3.99,1,1,5,1,1,4,123,7,12,4,2,2,0,6.43,8.06,3.23,4.05,3.20,4.01,0.62,7.63,1.41,4.43,0.82,9.26,1.72,5.25,0.97,y
M. Antonio,SHK,M,4200,3.87,1,0,4,1,0,6,222,9,4,3,5,0,0,7.59,9.81,5.59,7.23,2.00,2.59,0.38,6.39,1.52,4.39,1.04,8.61,2.05,6.03,1.43,y
