Player,Team,Pos,90s,Gls,Ast,Sh,SoT,Crs,PassLive,PassDead,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,Salary,FPPG,FPPG/$1000,Floor,FPPG-Floor,Team_Odds,FPPG_w_Odds,Floor_w_Odds,Opp_Def_OPRK,Starting,,,,,,,,,
Paulo Dybala\Paulo-Dybala,JUV,FWMF,32.4,17,10,137,47,148,111,18,1450,78,30,23,17,6,0,10800,23.49,2.18,16.39,7.10,0.68,25.26,18.17,22,,,,,,,,,,
Cristiano Ronaldo\Cristiano-Ronaldo,JUV,FW,44.6,35,6,253,85,55,97,3,1308,73,33,11,9,3,0,12800,21.44,1.67,12.78,8.65,0.68,23.21,14.56,22,y,,,,,,,,,
Memphis Depay\Memphis-Depay,OL,FWMF,16.6,14,2,64,29,74,29,19,513,29,13,10,3,0,0,9200,23.44,2.55,14.28,9.16,0.12,19.66,10.50,3,y,,,,,,,,,
Douglas Costa\Douglas-Costa,JUV,MF,12.1,3,5,25,11,59,39,6,410,15,13,7,8,2,0,8400,17.11,2.04,12.15,4.96,0.68,18.88,13.92,22,,,,,,,,,,
Gonzalo Higuaín\Gonzalo-Higuain,JUV,FW,28.4,11,8,98,42,16,77,0,645,21,24,11,9,3,0,8800,14.76,1.68,9.19,5.56,0.68,16.53,10.97,22,y,,,,,,,,,
Luca Zanimacchia\Luca-Zanimacchia,JUV,FW,1.3,0,0,2,1,10,4,0,44,3,0,1,0,0,0,5000,14.52,2.90,14.52,0.00,0.68,16.30,16.30,22,,,,,,,,,,
Aaron Ramsey\Aaron-Ramsey,JUV,MF,15.4,4,1,34,11,24,47,0,730,24,27,22,11,3,0,8800,13.18,1.50,10.19,2.99,0.68,14.95,11.96,22,,,,,,,,,,
Juan Cuadrado\Juan-Cuadrado,JUV,DFFW,37.5,3,6,26,7,111,100,2,2364,103,39,45,48,10,1,7400,12.28,1.66,10.52,1.76,0.68,14.05,12.29,22,y,,,,,,,,,
Rayan Cherki\Rayan-Cherki,OL,MF,5.1,3,2,11,8,10,3,0,47,11,4,5,1,0,0,3000,16.95,5.65,8.71,8.24,0.12,13.17,4.93,3,,,,,,,,,,
Miralem Pjanić\Miralem-Pjanic,JUV,MF,36.4,3,6,32,6,120,79,25,2257,37,49,41,56,11,0,6000,11.05,1.84,9.23,1.81,0.68,12.82,11.01,22,y,,,,,,,,,
Federico Bernardeschi\Federico-Bernardeschi,JUV,MF,21.4,2,1,57,11,66,44,9,619,32,33,9,15,6,0,8000,10.68,1.34,9.47,1.21,0.68,12.46,11.24,22,y,,,,,,,,,
Simone Muratore\Simone-Muratore,JUV,MF,1.8,0,0,4,2,1,6,0,124,2,3,1,3,0,0,3200,10.10,3.16,10.10,0.00,0.68,11.87,11.87,22,,,,,,,,,,
Alex Sandro\Alex-Sandro,JUV,DF,37.8,1,5,25,8,121,70,7,2086,58,56,34,61,4,0,6600,9.65,1.46,8.60,1.06,0.68,11.43,10.37,22,y,,,,,,,,,
Rodrigo Bentancur\Rodrigo-Bentancur,JUV,MF,33.7,1,7,25,6,78,59,17,1639,43,78,73,42,12,1,5000,9.60,1.92,8.05,1.54,0.68,11.37,9.83,22,y,,,,,,,,,
Bertrand Traoré\Bertrand-Traore,OL,MFFW,21.3,4,5,54,21,109,36,13,518,32,29,15,27,7,0,7200,14.84,2.06,11.56,3.29,0.12,11.06,7.78,3,,,,,,,,,,
Jean Lucas\Jean-Lucas,OL,MF,5.6,3,1,11,4,5,5,0,129,11,15,19,8,5,0,4400,14.48,3.29,8.05,6.43,0.12,10.70,4.27,3,,,,,,,,,,
Giorgio Chiellini\Giorgio-Chiellini,JUV,DF,2.2,1,0,1,1,0,2,0,97,2,4,2,1,0,0,3600,8.38,2.33,3.84,4.55,0.68,10.16,5.61,22,,,,,,,,,,
Maxwel Cornet\Maxwel-Cornet,OL,MFDF,25.6,5,5,38,17,119,34,9,584,38,23,27,34,2,0,7600,13.30,1.75,10.18,3.13,0.12,9.52,6.39,3,y,,,,,,,,,
Sami Khedira\Sami-Khedira,JUV,MF,10.8,0,1,12,3,25,21,0,401,7,20,18,6,4,0,3400,7.36,2.17,6.81,0.56,0.68,9.14,8.58,22,,,,,,,,,,
Adrien Rabiot\Adrien-Rabiot,JUV,MF,26.5,1,1,22,8,28,44,0,1172,40,58,47,35,7,1,5200,7.36,1.42,6.76,0.60,0.68,9.13,8.53,22,y,,,,,,,,,
Houssem Aouar\Houssem-Aouar,OL,FWMF,33.1,9,9,65,27,37,57,2,1098,66,34,33,20,5,0,5800,12.91,2.23,8.56,4.35,0.12,9.13,4.78,3,y,,,,,,,,,
Danilo\Danilo,JUV,DF,24,2,0,17,4,45,33,0,1382,18,28,27,36,4,1,5400,7.21,1.34,6.38,0.83,0.68,8.99,8.16,22,,,,,,,,,,
Merih Demiral\Merih-Demiral,JUV,DF,6.6,1,1,2,1,1,2,0,335,4,7,13,6,1,0,3800,6.58,1.73,4.15,2.42,0.68,8.35,5.93,22,,,,,,,,,,
Moussa Dembélé\Moussa-Dembele,OL,FW,37.9,22,6,82,32,7,44,0,428,36,75,16,7,4,0,6400,11.60,1.81,4.84,6.75,0.12,7.81,1.06,3,,,,,,,,,,
Blaise Matuidi\Blaise-Matuidi,JUV,MF,32.4,1,2,20,6,44,42,0,1119,29,58,45,30,6,0,3800,5.99,1.58,5.31,0.68,0.68,7.77,7.09,22,,,,,,,,,,
Karl Toko Ekambi\Karl-Toko-Ekambi,OL,FW,9.4,2,2,21,8,22,16,0,164,9,8,6,8,2,0,5800,11.46,1.98,8.05,3.40,0.12,7.67,4.27,3,y,,,,,,,,,
Mattia De Sciglio\Mattia-De-Sciglio,JUV,DF,8.6,0,0,1,0,16,8,0,363,5,3,11,12,1,0,4600,5.40,1.17,5.40,0.00,0.68,7.18,7.18,22,,,,,,,,,,
Melvin Bard\Melvin-Bard,OL,DF,0.5,0,0,0,0,3,2,0,40,0,0,0,1,0,0,3000,10.80,3.60,10.80,0.00,0.12,7.02,7.02,3,,,,,,,,,,
Jeff Reine-Adélaïde\Jeff-Reine-Adelaide,OL,MFFW,11.8,2,1,9,3,21,38,2,498,22,16,11,8,3,0,3400,10.78,3.17,8.57,2.20,0.12,7.00,4.79,3,,,,,,,,,,
Gianluca Frabotta\Gianluca-Frabotta,JUV,DF,1,0,0,1,0,3,0,0,53,0,2,1,1,0,0,3600,4.66,1.29,4.66,0.00,0.68,6.43,6.43,22,,,,,,,,,,
Matthijs de Ligt\Matthijs-de-Ligt,JUV,DF,36.6,4,0,24,10,2,8,0,1680,23,36,32,35,5,0,4200,4.48,1.07,3.39,1.09,0.68,6.26,5.16,22,y,,,,,,,,,
Leonardo Bonucci\Leonardo-Bonucci,JUV,DF,45.6,4,0,29,10,8,32,0,2292,27,35,21,38,12,0,3600,4.25,1.18,3.38,0.88,0.68,6.03,5.15,22,y,,,,,,,,,
Kenny Tete\Kenny-Tete,OL,DF,18.1,0,2,9,2,53,28,1,731,27,23,36,25,4,0,4800,8.93,1.86,8.27,0.66,0.12,5.15,4.49,3,,,,,,,,,,
Bruno Guimarães\Bruno-Guimaraes,OL,MF,5.7,0,0,4,1,1,9,0,219,13,10,18,10,2,0,3800,8.26,2.17,8.26,0.00,0.12,4.48,4.48,3,y,,,,,,,,,
Leo Dubois\Leo-Dubois,OL,DF,22.6,0,2,14,3,90,36,1,1073,14,26,29,26,5,0,4600,8.23,1.79,7.70,0.53,0.12,4.45,3.92,3,y,,,,,,,,,
Daniele Rugani\Daniele-Rugani,JUV,DF,11.7,0,0,8,2,0,3,0,522,1,16,10,13,2,0,3600,2.56,0.71,2.56,0.00,0.68,4.33,4.33,22,,,,,,,,,,
Thiago Mendes\Thiago-Mendes,OL,MF,29.6,0,7,38,6,11,44,4,1259,27,27,39,63,6,1,4200,8.07,1.92,6.65,1.42,0.12,4.29,2.87,3,,,,,,,,,,
Youssouf Koné\Youssouf-Kone,OL,DF,13.5,0,0,9,2,43,18,2,812,10,6,18,18,3,1,3400,7.69,2.26,7.69,0.00,0.12,3.91,3.91,3,,,,,,,,,,
Maxence Caqueret\Maxence-Caqueret,OL,MF,10.3,1,1,7,3,3,12,0,338,14,24,18,19,5,0,3400,6.69,1.97,5.13,1.55,0.12,2.90,1.35,3,y,,,,,,,,,
Fernando Marçal\Fernando-Marcal,OL,DF,17.2,0,1,10,1,47,16,2,754,19,30,25,42,7,3,4000,6.60,1.65,6.25,0.35,0.12,2.82,2.47,3,,,,,,,,,,
Rafael\Rafael,OL,DF,12.6,0,0,6,1,28,9,0,392,23,24,29,12,5,1,3600,6.27,1.74,6.27,0.00,0.12,2.48,2.48,3,,,,,,,,,,
Joachim Andersen\Joachim-Andersen,OL,DF,27,2,0,13,2,1,14,0,1396,6,22,12,24,4,0,3000,3.36,1.12,2.62,0.74,0.12,-0.42,-1.16,3,,,,,,,,,,
Marcelo\Marcelo,OL,DF,28,0,0,15,4,1,10,1,1218,12,24,20,35,8,0,3200,2.88,0.90,2.88,0.00,0.12,-0.90,-0.90,3,,,,,,,,,,
Jason Denayer\Jason-Denayer,OL,DFMF,37.3,0,1,8,2,2,12,0,1783,4,14,27,29,1,0,3000,2.74,0.91,2.58,0.16,0.12,-1.04,-1.21,3,,,,,,,,,,
