Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,xG,xA,Start_Mins,Sub_Mins,Starting
Pablo Sisniega,LAFC,GK,7600,450,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,90,,
Diego Rossi,LAFC,M/F,12800,436,3,0,15,8,8,6,119,2,1,1,1,0,0,1.9,0.9,87.2,,y
Latif Blessing,LAFC,D,6200,405,0,0,3,1,1,2,201,17,13,6,6,1,0,0.2,0.1,90,45,y
Eddie Segura,LAFC,D,4800,384,0,0,1,0,0,1,258,2,5,4,8,0,0,0.1,0,84.75,45,y
Brian Rodriguez,LAFC,M/F,11600,371,0,2,14,5,32,15,85,5,3,1,3,0,0,0.8,2.5,74.2,,y
Francisco Ginella,LAFC,M,3800,369,0,1,3,1,5,5,196,3,1,7,2,0,0,0.4,0.3,73.8,,b
Jose Cifuentes,LAFC,M,7800,365,1,0,17,6,6,10,177,4,8,8,1,3,0,0.9,0.9,73,,y
Diego Palacios,LAFC,D,6000,339,0,0,1,0,14,4,197,4,7,11,9,1,0,0,1.2,84.75,0,y
Mark-Anthony Kaye,LAFC,M,6400,322,1,2,2,1,1,5,209,2,6,4,3,0,1,0.8,0.7,90,0,y
Dejan Jakovic,LAFC,D,3400,303,0,0,0,0,0,3,177,1,1,6,7,0,0,0,0.1,90,33,y
Bradley Wright-Phillips,LAFC,F,10200,257,2,1,14,6,0,0,44,3,4,1,2,0,0,2,0,60,27,y
Tristan Blackmon,LAFC,D,3200,225,0,0,1,0,2,2,112,1,3,4,5,0,0,0.7,0.3,90,15,
Andy Najar,LAFC,M,4600,147,0,1,0,0,8,3,92,1,3,2,5,1,0,0,0.1,45,25.5,
Daniel Musovski,LAFC,F,5200,142,2,0,4,3,0,0,25,1,3,1,1,0,0,0.7,0,63,19.75,b
Adrien Perez,LAFC,F,8800,97,0,0,2,0,0,0,28,1,2,3,0,0,0,0.5,0,,24.25,b
Jordan Harvey,LAFC,D,3200,90,0,0,0,0,0,0,32,1,4,0,3,1,0,0,0,90,0,b
Bryce Duke,LAFC,M,3200,64,0,0,0,0,5,1,26,2,2,2,3,0,0,0,0,45,4.75,b
Eduard Atuesta,LAFC,M,5600,56,0,0,2,0,1,0,47,2,1,1,2,0,0,0.2,0,,11.2,y
Mohamed Traore,LAFC,D,3200,45,0,0,1,0,0,0,37,0,0,0,0,0,0,0,0,45,0,
Mohamed El Monir,LAFC,D,5000,21,0,0,0,0,3,1,16,0,1,1,0,0,0,0,0,,4.2,b
Christian Torres,LAFC,F,5400,14,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,,2.8,b
Derek Cornelius,VAN,D,3000,450,0,0,5,1,0,0,168,6,5,5,5,1,0,0.3,0,90,,y
Thomas Hasal,VAN,GK,4200,450,0,0,0,0,0,0,131,3,1,0,0,1,0,0,0,90,,
Russell Teibart,VAN,M,3000,432,0,0,2,1,1,3,203,4,4,5,2,0,0,0.4,0,86.4,,
Manuel Milinkovic,VAN,M,3600,346,1,2,4,2,10,7,95,8,9,5,2,0,0,0.5,0.4,69.2,,y
Ali Adnan Kadhim,VAN,D,6800,342,0,1,4,2,16,4,122,5,4,4,4,2,0,0.1,0.6,81,18,b
Michael Baldisimo,VAN,M,3000,317,1,0,2,1,5,2,178,3,5,5,7,2,0,0.1,0.1,80,38.5,y
Jake Nerwinski,VAN,D,4400,306,1,0,2,1,8,1,155,1,4,2,3,0,0,0.2,0,90,42,y
Cristian Dajome,VAN,M/F,7200,280,1,1,6,2,9,10,98,12,5,7,1,1,0,0.3,1,81,18.5,y
Andy Rose,VAN,M,3000,274,0,1,0,0,0,0,131,0,1,0,1,0,0,0,0,90,2,b
Lucas Cavallini,VAN,F,6600,267,2,0,9,4,0,2,37,9,7,3,1,3,0,1.8,0.3,78.33333333,32,y
Leonard Owusu,VAN,M,3000,236,0,1,3,0,0,1,83,3,3,3,1,0,0,0.2,0.1,72,30.66666667,b
Ranko Veselinovic,VAN,D,3000,226,0,0,1,0,0,0,64,1,1,2,0,1,0,0,0,75,0.5,y
Cristian Gutierrez,VAN,D,3200,216,0,0,0,0,5,3,121,5,1,3,5,0,0,0,0.7,90,12,y
Fredy Montero,VAN,F,9200,210,2,1,8,4,7,3,63,6,4,2,1,1,0,2.3,0.5,87,36,b
Theo Bair,VAN,F,3400,188,1,0,2,1,1,0,30,0,2,4,0,0,0,0.1,0,62.66666667,0,y
Janio Bikel,VAN,M,3000,103,0,0,0,0,0,0,41,1,1,2,0,1,0,0,0,51.5,0,y
Erik Godoy,VAN,D,3000,99,0,0,0,0,0,0,36,2,1,0,4,0,0,0,0,49.5,0,b
Ryan Raposo,VAN,M,3000,50,0,0,0,0,1,1,17,3,1,0,0,1,0,0,0.3,,10,b
Patrick Metcalfe,VAN,M,3000,45,0,0,0,0,0,1,19,0,1,0,1,0,0,0,0.1,45,0,b
Yordy Reyna,VAN,M/F,7000,45,0,0,2,0,1,2,33,2,0,0,0,0,0,0.3,0,,9,
Tosaint Ricketts,VAN,F,5800,34,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,,6.8,b
