Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player2
Brian Rodriguez,LAFC,M/F,11600,4.122222222,0,2,14,5,32,15,85,5,3,1,3,0,0,15.54986523,18.46091644,0.8,8.5,0.094117647,0.297411765,2.5,6.7,0.373134328,0.929411765,20.87277061,8.349108245,78,0.179487179,3.746394725,0.357142857,1.337998116,53,0.283018868,4.013994348,0.8095,3.16,23.66897542,74.2,0,y,Brian Rodriguez
Diego Rossi,LAFC,M/F,12800,4.844444444,3,0,15,8,8,6,119,2,1,1,1,0,0,8.252752294,14.44541284,1.9,8.5,0.223529412,0.706352941,0.9,6.7,0.134328358,0.334588235,20.87277061,8.349108245,78,0.192307692,4.013994348,0.533333333,2.140796986,53,0.113207547,1.605597739,0.8095,3.16,19.0274479,87.2,0,y,Diego Rossi
Jose Cifuentes,LAFC,M,7800,4.055555556,1,0,17,6,6,10,177,4,8,8,1,3,0,12.14136986,13.49753425,0.9,8.5,0.105882353,0.334588235,0.9,6.7,0.134328358,0.334588235,20.87277061,8.349108245,78,0.217948718,4.549193595,0.352941176,1.605597739,53,0.188679245,2.675996232,0.8095,3.16,16.53219933,73,0,y,Jose Cifuentes
Bradley Wright-Phillips,LAFC,F,10200,2.855555556,2,1,14,6,0,0,44,3,4,1,2,0,0,8.362645914,17.46770428,2,8.5,0.235294118,0.743529412,0,6.7,0,0,20.87277061,8.349108245,78,0.179487179,3.746394725,0.428571429,1.605597739,53,0,0,0.8095,3.16,13.69312316,60,27,y,Bradley Wright-Phillips
Cristian Dajome,VAN,M/F,7200,3.111111111,1,1,6,2,9,10,98,12,5,7,1,1,0,13.905,18.56571429,0.3,5.9,0.050847458,0.026694915,1,4.1,0.243902439,0.088983051,10.63853809,3.446886341,47,0.127659574,1.358111246,0.333333333,0.452703749,35,0.285714286,2.263518743,0.2222,0.525,11.74860977,81,18.5,y,Cristian Dajome
Diego Palacios,LAFC,D,6000,3.766666667,0,0,1,0,14,4,197,4,7,11,9,1,0,9.22300885,8.824778761,0,8.5,0,0,1.2,6.7,0.179104478,0.446117647,20.87277061,8.349108245,78,0.012820513,0.267599623,0,0,53,0.075471698,1.070398493,0.8095,3.16,11.074704,84.75,0,y,Diego Palacios
Mark-Anthony Kaye,LAFC,M,6400,3.577777778,1,2,2,1,1,5,209,2,6,4,3,0,1,4.857763975,9.329813665,0.8,8.5,0.094117647,0.297411765,0.7,6.7,0.104477612,0.260235294,20.87277061,8.349108245,78,0.025641026,0.535199246,0.5,0.267599623,53,0.094339623,1.337998116,0.8095,3.16,9.298065528,90,0,y,Mark-Anthony Kaye
Cristian Gutierrez,VAN,D,3200,2.4,0,0,0,0,5,3,121,5,1,3,5,0,0,7.883333333,7.883333333,0,5.9,0,0,0.7,4.1,0.170731707,0.062288136,10.63853809,3.446886341,47,0,0,0,0,35,0.085714286,0.679055623,0.2222,0.525,7.68611777,90,12,y,Cristian Gutierrez
Fredy Montero,VAN,F,9200,2.333333333,2,1,8,4,7,3,63,6,4,2,1,1,0,11.85428571,22.35428571,2.3,5.9,0.389830508,0.204661017,0.5,4.1,0.12195122,0.044491525,10.63853809,3.446886341,47,0.170212766,1.810814994,0.5,0.905407497,35,0.085714286,0.679055623,0.2222,0.525,7.621980293,87,36,b,Fredy Montero
Latif Blessing,LAFC,D,6200,4.5,0,0,3,1,1,2,201,17,13,6,6,1,0,6.715555556,6.382222222,0.2,8.5,0.023529412,0.074352941,0.1,6.7,0.014925373,0.037176471,20.87277061,8.349108245,78,0.038461538,0.80279887,0.333333333,0.267599623,53,0.037735849,0.535199246,0.8095,3.16,7.621074864,90,45,y,Latif Blessing
