Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Carlos Harvey,LAG,M,3400,98,0,0,0,0,0,1,32,1,2,2,0,1,0,0,45,13.25,
Cristian Pavon,LAG,F,11400,450,3,1,15,6,23,6,146,5,1,2,6,0,1.7,1,90,,y
Daniel Steres,LAG,D,3000,450,0,0,2,1,0,0,138,1,4,3,1,0,0.1,0,90,,y
David Bingham,LAG,GK,5800,90,0,0,0,0,0,0,9,0,0,0,0,0,0,0,90,,
Diedie Traore,LAG,D,3000,53,0,0,0,0,2,1,22,1,3,0,0,0,0,0.1,,10.6,
Efrain Alvarez,LAG,M,8200,114,0,0,0,0,6,5,44,1,0,0,1,0,0,0.3,77,9.25,
Emil Cuello,LAG,M,3000,7,0,0,0,0,0,0,2,0,0,0,1,0,0,0,,1.4,
Emiliano Insua,LAG,D,5000,397,0,1,0,0,9,4,173,1,5,10,3,1,0,0.6,79.4,,y
Ethan Zubak,LAG,F,4600,97,0,0,2,1,1,0,16,2,2,1,0,1,0.1,0,90,1.75,y
Giancarlo Gonzalez,LAG,D,3200,204,1,0,2,2,0,0,46,1,4,1,0,1,0.1,0,90,0,y
Javier Hernandez,LAG,F,7200,94,0,0,4,0,1,2,18,1,1,0,1,0,0.5,0.1,53,10.25,
Joe Corona,LAG,M,3200,37,0,0,1,0,0,0,13,1,2,1,0,0,0.1,0,,7.4,
Jonathan dos Santos,LAG,M,4400,216,0,0,0,0,1,3,136,2,2,3,4,0,0,0.1,72,,
Jonathan Klinsmann,LAG,GK,5600,360,0,0,0,0,0,0,55,0,0,0,0,0,0,0,90,,
Julian Araujo,LAG,M,5600,399,0,0,1,0,13,3,138,3,5,3,2,1,0,0.1,79.8,,y
Kai Koreniuk,LAG,F,3800,10,1,0,1,1,0,0,5,0,0,0,0,0,0.5,0,,2,
Nick DePuy,LAG,D,3000,240,0,0,2,1,0,0,77,0,3,6,2,1,0,0,90,0,
Perry Kitchen,LAG,M,3600,360,0,0,0,0,0,0,130,6,11,10,4,1,0,0,90,0,y
Rolf Feltscher,LAG,D,6000,214,0,0,1,0,8,3,86,1,1,7,2,0,0.1,0.2,90,11.33333333,
Sacha Kljestan,LAG,M,3200,306,0,0,6,1,6,7,155,3,3,5,1,0,0.3,0.5,84.33333333,26.5,y
Sebastian Lletget,LAG,M,7600,380,0,1,6,2,9,2,124,6,4,3,6,0,0.6,0.2,83.75,45,y
Yony Gonzalez,LAG,F,7000,308,0,1,11,4,5,3,70,12,3,2,0,0,0.9,0.7,69.5,,y
Alex Roldan,SEA,M,3200,207,0,0,2,0,3,0,83,3,3,0,2,0,0.1,0,90,18.66666667,y
Brad Smith,SEA,D,4000,84,0,0,1,0,4,1,41,0,1,0,0,0,0.1,0.1,57,6.75,
Cristian Roldan,SEA,M,6800,450,0,1,4,0,13,6,194,4,6,11,6,0,0.8,0.6,90,,
Gustav Svensson,SEA,M,3800,153,0,0,0,0,1,1,107,1,3,1,1,0,0,0.1,76.5,0,y
Joao Paulo Mior,SEA,M,6600,415,0,0,7,1,7,4,313,3,11,11,7,1,0.2,0.3,83,,
Joevin Jones,SEA,M,4200,18,0,0,0,0,0,0,13,2,0,0,0,0,0,0,65,3.6,y
Jordan Morris,SEA,F,8600,442,1,0,5,2,12,6,141,3,3,3,1,1,1.1,0.2,88.4,,
Jordy Delem,SEA,M,3200,189,0,0,2,0,0,0,68,5,2,5,3,0,0.1,0,73.5,6.5,y
Joshua Atencio,SEA,M,3000,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,,0.8,
Kelvin Leerdam,SEA,D,5400,309,0,0,5,0,8,2,139,0,3,1,3,0,0.5,0,77,1,
Miguel Ibarra,SEA,M,3000,19,0,0,1,0,0,0,8,0,0,0,0,0,0,0,,3.8,
Nicolas Lodeiro,SEA,M/F,12400,450,2,0,11,4,27,8,294,21,2,3,3,1,0.9,0.9,90,,y
Nouhou Tolo,SEA,D,4800,379,0,1,1,0,7,4,202,3,5,6,7,0,0,0.6,86.5,33,y
Raul Ruidiaz,SEA,F,10200,180,1,1,6,4,4,3,40,3,0,0,1,0,0.6,0.8,90,,y
Roman Torres,SEA,D,3200,25,0,0,0,0,0,0,24,0,0,0,1,0,0,0,,5,
Shandon Hopeau,SEA,F,3600,12,0,0,0,0,0,0,7,0,0,0,0,0,0,0,,2.4,
Shane O'Neill,SEA,D,3400,354,0,0,1,0,2,2,191,1,3,4,3,0,0.1,0.2,88.5,0,y
Stefan Frei,SEA,GK,6400,450,0,0,0,0,0,0,162,0,0,0,0,0,0,0,90,,
Will Bruin,SEA,F,5200,270,1,0,5,1,1,2,39,7,2,3,0,0,1.2,0.3,85.66666667,6.5,
Xavier Arreaga,SEA,D,3400,90,0,0,0,0,0,0,75,2,0,1,0,0,0,0,90,0,y
Yeimar Gomez Andrade,SEA,D,4000,450,0,0,6,1,0,0,272,4,3,1,9,2,0.4,0,90,,
