,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Nicolas Lodeiro,SEA,M/F,12400,5.0,2,0,11,4,27,8,294,21,2,3,3,1,14.456,18.156,0.18,0.5873671497584542,0.3064522761853847,0.4492235810708981,0.18,0.816939313984169,0.22033460370777078,0.4492235810708981,13.04559559733253,4.963943615456405,23.0,0.4782608695652174,6.239197894376428,0.36363636363636365,2.2687992343187013,18.0,0.4444444444444444,4.537598468637402,48.28,1.4658843023216628,29.7891728944669,90.0,0.0,y,Nicolas Lodeiro
1,Raul Ruidiaz,SEA,F,10200,2.0,1,1,6,4,4,3,40,3,0,0,1,0,10.05,18.05,0.3,0.5873671497584542,0.5107537936423078,0.7487059684514968,0.4,0.816939313984169,0.4896324526839351,0.9982746246019959,13.04559559733253,4.963943615456405,23.0,0.2608695652173913,3.4031988514780513,0.6666666666666666,2.268799234318701,18.0,0.16666666666666666,1.7015994257390257,48.28,1.4658843023216628,24.40030494366272,90.0,0.0,y,Raul Ruidiaz
2,Cristian Pavon,LAG,F,11400,5.0,3,1,15,6,23,6,146,5,1,2,6,0,11.104,18.304,0.33999999999999997,0.914902148461965,0.3716244415553853,0.4205167935838223,0.2,0.6798330570876725,0.29418987193234947,0.24736281975518962,11.220856525648216,4.197421763155578,45.0,0.3333333333333333,3.7402855085494053,0.4,1.4961142034197623,25.0,0.24,1.4961142034197623,28.57,1.131563876218164,18.12585876975829,90.0,0.0,y,Cristian Pavon
3,Yony Gonzalez,LAG,F,7000,3.422222222222222,0,1,11,4,5,3,70,12,3,2,0,0,10.344155844155845,12.097402597402597,0.2030844155844156,0.914902148461965,0.22197391920635365,0.2511776684364791,0.15795454545454546,0.6798330570876725,0.232343137492026,0.19536040878392816,11.220856525648216,4.197421763155578,45.0,0.24444444444444444,2.7428760396028973,0.36363636363636365,0.9974094689465082,25.0,0.12,0.7480571017098812,28.57,1.131563876218164,12.098580448626349,69.5,0.0,y,Yony Gonzalez
4,Sacha Kljestan,LAG,M,3200,3.4,0,0,6,1,6,7,155,3,3,5,1,0,8.323529411764707,8.323529411764707,0.08267973855882355,0.914902148461965,0.09037003432314135,0.10225946633266234,0.1377995642647059,0.6798330570876725,0.20269618081683696,0.17043244388777057,11.220856525648216,4.197421763155578,45.0,0.13333333333333333,1.496114203419762,0.16666666666666666,0.24935236723662701,25.0,0.28,1.7454665706563894,28.57,1.131563876218164,9.477190005936613,84.33333333,26.5,y,Sacha Kljestan
5,Nouhou Tolo,SEA,D,4800,4.211111111111111,0,1,1,0,7,4,202,3,5,6,7,0,5.684960422163588,7.10976253298153,0.0,0.5873671497584542,0.0,0.0,0.13693931398416886,0.816939313984169,0.16762483043731022,0.3417576056520025,13.04559559733253,4.963943615456405,23.0,0.043478260869565216,0.5671998085796752,0.0,0.0,18.0,0.2222222222222222,2.268799234318701,48.28,1.4658843023216628,9.209262354910654,86.5,33.0,y,Nouhou Tolo
6,Sebastian Lletget,LAG,M,7600,4.222222222222222,0,1,6,2,9,2,124,6,4,3,6,0,6.816315789473684,8.237368421052631,0.13223684210526315,0.914902148461965,0.14453659588357673,0.1635523906933984,0.04407894736842106,0.6798330570876725,0.06483789940614282,0.054517463564466136,11.220856525648216,4.197421763155578,45.0,0.13333333333333333,1.496114203419762,0.3333333333333333,0.49870473447325403,25.0,0.08,0.4987047344732541,28.57,1.131563876218164,8.595165518581787,83.75,45.0,y,Sebastian Lletget
7,Jordy Delem,SEA,M,3200,2.1,0,0,2,0,0,0,68,5,2,5,3,0,6.6,6.6,0.03888888888888888,0.5873671497584542,0.06620882510178062,0.09705447739186068,0.0,0.816939313984169,0.0,0.0,13.04559559733253,4.963943615456405,23.0,0.08695652173913043,1.1343996171593504,0.0,0.0,18.0,0.0,0.0,48.28,1.4658843023216628,6.717166613300179,73.5,6.5,y,Jordy Delem
8,Shane O'Neill,SEA,D,3400,3.933333333333333,0,0,1,0,2,2,191,1,3,4,3,0,3.3610169491525426,3.3610169491525426,0.025,0.5873671497584542,0.042562816136858986,0.062392164037624744,0.05,0.816939313984169,0.06120405658549189,0.12478432807524949,13.04559559733253,4.963943615456405,23.0,0.043478260869565216,0.5671998085796752,0.0,0.0,18.0,0.1111111111111111,1.1343996171593504,48.28,1.4658843023216628,5.62922703456677,88.5,0.0,y,Shane O'Neill
9,Emiliano Insua,LAG,D,5000,4.411111111111111,0,1,0,0,9,4,173,1,5,10,3,1,5.38639798488665,6.406549118387909,0.0,0.914902148461965,0.0,0.0,0.11999999999999998,0.6798330570876725,0.17651392315940967,0.14841769185311376,11.220856525648216,4.197421763155578,45.0,0.0,0.0,0.0,0.0,25.0,0.16,0.9974094689465082,28.57,1.131563876218164,5.53991562006519,79.4,0.0,y,Emiliano Insua
