Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting
Cristian Pavon,LA,F,10600,3.00,2,0,11,5,11,7,81,5,3,1,2,0,0,12.61,19.27,1.6,5.5,0.29,0.55,0.5,3.4,0.15,0.28,0.29,1.88,19.37,90,,y
Jose Cifuentes,LAFC,M,6000,2.29,1,1,8,2,8,4,84,5,1,4,2,0,0,13.45,20.44,0.5,4.3,0.12,0.29,0.8,3.3,0.24,0.60,0.34,2.46,18.02,80.5,45,y
Diego Rossi,LAFC,M/F,11400,2.89,3,0,9,6,3,3,59,5,1,1,0,0,0,9.27,19.65,1.3,4.3,0.30,0.74,0.3,3.3,0.09,0.22,0.34,2.46,17.61,86.66666667,,y
Sebastian Lletget,LA,M,8400,2.54,2,2,7,7,11,6,93,2,4,2,2,0,0,12.80,25.37,1.2,5.5,0.22,0.41,0.7,3.4,0.21,0.39,0.29,1.88,15.95,76.33333333,,y
Brian Rodriguez,LAFC,M/F,9800,2.14,0,1,5,1,17,4,56,2,2,2,1,0,0,12.37,15.16,0.4,4.3,0.09,0.23,1.1,3.3,0.33,0.82,0.34,2.46,14.23,64.33333333,,y
Efrain Alvarez,LA,M,7000,1.31,1,0,5,2,9,3,49,1,1,1,0,0,0,14.32,21.95,0.7,5.5,0.13,0.24,0.3,3.4,0.09,0.17,0.29,1.88,14.21,74,22,y
Latif Blessing,LAFC,M/F,8000,3.00,0,0,1,1,1,5,131,7,5,8,7,1,0,8.77,8.27,0.2,4.3,0.05,0.11,0.3,3.3,0.09,0.22,0.34,2.46,11.50,90,,y
Diego Palacios,LAFC,D,6200,2.71,0,0,1,0,10,2,122,5,5,10,9,1,0,10.86,10.31,0,4.3,0.00,0.00,0.3,3.3,0.09,0.22,0.34,2.46,11.27,81.33333333,,y
Bradley Wright-Phillips,LAFC,F,9000,2.00,1,0,7,3,0,1,30,4,1,0,0,0,0,7.55,12.55,0.9,4.3,0.21,0.51,0.2,3.3,0.06,0.15,0.34,2.46,10.43,67.5,45,y
Julian Araujo,LA,M,5600,2.66,0,2,2,0,8,5,62,2,8,4,5,2,0,6.91,10.30,0.2,5.5,0.04,0.07,0.7,3.4,0.21,0.39,0.29,1.88,8.42,79.66666667,,y
Tristan Blackmon,LAFC,D,3000,2.72,0,0,1,0,2,2,139,0,4,2,7,1,0,3.92,3.37,0.7,4.3,0.16,0.40,0.2,3.3,0.06,0.15,0.34,2.46,8.24,81.66666667,,y
Mark-Anthony Kaye,LAFC,M,5200,2.84,0,1,2,0,2,4,156,4,4,4,2,1,0,6.16,7.74,0.1,4.3,0.02,0.06,0,3.3,0.00,0.00,0.34,2.46,6.63,85.33333333,,y
Joe Corona,LA,M,4400,2.68,1,0,3,3,2,2,95,3,8,4,5,0,0,6.27,10.01,0.3,5.5,0.05,0.10,0.1,3.4,0.03,0.06,0.29,1.88,6.46,80.33333333,,y
Nick DePuy,LA,D,3800,3.00,0,1,2,2,0,1,74,1,2,5,7,0,0,4.99,6.99,0.1,5.5,0.02,0.03,0.2,3.4,0.06,0.11,0.29,1.88,5.65,90,,y
Perry Kitchen,LA,M,3400,3.00,0,0,2,1,1,2,78,3,3,3,4,1,0,4.59,4.09,0.1,5.5,0.02,0.03,0.2,3.4,0.06,0.11,0.29,1.88,5.24,90,,y
Francisco Ginella,LAFC,M,3600,1.76,0,0,1,0,2,2,77,1,1,4,1,0,0,6.23,6.23,0,4.3,0.00,0.00,0,3.3,0.00,0.00,0.34,2.46,5.23,72,14,y
Ethan Zubak,LA,F,5000,2.64,1,0,5,1,0,3,39,0,7,1,0,0,0,2.75,6.53,0.6,5.5,0.11,0.20,0.4,3.4,0.12,0.22,0.29,1.88,5.05,79.33333333,,y
Emiliano Insua,LA,D,5800,3.00,0,0,0,0,7,1,91,2,3,5,3,0,0,4.91,4.91,0,5.5,0.00,0.00,0.1,3.4,0.03,0.06,0.29,1.88,4.89,90,,y
Daniel Steres,LA,D,4000,3.00,1,0,3,1,0,0,72,1,2,3,3,0,0,3.31,6.65,0.4,5.5,0.07,0.14,0,3.4,0.00,0.00,0.29,1.88,4.33,90,,y
Eddie Segura,LAFC,D,3200,3.00,0,0,1,0,0,1,152,1,1,4,4,0,0,3.85,3.85,0,4.3,0.00,0.00,0,3.3,0.00,0.00,0.34,2.46,4.09,90,,y
Adrien Perez,LAFC,F,7200,0.99,0,0,2,1,2,0,22,3,1,2,0,0,0,9.44,9.44,0.1,4.3,0.02,0.06,0,3.3,0.00,0.00,0.34,2.46,3.55,,29.66666667,
Daniel Musovski,LAFC,F,4200,0.37,1,0,1,1,0,0,7,1,0,0,1,0,0,9.93,37.20,0.1,4.3,0.02,0.06,0,3.3,0.00,0.00,0.34,2.46,1.53,,11,
Jonathan dos Santos,LA,M,4800,0.93,0,0,2,0,0,0,43,1,0,1,0,0,0,5.21,5.21,0.1,5.5,0.02,0.03,0,3.4,0.00,0.00,0.29,1.88,1.38,,28,
Christian Torres,LAFC,F,4600,0.26,0,0,0,0,3,0,10,0,0,1,0,0,0,12.91,12.91,0,4.3,0.00,0.00,0,3.3,0.00,0.00,0.34,2.46,1.34,,7.666666667,
Dejan Jakovic,LAFC,D,3400,1.08,0,0,0,0,0,0,35,0,0,0,2,0,0,1.58,1.58,0,4.3,0.00,0.00,0,3.3,0.00,0.00,0.34,2.46,1.16,67.5,52,
Bryce Duke,LAFC,M,3000,0.50,0,0,0,0,0,0,24,2,2,1,0,0,0,4.96,4.96,0,4.3,0.00,0.00,0,3.3,0.00,0.00,0.34,2.46,1.07,,15,
Mohamed El Monir,LAFC,D,4200,0.29,0,0,0,0,2,0,18,0,1,1,0,1,0,7.82,2.63,0,4.3,0.00,0.00,0,3.3,0.00,0.00,0.34,2.46,1.00,,8.666666667,
Andy Najar,LAFC,M,4400,0.11,0,1,0,0,0,1,6,0,0,0,1,0,0,14.58,68.58,0,4.3,0.00,0.00,0.1,3.3,0.03,0.07,0.34,2.46,0.80,,3.333333333,
Rolf Feltscher,LA,D,4000,1.86,0,0,0,0,3,0,49,3,4,5,5,1,0,6.24,5.43,0,5.5,0.00,0.00,0,3.4,0.00,0.00,0.29,1.88,0.76,75.5,16,
Sacha Kljestan,LA,M,3200,0.10,0,0,0,0,0,1,3,1,0,1,0,0,0,30.60,30.60,0,5.5,0.00,0.00,0.2,3.4,0.06,0.11,0.29,1.88,0.70,,3,
Pablo Sisniega,LAFC,GK,6600,1.00,0,0,0,0,0,0,13,0,0,0,0,0,0,0.26,0.26,0,4.3,0.00,0.00,0,3.3,0.00,0.00,0.34,2.46,0.50,90,,y
Kai Koreniuk,LA,F,3800,0.02,0,0,1,1,0,0,0,0,0,0,0,0,0,90.00,90.00,0.1,5.5,0.02,0.03,0,3.4,0.00,0.00,0.29,1.88,0.32,,0.666666667,
Carlos Vela,LAFC,M/F,8600,0.63,0,0,1,0,2,1,15,0,0,1,0,0,0,7.42,7.42,0,4.3,0.00,0.00,0,3.3,0.00,0.00,0.34,2.46,0.24,57,,
Danilo da Silva,LAFC,D,3600,0.42,0,0,0,0,0,0,11,1,0,0,0,0,0,2.89,2.89,0,4.3,0.00,0.00,0,3.3,0.00,0.00,0.34,2.46,0.24,38,0,
Kenneth Vermeer,LAFC,GK,6400,2.00,0,0,0,0,0,0,31,0,0,0,1,0,0,0.56,0.56,0,4.3,0.00,0.00,0,3.3,0.00,0.00,0.34,2.46,0.24,90,,
Cameron Dunbar,LA,F,3600,0.04,0,0,1,0,1,0,2,0,1,0,0,0,0,27.90,27.90,0.1,5.5,0.02,0.03,0,3.4,0.00,0.00,0.29,1.88,0.07,,1.333333333,
David Bingham,LA,GK,5400,3.00,0,0,0,0,0,0,39,0,0,0,0,0,0,0.26,0.26,0,5.5,0.00,0.00,0,3.4,0.00,0.00,0.29,1.88,-0.09,90,,y
Emil Cuello,LA,M,3000,0.21,0,0,0,0,1,0,0,0,0,0,0,0,0,3.32,3.32,0,5.5,0.00,0.00,0,3.4,0.00,0.00,0.29,1.88,-0.11,,6.333333333,
