Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Carlos Harvey,LA,M,4200,107,0,0,0,0,0,1,38,1,2,2,0,1,0,0,45,15.5,
Cristian Pavon,LA,F,12200,450,3,2,17,6,29,11,160,3,2,2,3,1,1.7,1.9,90,,y
Daniel Steres,LA,D,3600,450,0,0,2,1,0,0,152,0,4,1,0,0,0.1,0,90,,y
David Bingham,LA,GK,5600,90,0,0,0,0,0,0,4,0,0,0,0,0,0,0,90,0,
Diedie Traore,LA,D,3200,62,0,0,0,0,2,1,30,3,4,0,0,0,0,0.1,,12.4,
Efrain Alvarez,LA,M,9600,204,0,0,4,0,6,5,77,1,0,0,1,0,0.7,0.3,83.5,12.33333333,
Emil Cuello,LA,M,3400,7,0,0,0,0,0,0,2,0,0,0,1,0,0,0,,1.4,
Emiliano Insua,LA,D,6400,388,0,0,0,0,15,6,183,1,4,11,3,1,0,0.6,77.6,,y
Ethan Zubak,LA,F,7000,68,1,0,3,3,0,0,15,1,1,0,0,1,0.3,0,61,1.75,y
Giancarlo Gonzalez,LA,D,3000,114,0,0,1,1,0,0,32,1,1,1,0,0,0,0,90,0,y
Javier Hernandez,LA,F,8600,94,0,0,4,0,1,2,18,1,1,0,1,0,0.5,0.1,53,8.2,
Joe Corona,LA,M,4000,6,0,0,1,0,0,0,1,1,0,1,0,0,0.1,0,,1.2,
Jonathan dos Santos,LA,M,5200,157,0,0,0,0,1,1,100,1,2,2,3,0,0,0,78.5,0,y
Jonathan Klinsmann,LA,GK,5800,360,0,0,0,0,0,0,55,0,0,0,0,0,0,0,90,0,
Julian Araujo,LA,M,8000,399,1,0,2,1,13,4,146,3,7,3,3,1,0,0.2,79.8,,y
Kai Koreniuk,LA,F,4600,10,1,0,1,1,0,0,5,0,0,0,0,0,0.5,0,,2,
Nick DePuy,LA,D,3400,330,0,0,3,1,0,0,106,0,7,7,3,1,0.1,0,90,0,
Perry Kitchen,LA,M,4800,351,0,0,1,0,0,0,142,8,9,8,0,1,0.1,0,87.75,0,y
Rolf Feltscher,LA,D,7200,180,0,0,1,0,7,2,69,1,1,6,1,0,0.1,0.1,90,0,
Sacha Kljestan,LA,M,4000,388,0,0,5,1,7,9,217,2,6,8,3,1,0.2,0.6,85.75,45,
Sebastian Lletget,LA,M,9200,388,0,0,10,2,5,0,130,5,2,5,5,0,1,0,85.75,45,y
Yony Gonzalez,LA,F,8200,281,0,1,8,2,5,4,57,11,4,1,0,0,0.7,0.7,74,29,y
Aaron Herrera,RSL,D,6800,445,0,0,4,0,17,6,223,3,10,6,3,3,0.2,0.7,89,,
Albert Rusnak,RSL,M,10600,180,0,0,5,0,3,5,82,4,1,0,0,0,0.3,0.2,90,0,y
Andrew Putna,RSL,GK,4600,450,0,0,0,0,0,0,77,2,0,0,0,0,0,0,90,,
Corey Baird,RSL,M,6200,353,0,0,7,2,2,2,98,8,5,4,2,0,0.6,0.1,82.5,23,y
Damir Kreilach,RSL,M,10000,360,2,0,14,5,1,1,121,3,9,2,0,1,2.4,0,90,0,y
Donny Toia,RSL,D,5400,360,0,0,0,0,7,2,175,2,5,5,0,1,0,0.1,90,0,y
Douglas Martinez,RSL,F,7400,251,1,0,4,2,7,4,66,7,5,2,0,1,0.5,0.1,73.66666667,14,
Erik Holt,RSL,GD,3000,90,0,0,0,0,0,0,42,0,0,1,0,0,0,0,90,0,
Everton Luiz,RSL,M,4400,60,0,0,0,0,0,0,25,0,0,0,0,0,0,0,60,0,y
Jeizon Ramirez,RSL,M/F,5000,25,0,0,3,0,1,1,15,0,2,1,0,1,0.1,0.1,,5,
Justen Glad,RSL,D,3200,223,0,0,1,0,1,0,103,3,6,3,0,0,0.1,0,90,14.33333333,y
Justin Meram,RSL,M/F,8800,151,0,1,1,0,5,3,52,0,2,2,0,0,0,1,67,21,y
Justin Portillo,RSL,M,3800,187,0,0,1,0,3,0,91,3,4,2,2,1,0,0,90,2.333333333,
Kyle Beckerman,RSL,M,3800,97,0,0,0,0,0,0,56,1,0,0,0,0,0,0,85,3,
Maikel Chang,RSL,M,9000,336,0,0,4,1,13,9,95,2,1,5,2,0,0.5,0.8,77.75,25,
Marcelo Silva,RSL,D,3200,317,0,0,2,0,0,0,129,1,6,0,0,3,0,0,79.25,0,y
Nedum Onuoha,RSL,D,3800,265,0,0,2,0,0,2,122,3,0,1,2,0,0.2,0,88.33333333,0,y
Nick Besler,RSL,M,4000,275,0,0,1,0,1,0,133,0,4,3,5,2,0,0,87.66666667,6,
Pablo Ruiz,RSL,M,8400,363,0,1,11,0,7,3,162,2,6,11,6,1,0.3,0.3,83.25,30,y
Sam Johnson,RSL,F,5000,65,0,0,0,0,0,1,8,2,2,0,0,0,0,0,65,0,
Tate Schmitt,RSL,D,3400,97,0,0,1,0,3,1,52,1,2,0,1,0,0,0.1,90,1.75,
