,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Cristian Pavon,LA,F,12200,5.0,3,2,17,6,29,11,160,3,2,2,3,1,12.6,20.7,0.33999999999999997,1.059464438708675,0.3209168591013852,0.4245988074949749,0.38,0.7243416370106761,0.5246143264223249,0.47455160837673666,13.320767091612488,4.522779731477511,44.0,0.38636363636363635,5.146660012668462,0.35294117647058826,1.8164682397653396,26.0,0.4230769230769231,3.330191772903122,46.51,1.3230804037030481,22.88661775054709,90.0,0.0,y,Cristian Pavon
1,Damir Kreilach,RSL,M,10000,4.0,2,0,14,5,1,1,121,3,9,2,0,1,5.904999999999999,10.530000000000001,0.6,1.0660536928465159,0.5628234337783814,0.6962756301940101,0.0,0.6608813669799493,0.0,0.0,10.44871556285202,4.527173738334335,43.0,0.32558139534883723,3.401907392556472,0.35714285714285715,1.2149669259130256,18.0,0.05555555555555555,0.2429933851826051,29.41,1.2371120113455991,12.352624005592201,90.0,0.0,y,Damir Kreilach
2,Yony Gonzalez,LA,F,8200,3.1222222222222222,0,1,8,2,5,4,57,11,4,1,0,0,9.172953736654804,11.094661921708186,0.18434163701067613,1.059464438708675,0.1739951151502172,0.23020952719530774,0.18434163701067613,0.7243416370106761,0.2544954308735384,0.23020952719530774,13.320767091612488,4.522779731477511,44.0,0.18181818181818182,2.4219576530204523,0.25,0.6054894132551131,26.0,0.15384615384615385,1.2109788265102264,46.51,1.3230804037030481,11.777151993391143,74.0,29.0,y,Yony Gonzalez
3,Sebastian Lletget,LA,M,9200,4.311111111111111,0,0,10,2,5,0,130,5,2,5,5,0,6.8659793814432994,6.8659793814432994,0.22100515463917525,1.059464438708675,0.20860082374123545,0.2759956620883422,0.0,0.7243416370106761,0.0,0.0,13.320767091612488,4.522779731477511,44.0,0.22727272727272727,3.0274470662755655,0.2,0.6054894132551132,26.0,0.0,0.0,46.51,1.3230804037030481,10.282583822063586,85.75,45.0,y,Sebastian Lletget
4,Pablo Ruiz,RSL,M,8400,4.033333333333333,0,1,11,0,7,3,162,2,6,11,6,1,8.712396694214876,9.828099173553719,0.06880165289256199,1.0660536928465159,0.06453863755103341,0.07984152371026355,0.06880165289256199,0.6608813669799493,0.10410590512933827,0.07984152371026357,10.44871556285202,4.527173738334335,43.0,0.2558139534883721,2.6729272370086563,0.0,0.0,18.0,0.16666666666666666,0.7289801555478153,29.41,1.2371120113455991,9.183586647953748,83.25,30.0,y,Pablo Ruiz
5,Albert Rusnak,RSL,M,10600,2.0,0,0,5,0,3,5,82,4,1,0,0,0,8.620000000000001,8.620000000000001,0.15,1.0660536928465159,0.14070585844459535,0.17406890754850252,0.1,0.6608813669799493,0.1513130873351343,0.11604593836566836,10.44871556285202,4.527173738334335,43.0,0.11627906976744186,1.2149669259130256,0.0,0.0,18.0,0.2777777777777778,1.2149669259130256,29.41,1.2371120113455991,8.486898557505086,90.0,0.0,y,Albert Rusnak
6,Corey Baird,RSL,M,6200,3.922222222222222,0,0,7,2,2,2,98,8,5,4,2,0,6.338243626062323,6.338243626062323,0.14022662889518414,1.0660536928465159,0.13153805463659057,0.16272730733995988,0.023371104815864022,0.6608813669799493,0.0353635402412141,0.02712121788999331,10.44871556285202,4.527173738334335,43.0,0.16279069767441862,1.700953696278236,0.2857142857142857,0.4859867703652102,18.0,0.1111111111111111,0.4859867703652102,29.41,1.2371120113455991,7.702162745226968,82.5,23.0,y,Corey Baird
7,Emiliano Insua,LA,D,6400,4.311111111111111,0,0,0,0,15,6,183,1,4,11,3,1,7.343814432989691,6.995876288659794,0.0,1.059464438708675,0.0,0.0,0.12,0.7243416370106761,0.1656676820281026,0.14985840264528527,13.320767091612488,4.522779731477511,44.0,0.0,0.0,0.0,0.0,26.0,0.23076923076923078,1.8164682397653396,46.51,1.3230804037030481,7.547618655637051,77.6,0.0,y,Emiliano Insua
8,Justin Meram,RSL,M/F,8800,1.6777777777777778,0,1,1,0,5,3,52,0,2,2,0,0,5.686092715231787,9.262251655629138,0.0,1.0660536928465159,0.0,0.0,0.44370860927152317,0.6608813669799493,0.6713891954605297,0.5149058192383961,10.44871556285202,4.527173738334335,43.0,0.023255813953488372,0.2429933851826051,0.0,0.0,18.0,0.16666666666666666,0.7289801555478153,29.41,1.2371120113455991,6.5195541515250355,67.0,21.0,y,Justin Meram
9,Julian Araujo,LA,M,8000,4.433333333333334,1,0,2,1,13,4,146,3,7,3,3,1,5.192481203007519,7.109774436090226,0.0,1.059464438708675,0.0,0.0,0.039999999999999994,0.7243416370106761,0.05522256067603419,0.04995280088176175,13.320767091612488,4.522779731477511,44.0,0.045454545454545456,0.6054894132551131,0.5,0.30274470662755654,26.0,0.15384615384615385,1.2109788265102264,46.51,1.3230804037030481,5.322929751683466,79.8,0.0,y,Julian Araujo
