Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Cameron Dunbar,LA,F,3800,10,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,2,b
Carlos Harvey,LA,M,3200,9,0,0,0,0,0,0,6,0,0,0,0,0,0,0,,1.8,
Cristian Pavon,LA,F,12800,450,1,1,12,2,29,17,155,5,8,2,2,1,0.5,2.1,90,,y
Daniel Steres,LA,D,4000,450,0,0,1,0,0,1,201,2,5,2,1,1,0.3,0,90,,y
David Bingham,LA,GK,7600,450,0,0,0,0,0,0,62,0,1,0,0,1,0,0,90,,
Diedie Traore,LA,D,3200,24,0,0,0,0,1,0,21,3,1,0,0,0,0,0,,4.8,
Efrain Alvarez,LA,M,8200,259,0,0,8,1,1,6,108,0,0,2,3,0,0.7,0.8,81,32.33333333,
Emil Cuello,LA,M,3000,74,0,0,0,0,1,1,15,2,6,0,0,0,0,0.1,56,4.5,
Emiliano Insua,LA,D,5400,426,0,0,0,0,11,7,184,1,1,5,5,0,0,0.5,85.2,,y
Ethan Zubak,LA,F,5600,127,1,0,5,4,0,0,23,2,1,0,0,1,0.9,0,57,4.333333333,b
Giancarlo Gonzalez,LA,D,3000,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,2,
Gordon Wild,LA,M,3000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.4,
Javier Hernandez,LA,F,8400,294,0,0,4,1,3,2,50,6,0,0,0,0,0.7,0,85.66666667,18.5,y
Joe Corona,LA,M,3800,240,0,0,3,2,2,2,123,2,3,6,2,1,0.2,0.6,74,9,
Jonathan dos Santos,LA,M,4000,287,0,0,0,0,0,1,155,2,4,2,1,1,0,0.2,83.33333333,32.5,
Julian Araujo,LA,M,6800,216,1,0,2,1,5,2,95,2,10,8,5,3,0.1,0.5,72,0,y
Nick DePuy,LA,D,3200,450,0,0,2,0,0,0,170,2,12,5,7,3,0.2,0,90,,y
Perry Kitchen,LA,M,3600,327,0,0,2,1,0,0,124,4,4,7,2,1,0.1,0,78.5,13,y
Rolf Feltscher,LA,D,6000,270,0,1,2,1,11,1,116,2,4,4,2,0,0.3,0.2,90,0,
Sacha Kljestan,LA,M,3000,92,0,0,0,0,1,2,66,0,3,3,2,1,0,0.1,90,0.5,y
Sebastian Lletget,LA,M,9600,419,2,0,12,3,2,0,154,3,3,4,0,0,1.8,0,83.8,,y
Yony Gonzalez,LA,F,8000,48,0,0,1,0,2,1,3,3,2,0,0,0,0,0,,9.6,y
Andres Rios,SJ,F,7000,408,2,0,3,2,0,5,97,10,10,1,1,2,1.2,0.5,81.6,,y
Cade Cowell,SJ,M,5000,101,0,0,3,3,0,0,10,1,1,0,0,0,0.4,0,45,14,b
Carlos Fierro,SJ,M/F,7200,375,0,1,8,2,8,6,67,7,4,1,0,1,1.8,0.4,75,,y
Chris Wondolowski,SJ,F,7800,344,0,0,7,2,2,3,61,3,4,1,0,0,1.6,0.2,74.75,45,y
Cristian Espinoza,SJ,M,10600,426,1,2,12,8,19,12,142,3,8,2,4,1,0.8,2.4,85.2,,y
Danny Hoesen,SJ,F,6400,28,0,0,1,1,0,0,10,0,2,0,0,1,0.4,0,,5.6,
Eric Calvillo,SJ,M,4200,17,0,0,0,0,0,0,9,1,0,0,1,0,0,0,,3.4,
Florian Jungwirth,SJ,D,3400,360,0,0,1,0,0,0,222,0,4,4,3,1,0.1,0,90,0,y
Gilbert Fuentes,SJ,M,3200,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,,1.2,
J.T. Marcinkowski,SJ,GK,4800,360,0,0,0,0,0,1,118,0,0,0,0,1,0,0.2,90,0,
Jackson Yueill,SJ,M,4400,450,1,0,5,3,3,2,251,7,5,8,5,1,0.8,0.3,90,,y
Judson,SJ,M,3800,415,0,0,3,0,0,1,229,4,13,19,6,1,0.5,0,83,,y
Luis Felipe,SJ,M,3200,18,0,0,0,0,0,1,8,0,0,1,1,0,0,0,,3.6,
Marcos Lopez,SJ,D,6600,214,1,0,3,2,5,3,97,5,5,1,1,0,0.1,0,71.33333333,0,
Mario Daniel Vega,SJ,GK,4600,90,0,0,0,0,0,0,20,0,0,0,0,0,0,0,90,0,
Nick Lima,SJ,D,5800,354,0,2,3,1,16,3,191,5,6,1,5,0,0.1,0.4,88.5,0,y
Oswaldo Alanis,SJ,D,3000,90,0,0,0,0,0,0,44,0,1,3,2,0,0,0,90,0,
Paul Marie,SJ,D,3400,27,1,0,1,1,1,0,10,1,0,1,0,0,0.1,0,,5.4,b
Shea Salinas,SJ,D,6200,114,1,0,5,2,6,3,52,2,5,2,0,1,0.5,0.6,,24.8,b
Siad Haji,SJ,M,3200,3,0,0,0,0,0,1,4,0,0,0,0,0,0,0,,0.6,
Tanner Beason,SJ,D,3400,450,0,0,3,1,3,1,255,3,2,8,5,1,0.1,0.1,90,,y
Tommy Thompson,SJ,D,5200,244,0,1,1,1,0,3,146,3,1,4,4,0,0.1,0.2,81.33333333,0,y
