,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Cristian Pavon,LA,F,12800,5.0,1,1,12,2,29,17,155,5,8,2,2,1,11.68,14.579999999999998,0.5,4.6000000000000005,0.10869565217391303,0.2309782608695652,2.1,3.2,0.65625,0.9701086956521738,14.983058181537396,5.459246488886347,42.0,0.2857142857142857,4.280873766153541,0.16666666666666666,0.7134789610255902,32.0,0.53125,6.064571168717517,56.0,2.125,24.369358678505343,90.0,0.0,y,Cristian Pavon
1,Sebastian Lletget,LA,M,9600,4.655555555555556,2,0,12,3,2,0,154,3,3,4,0,0,5.365632458233889,9.661575178997612,1.8,4.6000000000000005,0.3913043478260869,0.8315217391304347,0.0,3.2,0.0,0.0,14.983058181537396,5.459246488886347,42.0,0.2857142857142857,4.280873766153541,0.25,1.0702184415383853,32.0,0.0,0.0,56.0,2.125,15.662309598996274,83.8,0.0,y,Sebastian Lletget
2,Cristian Espinoza,SJ,M,10600,4.733333333333333,1,2,12,8,19,12,142,3,8,2,4,1,10.804225352112676,15.135211267605634,0.8,8.099999999999998,0.09876543209876547,0.1298765432098766,2.4,5.1,0.47058823529411764,0.3896296296296297,10.214413267227929,4.439684185844166,55.0,0.21818181818181817,2.2285992583042753,0.6666666666666666,1.4857328388695168,39.0,0.3076923076923077,2.2285992583042757,23.81,1.315,13.107474565354613,85.2,0.0,y,Cristian Espinoza
3,Carlos Fierro,SJ,M/F,7200,4.166666666666667,0,1,8,2,8,6,67,7,4,1,0,1,6.9456,8.025599999999999,1.8,8.099999999999998,0.2222222222222223,0.2922222222222223,0.4,5.1,0.07843137254901962,0.0649382716049383,10.214413267227929,4.439684185844166,55.0,0.14545454545454545,1.4857328388695168,0.25,0.3714332097173792,39.0,0.15384615384615385,1.1142996291521379,23.81,1.315,8.571317529590887,75.0,0.0,y,Carlos Fierro
4,Javier Hernandez,LA,F,8400,3.2666666666666666,0,0,4,1,3,2,50,6,0,0,0,0,4.928571428571429,4.928571428571429,0.7,4.6000000000000005,0.15217391304347824,0.32336956521739124,0.0,3.2,0.0,0.0,14.983058181537396,5.459246488886347,42.0,0.09523809523809523,1.4269579220511805,0.25,0.35673948051279514,32.0,0.0625,0.7134789610255903,56.0,2.125,8.382459317453954,85.66666667,18.5,y,Javier Hernandez
5,Emiliano Insua,LA,D,5400,4.733333333333333,0,0,0,0,11,7,184,1,1,5,5,0,5.573239436619718,5.573239436619718,0.0,4.6000000000000005,0.0,0.0,0.5,3.2,0.15625,0.2309782608695652,14.983058181537396,5.459246488886347,42.0,0.0,0.0,0.0,0.0,32.0,0.21875,2.497176363589566,56.0,2.125,7.759045928806957,85.2,0.0,y,Emiliano Insua
6,Jackson Yueill,SJ,M,4400,5.0,1,0,5,3,3,2,251,7,5,8,5,1,6.424000000000001,8.124,0.8,8.099999999999998,0.09876543209876547,0.1298765432098766,0.3,5.1,0.058823529411764705,0.048703703703703714,10.214413267227929,4.439684185844166,55.0,0.09090909090909091,0.9285830242934481,0.6,0.5571498145760688,39.0,0.05128205128205128,0.3714332097173792,23.81,1.315,7.572153702907885,90.0,0.0,y,Jackson Yueill
7,Ethan Zubak,LA,F,5600,1.4111111111111112,1,0,5,4,0,0,23,2,1,0,0,1,7.766929133858268,13.790551181102362,0.9,4.6000000000000005,0.19565217391304346,0.41576086956521735,0.0,3.2,0.0,0.0,14.983058181537396,5.459246488886347,42.0,0.11904761904761904,1.7836974025639756,0.8,1.4269579220511805,32.0,0.0,0.0,56.0,2.125,7.383959558323864,57.0,4.333333333,b,Ethan Zubak
8,Nick Lima,SJ,D,5800,3.933333333333333,0,2,3,1,16,3,191,5,6,1,5,0,6.996610169491525,10.047457627118643,0.1,8.099999999999998,0.012345679012345684,0.016234567901234575,0.4,5.1,0.07843137254901962,0.0649382716049383,10.214413267227929,4.439684185844166,55.0,0.05454545454545454,0.5571498145760688,0.3333333333333333,0.1857166048586896,39.0,0.07692307692307693,0.5571498145760689,23.81,1.315,6.9819915426528025,88.5,0.0,y,Nick Lima
9,Julian Araujo,LA,M,6800,2.4,1,0,2,1,5,2,95,2,10,8,5,3,7.458333333333333,9.75,0.1,4.6000000000000005,0.021739130434782608,0.04619565217391304,0.5,3.2,0.15625,0.2309782608695652,14.983058181537396,5.459246488886347,42.0,0.047619047619047616,0.7134789610255903,0.5,0.35673948051279514,32.0,0.0625,0.7134789610255903,56.0,2.125,6.431523489520497,72.0,0.0,y,Julian Araujo
