player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Cristian Pavon,LA,DELETE,DELETE,450.0,1.0,1.0,12.0,2.0,29.0,17.0,155.0,5.0,8.0,2.0,2.0,1.0,0.5,2.1,DELETE,DELETE,DELETE
Daniel Steres,LA,DELETE,DELETE,450.0,0.0,0.0,1.0,0.0,0.0,1.0,201.0,2.0,5.0,2.0,1.0,1.0,0.3,0.0,DELETE,DELETE,DELETE
David Bingham,LA,DELETE,DELETE,450.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Efrain Alvarez,LA,DELETE,DELETE,259.0,0.0,0.0,8.0,1.0,1.0,6.0,108.0,0.0,0.0,2.0,3.0,0.0,0.7,0.8,DELETE,DELETE,DELETE
Emil Cuello,LA,DELETE,DELETE,74.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,2.0,6.0,0.0,0.0,0.0,0.0,0.1,DELETE,DELETE,DELETE
Emiliano Insua,LA,DELETE,DELETE,426.0,0.0,0.0,0.0,0.0,11.0,7.0,184.0,1.0,1.0,5.0,5.0,0.0,0.0,0.5,DELETE,DELETE,DELETE
Ethan Zubak,LA,DELETE,DELETE,127.0,1.0,0.0,5.0,4.0,0.0,0.0,23.0,2.0,1.0,0.0,0.0,1.0,0.8999999999999999,0.0,DELETE,DELETE,DELETE
Giancarlo Gonzalez,LA,DELETE,DELETE,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Javier Hernandez,LA,DELETE,DELETE,294.0,0.0,0.0,4.0,1.0,3.0,2.0,50.0,6.0,0.0,0.0,0.0,0.0,0.7,0.0,DELETE,DELETE,DELETE
Joe Corona,LA,DELETE,DELETE,240.0,0.0,0.0,3.0,2.0,2.0,2.0,123.0,2.0,3.0,6.0,2.0,1.0,0.2,0.6,DELETE,DELETE,DELETE
Jonathan dos Santos,LA,DELETE,DELETE,287.0,0.0,0.0,0.0,0.0,0.0,1.0,155.0,2.0,4.0,2.0,1.0,1.0,0.0,0.2,DELETE,DELETE,DELETE
Julian Araujo,LA,DELETE,DELETE,216.0,1.0,0.0,2.0,1.0,5.0,2.0,95.0,2.0,10.0,8.0,5.0,3.0,0.1,0.5,DELETE,DELETE,DELETE
Nick DePuy,LA,DELETE,DELETE,450.0,0.0,0.0,2.0,0.0,0.0,0.0,170.0,2.0,12.0,5.0,7.0,3.0,0.2,0.0,DELETE,DELETE,DELETE
Perry Kitchen,LA,DELETE,DELETE,327.0,0.0,0.0,2.0,1.0,0.0,0.0,124.0,4.0,4.0,7.0,2.0,1.0,0.1,0.0,DELETE,DELETE,DELETE
