Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Ainsley Maitland-Niles,ARS,D,4200,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.8,
Alexandre Lacazette,ARS,F,8200,251,0,0,3,1,0,4,40,6,8,4,0,1,0.5,0.2,76.33333333,11,
Bernd Leno,ARS,GK,5800,450,0,0,0,0,0,0,163,1,0,0,0,0,0,0,90,,
Bukayo Saka,ARS,M/F,9200,420,1,0,10,5,9,2,141,16,1,5,2,0,0.9,0.1,84,,
Dani Ceballos,ARS,M,7200,305,0,0,1,0,2,7,202,4,2,6,5,0,0,0.3,86.66666667,22.5,y
David Luiz,ARS,D,3400,228,0,0,2,0,1,0,172,3,3,3,2,0,0.1,0,76,0,
Eddie Nketiah,ARS,F,6200,116,0,0,2,1,0,1,22,0,3,1,0,0,0.1,0.2,57,14.75,
Gabriel Dos Santos,ARS,D,4400,450,0,0,4,0,0,0,340,6,6,7,2,1,0.2,0,90,,y
Granit Xhaka,ARS,M,4000,182,0,0,1,0,0,0,128,2,4,2,1,1,0.1,0,86,3.333333333,y
Hector Bellerin,ARS,D,5000,450,0,2,2,1,10,3,235,2,7,7,0,1,0.1,0.3,90,,y
Kieran Tierney,ARS,D,6000,440,0,0,3,0,20,6,264,3,1,2,1,0,0,0.6,88,,y
Mohamed Elneny,ARS,M,3800,270,0,0,2,0,2,2,195,0,1,1,2,0,0.1,0,90,0,
Nicolas Pepe,ARS,M/F,7800,167,1,0,6,3,4,0,27,2,0,0,1,0,0.6,0,82,21.25,y
Pierre-Emerick Aubameyang,ARS,M/F,9800,446,1,0,5,2,9,6,114,4,5,1,0,1,1.3,0.9,89.2,,y
Rob Holding,ARS,D,3200,180,0,0,1,0,0,0,115,1,2,1,1,1,0.2,0,90,0,y
Shkodran Mustafi,ARS,D,3400,46,0,0,0,0,0,0,41,0,1,1,0,0,0,0,,9.2,
Thomas Partey,ARS,M,3600,233,0,0,3,2,0,1,137,3,3,5,4,1,0.4,0.1,75,4,
Willian,ARS,M/F,8800,307,0,0,3,0,8,3,134,3,2,1,0,0,0.3,0,76.75,0,y
Ezgjan Alioski,LEE,D,5400,235,0,0,5,2,6,3,125,3,2,3,2,0,0.2,0.4,75,5,y
Helder Costa,LEE,M/F,7400,377,0,1,5,0,5,6,107,5,6,5,1,0,0.3,0.6,75.4,,
Ian Carlo Poveda,LEE,F,4800,110,0,0,1,0,2,1,28,4,3,5,0,0,0.1,0.1,,22,
Illan Meslier,LEE,GK,4800,450,0,0,0,0,0,0,138,1,0,0,0,0,0,0,90,,
Jack Harrison,LEE,M,9400,351,0,1,5,2,16,13,110,4,4,5,1,0,0.3,2.2,87.75,0,y
Jamie Shackleton,LEE,M,3400,115,0,0,0,0,1,1,30,1,1,2,1,0,0,0.1,45,0,
Kalvin Phillips,LEE,M,8400,180,0,0,1,1,3,1,101,3,3,2,1,1,0,0.1,90,0,y
Leif Davis,LEE,D,3800,14,0,0,0,0,0,0,5,0,1,0,0,0,0,0,,2.8,
Liam Cooper,LEE,D,4200,270,0,0,1,0,0,0,193,6,3,10,1,1,0.1,0,90,0,y
Luke Ayling,LEE,D,6400,450,0,0,3,1,15,7,296,8,3,12,1,1,0.1,0.8,90,,y
Mateusz Klich,LEE,M,8000,436,0,2,3,2,13,11,268,4,13,9,4,2,0.1,0.9,87.2,,y
Pablo Hernandez,LEE,M,8600,94,0,0,5,0,3,1,84,0,0,0,0,0,0.8,0,66,7,
Pascal Struijk,LEE,D,4000,164,0,0,1,0,0,1,90,0,2,1,2,1,0.2,0.1,72,0,
Patrick Bamford,LEE,F,10200,450,4,0,22,10,1,1,46,1,6,4,1,1,3.9,0.1,90,,y
Raphael Dias Belloli,LEE,M/F,9000,62,0,0,2,0,3,0,28,2,0,1,0,0,0.1,0,65,12.4,y
Robin Koch,LEE,D,4600,450,0,0,3,1,0,1,316,1,8,5,4,0,0.3,0,90,,y
Rodrigo,LEE,M/F,6800,203,1,0,11,4,5,6,70,3,4,3,0,0,1.8,0.5,84,11.66666667,
Stuart Dallas,LEE,D,7000,440,1,0,4,3,7,2,293,3,6,12,4,2,0.4,0.2,88,,y
Tyler Roberts,LEE,M/F,4400,99,0,0,1,0,1,1,21,1,1,0,0,0,0,0.3,55,11,
